STT;Khoá;Nhóm;Mã lớp HP;tenmon;Số lượng;Số lượng;SLSV;Mã GV;Mã GV;Tuần;khoa dạy;malop;Tên giảng viên;Thứ 2;Thứ 3;Thứ 4;Thứ 5;Thứ 6;Thứ 7;CN
520;22;77;111182025202277;Thủy lực công trình;50;50;0;10338;10338;"22-27;31-40";111;22N77(THXD1,2);Tô Thúy Nga;;;1-2,A142;;;;
521;22;77;111203025202277;ứng dụng Gis trong xây dựng;50;50;0;10118;10118;"22-27;31-40";111;22N77(THXD1,2);Võ Ngọc Dương;;;;;1-2,A136;;
522;22;77;111242025202277;Anh văn chuyên ngành xây dựng;50;50;0;10102;10102;"22-27;31-40";111;22N77(THXD1,2);Vũ Huy Công;;3-4,A146;;;;;
523;22;77;111243025202277;Công nghệ BIM trong xây dựng;50;50;0;10713;10713;"22-27;31-40";111;22N77(THXD1,2);Nguyễn Thanh Hải;1-3,A136;;;;;;
524;22;77;111245025202277;Phát triển phần mềm mã nguồn mở;50;50;0;11558;11558;"22-27;31-40";111;22N77(THXD1,2);Ngô Thanh Vũ;;;;8-10,B209;;;
525;22;77;111247025202277;Mô hình toán thủy văn thủy lực;50;50;0;10338;10338;"22-27;31-40";111;22N77(THXD1,2);Tô Thúy Nga;;;4-5,A142;;;;
526;22;77;111248025202277;Cấp nước đô thị;50;50;0;10102;10102;"22-27;31-40";111;22N77(THXD1,2);Vũ Huy Công;;1-2,A146;;;;;
527;22;77;111249025202277;Thoát nước đô thị;50;50;0;10102;10102;"22-27;31-40";111;22N77(THXD1,2);Vũ Huy Công;4-5,A136;;;;;;
528;22;77;111250025202277;Mô hình toán ngập lụt đô thị;50;50;0;11653;11653;"22-27;31-40";111;22N77(THXD1,2);Nguyễn Thành Phát;;;;4-5,A134;;;
529;22;77A;111244025202277A;TH Công nghệ BIM trong xây dựng;35;35;0;"10713
";"10713
";38-40;111;22N77(THXD1,2);"Nguyễn Thanh Hải
";;7-10,S07.08;;;;;
530;22;77A;111246025202277A;TH Phát triển phần mềm mã nguồn mở;35;35;0;"11558
";"11558
";38-40;111;22N77(THXD1,2);"Ngô Thanh Vũ
";;;7-10,S07.08;;;;
531;22;77A;111251025202277A;PBL 6. Tin học trong xây dựng;25;25;0;10950;10950;"22-27;31-40";111;22N77(THXD1,2);Nguyễn Công Luyến;;;;;3-5,A136;;
532;22;77B;111244025202277B;TH Công nghệ BIM trong xây dựng;35;35;0;"10713
";"10713
";35-37;111;22N77(THXD1,2);"Nguyễn Thanh Hải
";;;;;;7-10,S07.08;
533;22;77B;111246025202277B;TH Phát triển phần mềm mã nguồn mở;35;35;0;"11558
";"11558
";38-40;111;22N77(THXD1,2);"Ngô Thanh Vũ
";;;;;;7-10,S07.08;
534;22;77B;111251025202277B;PBL 6. Tin học trong xây dựng;25;25;0;10950;10950;"22-27;31-40";111;22N77(THXD1,2);Nguyễn Công Luyến;;;;;8-10,A136;;
535;22;78;111342025202278;Thiết kế và quản lý HT hạ tầng đô thị thông minh;21;21;0;10338;10338;"22-27;32-33;38-41";111;22N78(ĐTTM);Tô Thúy Nga;;1-4,H102;;;;;
536;22;78;111343025202278;Thiết kế công trình cấp thoát nước ĐTTM;21;21;0;10102;10102;"22-27;32-33;38-41";111;22N78(ĐTTM);Vũ Huy Công;;;;1-4,A136;;;
537;22;78;111344025202278;Công nghệ BIM trong quản lý công trình đô thị;21;21;0;10713;10713;"22-27;32-33;38-41";111;22N78(ĐTTM);Nguyễn Thanh Hải;;;7-10,A136;;;;
538;22;78;111345025202278;Thực tập Kỹ thuật viên;21;21;0;"10758
";"10758
";34-37;111;22N78(ĐTTM);"Khoa XDCTT
";1-10,XP;1-10,XP;1-10,XP;1-10,XP;1-10,XP;;
539;22;78;111346025202278;PBL 6: Tự động hóa trong thiết kế xây dựng;21;21;0;10950;10950;"22-27;32-33;38-40";111;22N78(ĐTTM);Nguyễn Công Luyến;;;1-3,A136;;;;
540;22;78;111362025202278;Quản lý dự án công trình đô thị;21;21;0;10405;10405;"22-27;32-33;38-40";111;22N78(ĐTTM);Phan Hồng Sáng;;;;8-10,C113;;;
541;22;78;121185025202278;Quy hoạch vùng và đô thị;21;21;0;11704;11704;"22-27;32-33;38-41";121;22N78(ĐTTM);Trần Đình Hiếu;7-10,C113;;;;;;
542;22;79;117002325202279;Luật & Chính sách môi trường;20;20;0;10181;10181;"22-27;31-35";117;22N79(MT);Hoàng Hải;8-10,B206;;;;;;
543;22;79;117023325202279;Thực tập Công nhân;20;20;0;"10790
";"10790
";38-41;117;22N79(MT);"Dương Gia Đức
";1-10,XP;1-10,XP;1-10,XP;1-10,XP;1-10,XP;;
544;22;79;117209025202279;Quản lý và vân hành hệ thống xử lý nước thải;20;20;0;10702;10702;"22-27;31-35";117;22N79(MT);Nguyễn Dương Quang Chánh;;;;6-8,B206;;;
545;22;79;117211025202279;Tư duy công nghệ và thiết kế kỹ thuật;20;20;0;10117;10117;"22-27;31-35";117;22N79(MT);Mai Thị Thùy Dương;;;1-3,C213B;;;;
546;22;79;117212025202279;Quản lý và vận hành hệ thống cấp thoát nước;20;20;0;10117;10117;"22-27;31-35";117;22N79(MT);Mai Thị Thùy Dương;;1-3,C213B;;;;;
547;22;79;117213025202279;Khoa học và công nghệ Sol khí;20;20;0;10043;10043;"22-27;31-35";117;22N79(MT);Nguyễn Phước Quý An;1-3,B207;;;;;;
548;22;79;117214025202279;PBL 5 - Cấp thoát nước;20;20;0;10140;10140;"22-27;31-35";117;22N79(MT);Lê Năng Định;;;;;8-10,B205;;
549;22;79;117215025202279;Xử lý nước thải nâng cao;20;20;0;10702;10702;"22-27;31-35";117;22N79(MT);Nguyễn Dương Quang Chánh;;;6-8,B206;;;;
550;22;79;117216025202279;PBL 6_Xử lý nước thải nâng cao;20;20;0;10702;10702;"22-27;31-35";117;22N79(MT);Nguyễn Dương Quang Chánh;;;;1-3,B202;;;
551;22;79;118311025202279;Lập hồ sơ dự toán;20;20;0;10502;10502;"22-27;31-35";118;22N79(MT);Phạm Thị Trang;;;;;1-3,B205;;
552;22;81;117023325202281;Thực tập Công nhân;36;36;0;"10791
";"10791
";38-41;117;22N81(QLMT);"Hoàng Ngọc Ân
";1-10,XP;1-10,XP;1-10,XP;1-10,XP;1-10,XP;;
553;22;81;117162325202281;ISO 45001 - Hệ thống quản lý an toàn SKNN;36;36;0;10254;10254;"22-27;31-35";117;22N81(QLMT);Võ Diệp Ngọc Khôi;;3-5,F307;;;;;
554;22;81;117177025202281;Mạng lưới cấp nước;36;36;0;10372;10372;"22-27;31-35";117;22N81(QLMT);Nguyễn Lan Phương;;;;;6-8,A135;;
555;22;81;117209025202281;Quản lý và vân hành hệ thống xử lý nước thải;36;36;0;10702;10702;"22-27;31-35";117;22N81(QLMT);Nguyễn Dương Quang Chánh;6-8,A133;;;;;;
556;22;81;117211025202281;Tư duy công nghệ và thiết kế kỹ thuật;36;36;0;10876;10876;"22-27;31-35";117;22N81(QLMT);Trần Vũ Chi Mai;;;6-8,A146;;;;
557;22;81;117212025202281;Quản lý và vận hành hệ thống cấp thoát nước;36;36;0;10117;10117;"22-27;31-35";117;22N81(QLMT);Mai Thị Thùy Dương;;;;1-3,A145;;;
558;22;81;117223025202281;Truyền thông môi trường;36;36;0;10875;10875;"22-27;31-35";117;22N81(QLMT);Lê Phước Cường;;;;8-10,A144;;;
559;22;81;117227025202281;PBL 5_Mạng lưới cấp thoát nước;36;36;0;10117;10117;"22-27;31-37";117;22N81(QLMT);Mai Thị Thùy Dương;;;;;;1-4,A144;
560;22;83;118263025202283;Quản lý đấu thầu chuyên nghiệp;40;40;0;10502;10502;"22-27;31-40";118;22N83(KX1);Phạm Thị Trang;;8-10,A133;;;;;
561;22;83;118264025202283;TH Quản lý đấu thầu chuyên nghiệp;39;39;0;"10502
";"10502
";;118;22N83(KX1);"Phạm Thị Trang
";;;;;;;
562;22;83;118329025202283;Quản lý rủi ro;40;40;0;10502;10502;"22-27;31-40";118;22N83(KX1);Phạm Thị Trang;1-3,E1.203;;;;;;
563;22;83;118330025202283;Kỹ năng quản lý hồ sơ nghề nghiệp;40;40;0;10806;10806;"22-27;31-40";118;22N83(KX1);Trương Quỳnh Châu;;;;1-3,A144;;;
564;22;83;118331025202283;TH Kỹ năng quản lý hồ sơ nghề nghiệp;39;39;0;"10806
";"10806
";;118;22N83(KX1);"Trương Quỳnh Châu
";;;;;;;
565;22;83;118332025202283;Quản lý hợp đồng trong xây dựng;40;40;0;10527;10527;"22-27;31-40";118;22N83(KX1);Huỳnh Thị Minh Trúc;;;1-3,A145;;;;
566;22;83;118333025202283;TH Quản lý hợp đồng trong xây dựng;40;40;0;"10527
";"10527
";;118;22N83(KX1);"Huỳnh Thị Minh Trúc
";;;;;;;
567;22;83;118358025202283;Kỹ năng mềm trong quản lý dự án;40;40;0;10806;10806;"22-27;31-40";118;22N83(KX1);Trương Quỳnh Châu;;;4-5,A145;;;;
568;22;83;121124025202283;Revit kiến trúc và kết cấu;40;40;0;11449;11449;"22-27;31-40";121;22N83(KX1);Truong Ngọc Son;;;;;1-3,S07.08;;
569;22;83;121125025202283;TH Revit kiến trúc và kết cấu;38;38;0;"11449
";"11449
";;121;22N83(KX1);"Trương Ngọc Sơn
";;;;;;;
570;22;83A;118328025202283A;PBL 6: QS nâng cao;20;20;0;10527;10527;"22-27;31-40";118;22N83(KX1);Huỳnh Thị Minh Trúc;;6-7,A133;;;;;
571;22;83B;118328025202283B;PBL 6: QS nâng cao;20;20;0;10502;10502;"22-27;31-40";118;22N83(KX1);Phạm Thị Trang;4-5,E1.203;;;;;;
572;22;84;118263025202284;Quản lý đấu thầu chuyên nghiệp;40;40;0;10502;10502;"22-27;31-40";118;22N84(KX2);Phạm Thị Trang;;;;1-3,A146;;;
573;22;84;118264025202284;TH Quản lý đấu thầu chuyên nghiệp;40;40;0;"10502
";"10502
";;118;22N84(KX2);"Phạm Thị Trang
";;;;;;;
574;22;84;118328025202284;PBL 6: QS nâng cao;40;40;0;10806;10806;"22-27;31-40";118;22N84(KX2);Trương Quỳnh Châu;;4-5,A144;;;;;
575;22;84;118329025202284;Quản lý rủi ro;40;40;0;10502;10502;"22-27;31-40";118;22N84(KX2);Phạm Thị Trang;;;1-3,A144;;;;
576;22;84;118330025202284;Kỹ năng quản lý hồ sơ nghề nghiệp;40;40;0;10527;10527;"22-27;31-40";118;22N84(KX2);Huỳnh Thị Minh Trúc;1-3,A134;;;;;;
577;22;84;118331025202284;TH Kỹ năng quản lý hồ sơ nghề nghiệp;40;40;0;"10527
";"10527
";;118;22N84(KX2);"Huỳnh Thị Minh Trúc
";;;;;;;
578;22;84;118332025202284;Quản lý hợp đồng trong xây dựng;40;40;0;10806;10806;"22-27;31-40";118;22N84(KX2);Trương Quỳnh Châu;;1-3,A144;;;;;
579;22;84;118333025202284;TH Quản lý hợp đồng trong xây dựng;40;40;0;"10806
";"10806
";;118;22N84(KX2);"Trương Quỳnh Châu
";;;;;;;
580;22;84;118358025202284;Kỹ năng mềm trong quản lý dự án;40;40;0;11449;11449;"22-27;31-40";118;22N84(KX2);Truong Ngọc Son;4-5,A134;;;;;;
581;22;84;121124025202284;Revit kiến trúc và kết cấu;40;40;0;11449;11449;"22-27;31-40";121;22N84(KX2);Truong Ngọc Son;;;;;6-8,S07.08;;
582;22;84;121125025202284;TH Revit kiến trúc và kết cấu;39;39;0;"11449
";"11449
";;121;22N84(KX2);"Trương Ngọc Sơn
";;;;;;;
583;22;85;118314025202285;Quản trị rủi ro;49;49;0;10479;10479;"22-27;31-40";118;22N85(QLCN1);Nguyễn Thị Thu Thủy;8-10,B301;;;;;;
584;22;85;118315025202285;Thiết kế vị trí và mặt bằng HT công nghiệp;49;49;0;11392;11392;"22-27;31-40";118;22N85(QLCN1);Nguyễn Hồng Nguyên;;;8-10,B209;;;;
585;22;85;118317025202285;Hệ thống sản xuất tích hợp;49;49;0;11654;11654;"22-27;31-40";118;22N85(QLCN1);Trần Minh Trí;;;;1-3,H205;;;
586;22;85;118318025202285;Quản trị logistics;49;49;0;10967;10967;"22-27;31-40";118;22N85(QLCN1);Nguyễn Đặng Hoàng Thư;;8-10,B209;;;;;
587;22;85;118319025202285;Hệ thống hỗ trợ quyết định và trí tuệ nhân tạo;49;49;0;11487;11487;"22-27;31-40";118;22N85(QLCN1);Nguyễn Thị Phương Quyên;;;;;1-3,B204;;
588;22;85A;118316025202285A;PBL4: Thiết kế HTSX thông minh;25;25;0;11393;11393;"22-27;31-40";118;22N85(QLCN1);Lê Thị Huỳnh Anh;;;;;;6-8,B204;
589;22;85B;118316025202285B;PBL4: Thiết kế HTSX thông minh;25;25;0;11487;11487;"22-27;31-40";118;22N85(QLCN1);Nguyễn Thị Phương Quyên;;;;;;1-3,B204;
590;22;86;118314025202286;Quản trị rủi ro;48;48;0;10479;10479;"22-27;31-40";118;22N86(QLCN2);Nguyễn Thị Thu Thủy;;;;1-3,B204;;;
591;22;86;118317025202286;Hệ thống sản xuất tích hợp;48;48;0;11654;11654;"22-27;31-40";118;22N86(QLCN2);Trần Minh Trí;;;;;6-8,B108;;
592;22;86;118319025202286;Hệ thống hỗ trợ quyết định và trí tuệ nhân tạo;48;48;0;11487;11487;"22-27;31-40";118;22N86(QLCN2);Nguyễn Thị Phương Quyên;;;1-3,P8;;;;
593;22;86;118413025202286;Đóng gói trong Logistics và vận chuyển vật liệu;48;48;0;11393;11393;"22-27;31-40";118;22N86(QLCN2);Lê Thị Huỳnh Anh;1-3,B301;;;;;;
594;22;86;118415025202286;Vận tải và phân phối trong Logistics;48;48;0;11487;11487;"22-27;31-40";118;22N86(QLCN2);Nguyễn Thị Phương Quyên;;1-3,B303;;;;;
595;22;87;122273025202287;PBL5- Chế tạo với sự hỗ trợ của máy tính;17;17;0;11448;11448;"22-27;31-40";122;22N87(PFIEV_SXTĐ);Đỗ Lê Hưng Toàn;;;;;;1-2,P5;
596;22;87;122274025202287;Mạng truyền thông công nghiệp và SCADA;17;17;0;10229;10229;"22-27;31-40";122;22N87(PFIEV_SXTĐ);Lê Quốc Huy;;;1-3,P5;;;;
597;22;87;122275025202287;TN Mạng truyền thông CN và SCADA(0.5 TC);17;17;0;"11070
";"11070
";36-38;122;22N87(PFIEV_SXTĐ);"Nguyễn Hữu Lập Trường
";;7-10,C115;;;;;
598;22;87;122276025202287;Kỹ thuật chế tạo máy;17;17;0;10436;10436;"22-27;31-40";122;22N87(PFIEV_SXTĐ);Hoàng Văn Thạnh;;1-3,P8;;;;;
599;22;87;122277025202287;Điều khiển hệ phi tuyến;17;17;0;10888;10888;"22-27;31-40";122;22N87(PFIEV_SXTĐ);Nguyễn Lê Hòa;7-8,P5;;;;;;
600;22;87;122278025202287;Công nghệ CAD/CAM/CNC;17;17;0;10504;10504;"22-27;31-35";122;22N87(PFIEV_SXTĐ);Nguyễn Thế Tranh;;;;3-5,P5;;;
601;22;87;122279025202287;Cơ cấu chấp hành điện;17;17;0;10888;10888;"22-27;31-40";122;22N87(PFIEV_SXTĐ);Nguyễn Lê Hòa;9-10,P5;;;;;;
602;22;87;122280025202287;Thực tập kỹ thuật;17;17;0;"10492
";"10492
";46-47;122;22N87(PFIEV_SXTĐ);"Trần Văn Tiến
";1-10,XP;1-10,XP;1-10,XP;1-10,XP;1-10,XP;;
603;22;87;122295025202287;Xử lý hình ảnh và âm thanh;17;17;0;10528;10528;"22-27;31-40";122;22N87(PFIEV_SXTĐ);Nguyễn Thị Kim Trúc;;;;;1-2,P5;;
604;22;88;122060025202288;Quản lý sản xuất;35;35;0;10838;10838;"22-27;31-40";122;22N88(PFIEV_THCN);Hồ Dương Đông;;;9-10,P1;;;;
605;22;88;122171025202288;Mạng máy tính;35;35;0;10253;10253;"22-27;31-40";122;22N88(PFIEV_THCN);Nguyễn Tấn Khôi;;;6-7,P1;;;;
606;22;88;122280025202288;Thực tập kỹ thuật;35;35;0;"10098
";"10098
";46-47;122;22N88(PFIEV_THCN);"Nguyễn Quang Chung
";1-10,XP;1-10,XP;1-10,XP;1-10,XP;1-10,XP;;
607;22;88;122309025202288;Lập trình Python;35;35;0;11185;11185;"22-27;31-40";122;22N88(PFIEV_THCN);Nguyễn Năng Hùng Vân;4-5,B208;;;;;;
608;22;88;122310025202288;Công nghệ Web;35;35;0;10174;10174;"22-27;31-40";122;22N88(PFIEV_THCN);Mai Văn Hà;;1-2,P1;;;;;
609;22;88;122314025202288;Lập trình di động;35;35;0;10585;10585;"22-27;31-40";122;22N88(PFIEV_THCN);Trần Thế Vũ;;3-4,P1;;;;;
610;22;88;122340025202288;Xử lý tín hiệu số;35;35;0;10165;10165;"22-27;31-40";122;22N88(PFIEV_THCN);Trần Thị Minh Hạnh;8-10,P1;;;;;;
611;22;88;122342025202288;PBL 4 - Mạng truyền thông công nghiệp và SCADA;35;35;0;10229;10229;"22-27;31-40";122;22N88(PFIEV_THCN);Lê Quốc Huy;;;;;;3-5,P1;
612;22;88;122353025202288;Công nghệ FPGA  và ngôn ngữ VHDL;35;35;0;11537;11537;"22-27;31-40";122;22N88(PFIEV_THCN);Nguyễn Khánh Quang;;;;;;1-2,P1;
613;22;88;210001025202288;Pháp luật đại cương;35;35;0;11533;11533;"22-27;31-40";210;22N88(PFIEV_THCN);Dương Việt Anh;6-7,P1;;;;;;
614;22;88A;122341025202288A;TH Xử lý tín hiệu số (0.5TC);20;20;0;"11319
";"11319
";39-41;122;22N88(PFIEV_THCN);"Thái Vũ Hiền
";;7-10,C213A;;;;;
615;22;88B;122341025202288B;TH Xử lý tín hiệu số (0.5TC);20;20;0;"11319
";"11319
";39-41;122;22N88(PFIEV_THCN);"Thái Vũ Hiền
";;;;7-10,C213A;;;
616;22;89;122190025202289;Trí tuệ nhân tạo;40;40;0;10784;10784;"22-27;31-40";122;22N89(PFIEV_CNPM);Phạm Minh Tuấn;;;;;1-2,P1;;
617;22;89;122200025202289;Thực tập doanh nghiệp;40;40;0;"10253
";"10253
";46-50;122;22N89(PFIEV_CNPM);"Nguyễn Tấn Khôi
";1-10,XP;1-10,XP;1-10,XP;1-10,XP;1-10,XP;;
618;22;89;122294025202289;Xử lý tín hiệu số;40;40;0;10861;10861;"22-27;31-40";122;22N89(PFIEV_CNPM);Hồ Phước Tiến;;;1-2,P1;;;;
619;22;89;122309025202289;Lập trình Python;40;40;0;11185;11185;"22-27;31-40";122;22N89(PFIEV_CNPM);Nguyễn Năng Hùng Vân;1-3,B208;;;;;;
620;22;89;122310025202289;Công nghệ Web;40;40;0;10174;10174;"22-27;31-40";122;22N89(PFIEV_CNPM);Mai Văn Hà;;;;1-2,P1;;;
621;22;89;122311025202289;Lập trình mạng;40;40;0;10174;10174;"22-27;31-40";122;22N89(PFIEV_CNPM);Mai Văn Hà;;;;3-4,P1;;;
622;22;89;122312025202289;Thiết kế hệ thống mạng;40;40;0;10305;10305;"22-27;31-40";122;22N89(PFIEV_CNPM);Nguyễn Thế Xuân Ly;;3-4,P2;;;;;
623;22;89;122313025202289;Điện toán đám mây;40;40;0;10305;10305;"22-27;31-40";122;22N89(PFIEV_CNPM);Nguyễn Thế Xuân Ly;;1-2,P2;;;;;
624;22;89;122319025202289;Phát triển ứng dụng IoT;40;40;0;10960;10960;"22-27;31-40";122;22N89(PFIEV_CNPM);Bùi Thị Thanh Thanh;;;;;3-4,P1;;
625;22;89;209010125202289;Tư tưởng Hồ Chí Minh;40;40;0;11506;11506;"22-27;31-40";209;22N89(PFIEV_CNPM);Trinh Quang Dũng;4-5,P6;;;;;;
626;22;90;101126325202290;Bảo trì công nghiệp;59;59;0;11407;11407;"22-27;32-33;37-39";101;22N90(C1C);Đinh Đức Hạnh;;;;6-8,B303;;;
627;22;90;101226025202290;Thực tập kỹ thuật (CTM);59;59;0;"10794
";"10794
";34-36;101;22N90(C1C);"Võ Đình Trung
";1-10,XP;1-10,XP;1-10,XP;1-10,XP;1-10,XP;;
628;22;90;101291025202290;Tự động hóa quá trình sản xuất;59;59;0;10070;10070;"22-27;32-33;37-39";101;22N90(C1C);Lưu Đức Bình;;;1-3,F101;;;;
629;22;90;101292025202290;Công nghệ chế tạo máy;59;59;0;10436;10436;"22-27;32-33;37-39";101;22N90(C1C);Hoàng Văn Thạnh;;6-8,C302;;;;;
630;22;90;101293025202290;Công nghệ gia công tiên tiến;59;59;0;10436;10436;"22-27;32-33;37-39";101;22N90(C1C);Hoàng Văn Thạnh;6-8,B302;;;;;;
631;22;90;101294025202290;Trang bị công nghệ;59;59;0;10302;10302;"22-27;32-33;37-39";101;22N90(C1C);Châu Mạnh Lực;;;;1-3,B303;;;
632;22;90;101295025202290;ứng dụng CAD/CAE trong sản xuất;59;59;0;10353;10353;37-40;101;22N90(C1C);Nguyễn Phạm Thế Nhân;;;;;1-4,H107;;
633;22;90;105347025202290;Trang bị điện trong máy công nghiệp;59;59;0;10143;10143;"22-27;32-33;37-40";105;22N90(C1C);Nguyễn Quốc Định;1-4,B302;;;;;;
634;22;90A;101296025202290A;TH Ứng dụng CAD/CAE trong sản xuất (0.5TC);25;25;0;"10654
";"10654
";38-40;101;22N90(C1C);"Phạm Nguyễn Quốc Huy
";;;7-10,M206;;;;
635;22;90A;101297025202290A;PBL 4: Thiết kế máy công cụ;30;30;0;11628;11628;"22-27;32-33;37-40";101;22N90(C1C);Phạm Văn Trung;;;7-10,B303;;;;
636;22;90B;101296025202290B;TH Ứng dụng CAD/CAE trong sản xuất (0.5TC);25;25;0;"10654
";"10654
";38-40;101;22N90(C1C);"Phạm Nguyễn Quốc Huy
";;;;;7-10,M206;;
637;22;90B;101297025202290B;PBL 4: Thiết kế máy công cụ;30;30;0;10185;10185;"22-27;32-33;37-40";101;22N90(C1C);Trần Ngọc Hải;;;;;;1-4,A145;
638;23;01;101077225202301;Điều khiển thuỷ khí;64;64;0;10185;10185;"22-27;31-40";101;23N01(C1A);Trần Ngọc Hải;;;1-2,E2.303;;;;
639;23;01;101223025202301;Toán CN 2: PP phần tử hữu hạn;64;64;0;10353;10353;"22-27;31-40";101;23N01(C1A);Nguyễn Phạm Thế Nhân;8-9,E2.303;;;;;;
640;23;01;101256025202301;Công nghệ gia công áp lực;64;64;0;10799;10799;"22-27;31-40";101;23N01(C1A);Võ Trần Anh;;;;3-4,E2.303;;;
641;23;01;101257025202301;Cơ sở máy công cụ;64;64;0;11628;11628;"22-27;31-40";101;23N01(C1A);Phạm Văn Trung;;1-2,E2.201;;;;;
642;23;01;101258025202301;Cơ sở công nghệ chế tạo máy;64;64;0;10070;10070;"22-27;31-40";101;23N01(C1A);Lưu Đức Bình;;3-5,E2.201;;;;;
643;23;01;101260025202301;Điều khiển logic và lập trình PLC;64;64;0;10185;10185;"22-27;31-40";101;23N01(C1A);Trần Ngọc Hải;;;3-4,E2.303;;;;
644;23;01;101264025202301;Kỹ thuật gia công CNC;64;64;0;11448;11448;"22-27;31-40";101;23N01(C1A);Đỗ Lê Hưng Toàn;;;;1-2,E2.303;;;
645;23;01A;101259025202301A;TN Cơ sở công nghệ chế tạo máy;25;25;0;"10654
";"10654
";35-37;101;23N01(C1A);"Phạm Nguyễn Quốc Huy
";1-4,M206;;;;;;
646;23;01A;101261025202301A;TN Điều khiển logic và lập trình PLC;25;25;0;"10794
";"10794
";39-41;101;23N01(C1A);"Võ Đình Trung
";;;;;7-10,K103;;
647;23;01A;101262025202301A;PBL 2: Hệ thống điều khiển thiết bị cơ khí;32;32;0;10185;10185;"22-27;31-40";101;23N01(C1A);Trần Ngọc Hải;;;;;6-8,E2.101;;
648;23;01B;101259025202301B;TN Cơ sở công nghệ chế tạo máy;25;25;0;"10654
";"10654
";35-37;101;23N01(C1A);"Phạm Nguyễn Quốc Huy
";;7-10,M206;;;;;
649;23;01B;101261025202301B;TN Điều khiển logic và lập trình PLC;25;25;0;"10794
";"10794
";39-41;101;23N01(C1A);"Võ Đình Trung
";;;7-10,K103;;;;
650;23;01B;101262025202301B;PBL 2: Hệ thống điều khiển thiết bị cơ khí;32;32;0;10554;10554;"22-27;31-40";101;23N01(C1A);Trần Xuân Tùy;;;;;1-3,E1.201;;
651;23;01C;101259025202301C;TN Cơ sở công nghệ chế tạo máy;25;25;0;"10654
";"10654
";35-37;101;23N01(C1A);"Phạm Nguyễn Quốc Huy
";;;7-10,M206;;;;
652;23;01C;101261025202301C;TN Điều khiển logic và lập trình PLC;25;25;0;"10794
";"10794
";39-41;101;23N01(C1A);"Võ Đình Trung
";;;;7-10,K103;;;
653;23;02;101077225202302;Điều khiển thuỷ khí;64;64;0;10185;10185;"22-27;31-40";101;23N02(C1B);Trần Ngọc Hải;;9-10,E2.303;;;;;
654;23;02;101223025202302;Toán CN 2: PP phần tử hữu hạn;64;64;0;10353;10353;"22-27;31-40";101;23N02(C1B);Nguyễn Phạm Thế Nhân;6-7,E2.104;;;;;;
655;23;02;101256025202302;Công nghệ gia công áp lực;64;64;0;10062;10062;"22-27;31-40";101;23N02(C1B);Tào Quang Bảng;;;;;6-7,E2.303;;
656;23;02;101257025202302;Cơ sở máy công cụ;64;64;0;11628;11628;"22-27;31-40";101;23N02(C1B);Phạm Văn Trung;8-9,E2.104;;;;;;
657;23;02;101258025202302;Cơ sở công nghệ chế tạo máy;64;64;0;10070;10070;"22-27;31-40";101;23N02(C1B);Lưu Đức Bình;;;;8-10,E2.303;;;
658;23;02;101260025202302;Điều khiển logic và lập trình PLC;64;64;0;10185;10185;"22-27;31-40";101;23N02(C1B);Trần Ngọc Hải;;6-7,E2.303;;;;;
659;23;02;101264025202302;Kỹ thuật gia công CNC;64;64;0;11448;11448;"22-27;31-40";101;23N02(C1B);Đỗ Lê Hưng Toàn;;;;6-7,E2.303;;;
660;23;02A;101259025202302A;TN Cơ sở công nghệ chế tạo máy;25;25;0;"10654
";"10654
";35-37;101;23N02(C1B);"Phạm Nguyễn Quốc Huy
";;;1-4,M206;;;;
661;23;02A;101261025202302A;TN Điều khiển logic và lập trình PLC;25;25;0;"10794
";"10794
";39-41;101;23N02(C1B);"Võ Đình Trung
";;1-4,K103;;;;;
662;23;02A;101262025202302A;PBL 2: Hệ thống điều khiển thiết bị cơ khí;32;32;0;10342;10342;"22-27;31-40";101;23N02(C1B);Ngô Thanh Nghị;;;;;;6-8,E1.201;
663;23;02B;101259025202302B;TN Cơ sở công nghệ chế tạo máy;25;25;0;"10654
";"10654
";35-37;101;23N02(C1B);"Phạm Nguyễn Quốc Huy
";;;;1-4,M206;;;
664;23;02B;101261025202302B;TN Điều khiển logic và lập trình PLC;25;25;0;"10794
";"10794
";39-41;101;23N02(C1B);"Võ Đình Trung
";;;;;1-4,K103;;
665;23;02B;101262025202302B;PBL 2: Hệ thống điều khiển thiết bị cơ khí;32;32;0;10062;10062;"22-27;31-40";101;23N02(C1B);Tào Quang Bảng;;;;;8-10,E2.306;;
666;23;03;101077225202303;Điều khiển thuỷ khí;49;49;0;10185;10185;"22-27;31-40";101;23N03(CKHK);Trần Ngọc Hải;;;;6-7,E2.102;;;
667;23;03;101263025202303;Toán CN 3: Quy hoạch TN trong cơ khí;49;49;0;11448;11448;"22-27;31-40";101;23N03(CKHK);Đỗ Lê Hưng Toàn;;;8-10,E2.102;;;;
668;23;03;101264025202303;Kỹ thuật gia công CNC;49;49;0;11448;11448;"22-27;31-40";101;23N03(CKHK);Đỗ Lê Hưng Toàn;;;6-7,E2.102;;;;
669;23;03;101281025202303;Kỹ thuật điện tử và cảm biến trong máy bay;49;49;0;11681;11681;"22-27;31-40";101;23N03(CKHK);Đoàn Lê Anh;6-8,E2.102;;;;;;
670;23;03;101341025202303;Hệ thống thủy lực máy bay;49;49;0;10185;10185;"22-27;31-40";101;23N03(CKHK);Trần Ngọc Hải;;;;8-9,E2.102;;;
