as_of_date,fiscal_year,region,borrower_country,borrower_country_code,project_id,project_name,procurement_category,procurement_method,project_global_practice,wb_contract_number,contract_description,contract_signing_date,supplier,supplier_country,supplier_country_code,supplier_contract_amount_usd,borrower_contract_reference_number,review_type
2024-10-05,2020,EAST ASIA AND PACIFIC,Vietnam,VN,P152309,Vietnam Dam Rehabilitation and Safety Improvement Project,Civil Works,Request for Bids,"Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry",1611712,"G&#243;i th&#7847;u s&#7889; 1: C1-KONTUM-W1: S&#7917;a ch&#7919;a v&#224; n&#226;ng cao an to&#224;n h&#7891; &#272;&#259;k H&#417; Ni&#234;ng, h&#7891; &#272;&#259;k Tin, Kon Tu Z&#7889;p v&#224; Th&#244;n 9 (L&#244; 01: H&#7891; &#272;&#259;k H&#417; Ni&#234;ng v&#224; H&#7891; &#272;&#259;k Tin)",2019-11-13,CÔNG TY CỔ PHẦN 16 THÁNG 3,Viet Nam,VN,791867.210000,C1-KONTUM-W1-LO1,Post
2024-10-05,2020,EAST ASIA AND PACIFIC,Vietnam,VN,P152309,Vietnam Dam Rehabilitation and Safety Improvement Project,Civil Works,Request for Bids,"Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry",1611712,"G&#243;i th&#7847;u s&#7889; 1: C1-KONTUM-W1: S&#7917;a ch&#7919;a v&#224; n&#226;ng cao an to&#224;n h&#7891; &#272;&#259;k H&#417; Ni&#234;ng, h&#7891; &#272;&#259;k Tin, Kon Tu Z&#7889;p v&#224; Th&#244;n 9 (L&#244; 01: H&#7891; &#272;&#259;k H&#417; Ni&#234;ng v&#224; H&#7891; &#272;&#259;k Tin)",2019-11-13,CÔNG TY TNHH XÂY DỰNG SỐ 6 KON TUM,Viet Nam,VN,791867.210000,C1-KONTUM-W1-LO1,Post
2024-10-05,2020,EAST ASIA AND PACIFIC,Vietnam,VN,P152309,Vietnam Dam Rehabilitation and Safety Improvement Project,Civil Works,Request for Bids,"Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry",1611720,"G&#243;i th&#7847;u s&#7889; 1: C1-KONTUM-W1: S&#7917;a ch&#7919;a v&#224; n&#226;ng cao an to&#224;n h&#7891; &#272;&#259;k H&#417; Ni&#234;ng, h&#7891; &#272;&#259;k Tin, Kon Tu Z&#7889;p v&#224; Th&#244;n 9 (L&#244; 02: H&#7891; Kon Tu Z&#7889;p v&#224; H&#7891; Th&#244;n 9)",2019-11-13,CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ XÂY DỰNG AN THUẬN,Viet Nam,VN,531224.140000,C1-KONTUM-W1-LO2,Post
2024-10-05,2020,EAST ASIA AND PACIFIC,Vietnam,VN,P152309,Vietnam Dam Rehabilitation and Safety Improvement Project,Civil Works,Request for Bids,"Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry",1611720,"G&#243;i th&#7847;u s&#7889; 1: C1-KONTUM-W1: S&#7917;a ch&#7919;a v&#224; n&#226;ng cao an to&#224;n h&#7891; &#272;&#259;k H&#417; Ni&#234;ng, h&#7891; &#272;&#259;k Tin, Kon Tu Z&#7889;p v&#224; Th&#244;n 9 (L&#244; 02: H&#7891; Kon Tu Z&#7889;p v&#224; H&#7891; Th&#244;n 9)",2019-11-13,CÔNG TY TNHH MTV DUY QUÂN KON TUM,Viet Nam,VN,531224.140000,C1-KONTUM-W1-LO2,Post
2024-10-05,2018,EAST ASIA AND PACIFIC,Vietnam,VN,P152309,Vietnam Dam Rehabilitation and Safety Improvement Project,Consultant Services,Consultant Qualification  Selection,"Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry",1611729,Consulting service: Consulting on making safety policy reports,2018-03-30,CÔNG TY CP TƯ VẤN XÂY DỰNG KỸ THUẬT HẠ TẦNG THĂNG LONG,Viet Nam,VN,147847.540000,C1-BG-CS2,Post
2024-10-05,2020,EAST ASIA AND PACIFIC,Vietnam,VN,P152309,Vietnam Dam Rehabilitation and Safety Improvement Project,Consultant Services,Consultant Qualification  Selection,"Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry",1611741,T&#432; v&#7845;n gi&#225;m s&#225;t thi c&#244;ng x&#226;y d&#7921;ng v&#224; m&#244;i tr&#432;&#7901;ng,2019-09-26,CÔNG TY CỔ PHẦN VÀ PHÁT TRIỂN KỸ THUẬT TÀI NGUYÊN NƯỚC,Viet Nam,VN,39571.360000,C1-TTH-CS5,Post
2024-10-05,2020,EAST ASIA AND PACIFIC,Vietnam,VN,P152309,Vietnam Dam Rehabilitation and Safety Improvement Project,Consultant Services,Consultant Qualification  Selection,"Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry",1611741,T&#432; v&#7845;n gi&#225;m s&#225;t thi c&#244;ng x&#226;y d&#7921;ng v&#224; m&#244;i tr&#432;&#7901;ng,2019-09-26,DEVELOPMENT INVESTMENT CONSULTING AND CONSTRUCTION INFRASTRUCTURE JOINT STOCK CO,Viet Nam,VN,39571.360000,C1-TTH-CS5,Post
2024-10-05,2019,EAST ASIA AND PACIFIC,Vietnam,VN,P152309,Vietnam Dam Rehabilitation and Safety Improvement Project,Goods,Request for Bids,"Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry",1611763,"Xuan Thu: Server, switchs, auxiliary equipments of server room. Equipment support management and operation (display screen, computer, laptop...).",2019-01-25,XUAN THU TRADE AND TECHNICAL COMPANY LIMITED,Viet Nam,VN,145266.000000,VN-DRSIP MOIT-18194-GO-RFB,Post
2024-10-05,2020,EAST ASIA AND PACIFIC,Vietnam,VN,P152309,Vietnam Dam Rehabilitation and Safety Improvement Project,Civil Works,Request for Bids,"Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry",1611776,"G&#243;i th&#7847;u s&#7889; 3: C1-KONTUM-W3: S&#7917;a ch&#7919;a v&#224; n&#226;ng cao an to&#224;n H&#7891; C2, H&#7891; C3, H&#7891; C4, H&#7891; A1 &#273;&#7897;i 4, H&#7891; C3 (704) v&#224; H&#7891; Ia Bang Th&#432;&#7907;ng (L&#244; 1: H&#7891; C2 v&#224; H&#7891; A1 &#273;&#7897;i 4)",2019-11-14,CÔNG TY TNHH MTV TRIỆU HẢI GIA LAI,Viet Nam,VN,254485.030000,C1-KONTUM-W3 (LO1),Post
2024-10-05,2020,EAST ASIA AND PACIFIC,Vietnam,VN,P152309,Vietnam Dam Rehabilitation and Safety Improvement Project,Civil Works,Request for Bids,"Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry",1611776,"G&#243;i th&#7847;u s&#7889; 3: C1-KONTUM-W3: S&#7917;a ch&#7919;a v&#224; n&#226;ng cao an to&#224;n H&#7891; C2, H&#7891; C3, H&#7891; C4, H&#7891; A1 &#273;&#7897;i 4, H&#7891; C3 (704) v&#224; H&#7891; Ia Bang Th&#432;&#7907;ng (L&#244; 1: H&#7891; C2 v&#224; H&#7891; A1 &#273;&#7897;i 4)",2019-11-14,CÔNG TY TNHH MTV DUY QUÂN KON TUM,Viet Nam,VN,254485.030000,C1-KONTUM-W3 (LO1),Post
2024-10-05,2020,EAST ASIA AND PACIFIC,Vietnam,VN,P152309,Vietnam Dam Rehabilitation and Safety Improvement Project,Consultant Services,Consultant Qualification  Selection,"Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry",1611785,"Survey and technical design, construction drawings, technical requirement, term of refference and cost estimate",2019-08-26,JOINT VENTURE OF MT.TAN VIEN CONSTRUCTION CONSULTANT JOINT STOCK COMPANY AND CEN,Viet Nam,VN,183967.920000,C2 -MONRE-CS1,Post
2024-10-05,2020,EAST ASIA AND PACIFIC,Vietnam,VN,P152309,Vietnam Dam Rehabilitation and Safety Improvement Project,Civil Works,Request for Bids,"Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry",1611797,"G&#243;i th&#7847;u s&#7889; 3: C1-KONTUM-W3: S&#7917;a ch&#7919;a v&#224; n&#226;ng cao an to&#224;n H&#7891; C2, H&#7891; C3, H&#7891; C4, H&#7891; A1 &#273;&#7897;i 4, H&#7891; C3 (704) v&#224; H&#7891; Ia Bang Th&#432;&#7907;ng (L&#244; 2: H&#7891; C3 v&#224; H&#7891; C4)",2019-11-14,CÔNG TY TNHH MTV ĐỒNG LỢI KON TUM,Viet Nam,VN,248535.880000,C1-KONTUM-W3(LO2),Post
2024-10-05,2020,EAST ASIA AND PACIFIC,Vietnam,VN,P152309,Vietnam Dam Rehabilitation and Safety Improvement Project,Civil Works,Request for Bids,"Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry",1611797,"G&#243;i th&#7847;u s&#7889; 3: C1-KONTUM-W3: S&#7917;a ch&#7919;a v&#224; n&#226;ng cao an to&#224;n H&#7891; C2, H&#7891; C3, H&#7891; C4, H&#7891; A1 &#273;&#7897;i 4, H&#7891; C3 (704) v&#224; H&#7891; Ia Bang Th&#432;&#7907;ng (L&#244; 2: H&#7891; C3 v&#224; H&#7891; C4)",2019-11-14,CÔNG TY TNHH TƯ VẤN ĐT&XD PHÚ GIANG,Viet Nam,VN,248535.880000,C1-KONTUM-W3(LO2),Post
2024-10-05,2020,EAST ASIA AND PACIFIC,Vietnam,VN,P152309,Vietnam Dam Rehabilitation and Safety Improvement Project,Civil Works,Request for Bids,"Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry",1611798,"G&#243;i th&#7847;u s&#7889; 3: C1-KONTUM-W3: S&#7917;a ch&#7919;a v&#224; n&#226;ng cao an to&#224;n H&#7891; C2, H&#7891; C3, H&#7891; C4, H&#7891; A1 &#273;&#7897;i 4, H&#7891; C3 (704) v&#224; H&#7891; Ia Bang Th&#432;&#7907;ng (L&#244; 3: H&#7891; C3 (704) v&#224; H&#7891; Ia Bang Th&#432;&#7907;ng)",2019-11-18,CÔNG TY TNHH NHẬT Á CHÂU,Viet Nam,VN,689572.120000,C1-KONTUM-W3(LO3),Post
2024-10-05,2018,EAST ASIA AND PACIFIC,Vietnam,VN,P152309,Vietnam Dam Rehabilitation and Safety Improvement Project,Consultant Services,Consultant Qualification  Selection,"Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry",1611799,Environmental and social safeguard reports preparing consultant,2018-06-01,TRUNG TÂM HỖ TRỢ PHÁT TRIỂN,Viet Nam,VN,22908.150000,C1-NT-CS04,Post
2024-10-05,2018,EAST ASIA AND PACIFIC,Vietnam,VN,P152309,Vietnam Dam Rehabilitation and Safety Improvement Project,Consultant Services,Consultant Qualification  Selection,"Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry",1611799,Environmental and social safeguard reports preparing consultant,2018-06-01,CÔNG TY TNHH TƯ VẤN VÀ CÔNG NGHỆ MÔI TRƯỜNG XANH (CDA-ENVIGREEN),Viet Nam,VN,22908.150000,C1-NT-CS04,Post
2024-10-05,2020,EAST ASIA AND PACIFIC,Vietnam,VN,P152309,Vietnam Dam Rehabilitation and Safety Improvement Project,Civil Works,Request for Bids,"Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry",1611800,"L&#244; s&#7889; 02: Thi c&#244;ng x&#226;y d&#7921;ng c&#225;c h&#7891;: H&#7891; G&#7889;c Nh&#7897;i, h&#7891; Khe Ho&#224;i, h&#7891; Hang Lu&#7891;n",2020-02-10,CÔNG TY CỔ PHẦN ĐẦU TƯ XÂY DỰNG VÀ CƠ KHÍ MIỀN BẮC,Viet Nam,VN,380644.730000,01/2020/HDDXD-WB8,Post
2024-10-05,2020,EAST ASIA AND PACIFIC,Vietnam,VN,P152309,Vietnam Dam Rehabilitation and Safety Improvement Project,Civil Works,Request for Bids,"Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry",1611800,"L&#244; s&#7889; 02: Thi c&#244;ng x&#226;y d&#7921;ng c&#225;c h&#7891;: H&#7891; G&#7889;c Nh&#7897;i, h&#7891; Khe Ho&#224;i, h&#7891; Hang Lu&#7891;n",2020-02-10,CÔNG TY CỔ PHẦN THƯƠNG MẠI VÀ XÂY DỰNG DUY BẢO,Viet Nam,VN,380644.730000,01/2020/HDDXD-WB8,Post
2024-10-05,2020,EAST ASIA AND PACIFIC,Vietnam,VN,P152309,Vietnam Dam Rehabilitation and Safety Improvement Project,Civil Works,Request for Bids,"Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry",1611800,"L&#244; s&#7889; 02: Thi c&#244;ng x&#226;y d&#7921;ng c&#225;c h&#7891;: H&#7891; G&#7889;c Nh&#7897;i, h&#7891; Khe Ho&#224;i, h&#7891; Hang Lu&#7891;n",2020-02-10,CÔNG TY CỔ PHẦN XÂY LẮP THỦY LỢI THỦY ĐIỆN TỈNH YÊN BÁI,Viet Nam,VN,380644.730000,01/2020/HDDXD-WB8,Post
2024-10-05,2020,EAST ASIA AND PACIFIC,Vietnam,VN,P152309,Vietnam Dam Rehabilitation and Safety Improvement Project,Civil Works,Request for Bids,"Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry",1611800,"L&#244; s&#7889; 02: Thi c&#244;ng x&#226;y d&#7921;ng c&#225;c h&#7891;: H&#7891; G&#7889;c Nh&#7897;i, h&#7891; Khe Ho&#224;i, h&#7891; Hang Lu&#7891;n",2020-02-10,CÔNG TY TNHH THÀNH TRUNG TUYÊN QUANG,Viet Nam,VN,380644.730000,01/2020/HDDXD-WB8,Post
2024-10-05,2020,EAST ASIA AND PACIFIC,Vietnam,VN,P152309,Vietnam Dam Rehabilitation and Safety Improvement Project,Civil Works,Request for Bids,"Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry",1611802,"L&#244; s&#7889; 01: Thi c&#244;ng x&#226;y d&#7921;ng c&#225;c h&#7891;: H&#7891; T&#7921; Do, h&#7891; Ch&#243;p D&#249;",2019-12-16,CÔNG TY TRÁCH NHIỆM HỮU HẠN LƯƠNG GIA,Viet Nam,VN,404516.240000,19/2019/HĐXD-WB8,Post
2024-10-05,2020,EAST ASIA AND PACIFIC,Vietnam,VN,P152309,Vietnam Dam Rehabilitation and Safety Improvement Project,Civil Works,Request for Bids,"Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry",1611802,"L&#244; s&#7889; 01: Thi c&#244;ng x&#226;y d&#7921;ng c&#225;c h&#7891;: H&#7891; T&#7921; Do, h&#7891; Ch&#243;p D&#249;",2019-12-16,CÔNG TY CỔ PHẦN ĐẦU TƯ PHÁT TRIỂN HUGIA,Viet Nam,VN,404516.240000,19/2019/HĐXD-WB8,Post
2024-10-05,2020,EAST ASIA AND PACIFIC,Vietnam,VN,P152309,Vietnam Dam Rehabilitation and Safety Improvement Project,Civil Works,Request for Bids,"Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry",1611802,"L&#244; s&#7889; 01: Thi c&#244;ng x&#226;y d&#7921;ng c&#225;c h&#7891;: H&#7891; T&#7921; Do, h&#7891; Ch&#243;p D&#249;",2019-12-16,CÔNG TY CỔ PHẦN XÂY DỰNG HOÀNG TRUNG,Viet Nam,VN,404516.240000,19/2019/HĐXD-WB8,Post
2024-10-05,2020,EAST ASIA AND PACIFIC,Vietnam,VN,P152309,Vietnam Dam Rehabilitation and Safety Improvement Project,Civil Works,Request for Bids,"Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry",1611802,"L&#244; s&#7889; 01: Thi c&#244;ng x&#226;y d&#7921;ng c&#225;c h&#7891;: H&#7891; T&#7921; Do, h&#7891; Ch&#243;p D&#249;",2019-12-16,CÔNG TY CỔ PHẦN ĐẦU TƯ XÂY DỰNG VÀ CƠ KHÍ MIỀN BẮC,Viet Nam,VN,404516.240000,19/2019/HĐXD-WB8,Post
2024-10-05,2020,EAST ASIA AND PACIFIC,Vietnam,VN,P131825,Health Professionals Education and Training for Health System Reforms,Goods,Request for Quotations,Education;Health,1611806,provide led screens,2020-01-02,CÔNG TY TNHH THƯƠNG MẠI VÀ THI CÔNG QUẢNG CÁO TINH HOA VIỆT,Viet Nam,VN,41939.700000,VN-HSPH-120097-GO-RFQ-1,Post
2024-10-05,2020,EAST ASIA AND PACIFIC,Vietnam,VN,P152309,Vietnam Dam Rehabilitation and Safety Improvement Project,Civil Works,Request for Bids,"Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry",1611816,"S&#7917;a ch&#7919;a, n&#226;ng cao an to&#224;n &#273;&#7853;p 02 h&#7891; ch&#7913;a n&#432;&#7899;c &#272;&#7891;ng B&#242; v&#224; &#272;&#225; M&#224;i v&#224; b&#7843;o hi&#7875;m c&#244;ng tr&#236;nh",2020-04-22,CONG TY CO PHAN XAY DUNG VA CAY XANH HA DO,Viet Nam,VN,759019.280000,02/2020/HĐXD-W2,Post
2024-10-05,2020,EAST ASIA AND PACIFIC,Vietnam,VN,P152309,Vietnam Dam Rehabilitation and Safety Improvement Project,Civil Works,Request for Bids,"Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry",1611816,"S&#7917;a ch&#7919;a, n&#226;ng cao an to&#224;n &#273;&#7853;p 02 h&#7891; ch&#7913;a n&#432;&#7899;c &#272;&#7891;ng B&#242; v&#224; &#272;&#225; M&#224;i v&#224; b&#7843;o hi&#7875;m c&#244;ng tr&#236;nh",2020-04-22,CÔNG TY TNHH HÙNG TIẾN,Viet Nam,VN,759019.280000,02/2020/HĐXD-W2,Post
2024-10-05,2019,EAST ASIA AND PACIFIC,Vietnam,VN,P152309,Vietnam Dam Rehabilitation and Safety Improvement Project,Consultant Services,Consultant Qualification  Selection,"Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry",1611818,"T&#432; v&#7845;n gi&#225;m s&#225;t thi c&#244;ng x&#226;y d&#7921;ng, l&#7853;p k&#7871; ho&#7841;ch &#7913;ng c&#7913;u kh&#7849;n c&#7845;p EPP",2018-12-03,CÔNG TY TNHH TƯ VẤN XÂY DỰNG VÀ DỊCH VỤ TÂY HÀ,Viet Nam,VN,42573.590000,C1-SONLA-CS1,Post
2024-10-05,2019,EAST ASIA AND PACIFIC,Vietnam,VN,P152309,Vietnam Dam Rehabilitation and Safety Improvement Project,Consultant Services,Consultant Qualification  Selection,"Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry",1611818,"T&#432; v&#7845;n gi&#225;m s&#225;t thi c&#244;ng x&#226;y d&#7921;ng, l&#7853;p k&#7871; ho&#7841;ch &#7913;ng c&#7913;u kh&#7849;n c&#7845;p EPP",2018-12-03,CÔNG TY CỔ PHẦN ĐẦU TƯ XÂY DỰNG AN LỢI 178,Viet Nam,VN,42573.590000,C1-SONLA-CS1,Post
2024-10-05,2020,EAST ASIA AND PACIFIC,Vietnam,VN,P131825,Health Professionals Education and Training for Health System Reforms,Goods,Request for Quotations,Education;Health,1611819,provide smart classroom equipment,2020-01-02,CÔNG TY CỔ PHẦN VIỆT HƯNG VIỆT NAM,Viet Nam,VN,42338.440000,VN-HSPH-120097-GO-RFQ-2,Post
2024-10-05,2020,EAST ASIA AND PACIFIC,Vietnam,VN,P152309,Vietnam Dam Rehabilitation and Safety Improvement Project,Civil Works,Request for Bids,"Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry",1611820,"S&#7917;a ch&#7919;a, n&#226;ng cao an to&#224;n &#273;&#7853;p 02 h&#7891; ch&#7913;a n&#432;&#7899;c L&#225;ng Nh&#7899;t v&#224; C&#226;y Sung v&#224; b&#7843;o hi&#7875;m c&#244;ng tr&#236;nh",2020-04-24,DNC INVESTMENT JOINT STOCK COMPANY,Viet Nam,VN,858200.880000,01/2020/HĐXD-W1,Post
2024-10-05,2020,EAST ASIA AND PACIFIC,Vietnam,VN,P152309,Vietnam Dam Rehabilitation and Safety Improvement Project,Civil Works,Request for Bids,"Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry",1611820,"S&#7917;a ch&#7919;a, n&#226;ng cao an to&#224;n &#273;&#7853;p 02 h&#7891; ch&#7913;a n&#432;&#7899;c L&#225;ng Nh&#7899;t v&#224; C&#226;y Sung v&#224; b&#7843;o hi&#7875;m c&#244;ng tr&#236;nh",2020-04-24,CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ XÂY DỰNG THỦY LỢI LÂM ĐỒNG,Viet Nam,VN,858200.880000,01/2020/HĐXD-W1,Post
2024-10-05,2020,EAST ASIA AND PACIFIC,Vietnam,VN,P152309,Vietnam Dam Rehabilitation and Safety Improvement Project,Civil Works,Request for Bids,"Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry",1611821,"Thi c&#244;ng x&#226;y d&#7921;ng c&#225;c h&#7891;: H&#7891; N&#244;ng tr&#432;&#7901;ng Ngh&#297;a L&#7897;, h&#7891; th&#244;n 26-3",2019-12-16,CÔNG TY CỔ PHẦN ĐẦU TƯ XÂY DỰNG VÀ CƠ KHÍ MIỀN BẮC,Viet Nam,VN,447940.080000,20/2019/HĐXD-WB8,Post
2024-10-05,2020,EAST ASIA AND PACIFIC,Vietnam,VN,P152309,Vietnam Dam Rehabilitation and Safety Improvement Project,Civil Works,Request for Bids,"Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry",1611821,"Thi c&#244;ng x&#226;y d&#7921;ng c&#225;c h&#7891;: H&#7891; N&#244;ng tr&#432;&#7901;ng Ngh&#297;a L&#7897;, h&#7891; th&#244;n 26-3",2019-12-16,CÔNG TY TNHH XÂY DỰNG VÀ THƯƠNG MẠI NAM THẮNG,Viet Nam,VN,447940.080000,20/2019/HĐXD-WB8,Post
2024-10-05,2020,EAST ASIA AND PACIFIC,Vietnam,VN,P152309,Vietnam Dam Rehabilitation and Safety Improvement Project,Civil Works,Request for Bids,"Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry",1611821,"Thi c&#244;ng x&#226;y d&#7921;ng c&#225;c h&#7891;: H&#7891; N&#244;ng tr&#432;&#7901;ng Ngh&#297;a L&#7897;, h&#7891; th&#244;n 26-3",2019-12-16,CÔNG TY TNHH NAM THÁI,Viet Nam,VN,447940.080000,20/2019/HĐXD-WB8,Post
2024-10-05,2020,EAST ASIA AND PACIFIC,Vietnam,VN,P152309,Vietnam Dam Rehabilitation and Safety Improvement Project,Civil Works,Request for Bids,"Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry",1611824,"Thi c&#244;ng x&#226;y d&#7921;ng c&#225;c h&#7891;: H&#7891; L&#224;ng &#193;t, h&#7891; Khe H&#243;p, h&#7891; Khe Ngang",2020-02-10,CÔNG TY CÔNG TY CỔ PHẦN XÂY DỰNG THỦY LỢI VÀ THƯƠNG MẠI THĂNG ,Viet Nam,VN,428662.260000,02/2020/HĐXD-WB8,Post
2024-10-05,2020,EAST ASIA AND PACIFIC,Vietnam,VN,P152309,Vietnam Dam Rehabilitation and Safety Improvement Project,Civil Works,Request for Bids,"Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry",1611824,"Thi c&#244;ng x&#226;y d&#7921;ng c&#225;c h&#7891;: H&#7891; L&#224;ng &#193;t, h&#7891; Khe H&#243;p, h&#7891; Khe Ngang",2020-02-10,CÔNG TY TNHH LINH HUY HOÀNG,Viet Nam,VN,428662.260000,02/2020/HĐXD-WB8,Post
2024-10-05,2020,EAST ASIA AND PACIFIC,Vietnam,VN,P152309,Vietnam Dam Rehabilitation and Safety Improvement Project,Civil Works,Request for Bids,"Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry",1611824,"Thi c&#244;ng x&#226;y d&#7921;ng c&#225;c h&#7891;: H&#7891; L&#224;ng &#193;t, h&#7891; Khe H&#243;p, h&#7891; Khe Ngang",2020-02-10,CÔNG TY TNHH PHƯỚC LONG,Viet Nam,VN,428662.260000,02/2020/HĐXD-WB8,Post
2024-10-05,2020,EAST ASIA AND PACIFIC,Vietnam,VN,P152309,Vietnam Dam Rehabilitation and Safety Improvement Project,Civil Works,Request for Bids,"Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry",1611824,"Thi c&#244;ng x&#226;y d&#7921;ng c&#225;c h&#7891;: H&#7891; L&#224;ng &#193;t, h&#7891; Khe H&#243;p, h&#7891; Khe Ngang",2020-02-10,CÔNG TY TNHH XÂY DỰNG SƠN TÙNG,Viet Nam,VN,428662.260000,02/2020/HĐXD-WB8,Post
2024-10-05,2020,EAST ASIA AND PACIFIC,Vietnam,VN,P152309,Vietnam Dam Rehabilitation and Safety Improvement Project,Civil Works,Request for Bids,"Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry",1611826,"L&#244; s&#7889; 02: Thi c&#244;ng x&#226;y d&#7921;ng c&#225;c h&#7891;: H&#7891; Khe Chinh, h&#7891; Ph&#249; Nham",2019-12-16,CÔNG TY CỔ PHẦN ĐẦU TƯ XÂY DỰNG VÀ CƠ KHÍ MIỀN BẮC,Viet Nam,VN,397966.320000,22/2019/HĐXD-WB8,Post
2024-10-05,2020,EAST ASIA AND PACIFIC,Vietnam,VN,P152309,Vietnam Dam Rehabilitation and Safety Improvement Project,Civil Works,Request for Bids,"Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry",1611826,"L&#244; s&#7889; 02: Thi c&#244;ng x&#226;y d&#7921;ng c&#225;c h&#7891;: H&#7891; Khe Chinh, h&#7891; Ph&#249; Nham",2019-12-16,CÔNG TY CỔ PHẦN ĐẦU TƯ XÂY DỰNG VÀ THƯƠNG MẠI NAM PHONG,Viet Nam,VN,397966.320000,22/2019/HĐXD-WB8,Post
2024-10-05,2020,EAST ASIA AND PACIFIC,Vietnam,VN,P152309,Vietnam Dam Rehabilitation and Safety Improvement Project,Civil Works,Request for Bids,"Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry",1611826,"L&#244; s&#7889; 02: Thi c&#244;ng x&#226;y d&#7921;ng c&#225;c h&#7891;: H&#7891; Khe Chinh, h&#7891; Ph&#249; Nham",2019-12-16,CÔNG TY TNHH ĐỒNG TIẾN,Viet Nam,VN,397966.320000,22/2019/HĐXD-WB8,Post
2024-10-05,2020,EAST ASIA AND PACIFIC,Vietnam,VN,P152309,Vietnam Dam Rehabilitation and Safety Improvement Project,Civil Works,Request for Bids,"Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry",1611826,"L&#244; s&#7889; 02: Thi c&#244;ng x&#226;y d&#7921;ng c&#225;c h&#7891;: H&#7891; Khe Chinh, h&#7891; Ph&#249; Nham",2019-12-16,CÔNG TY TNHH CHIẾN CÔNG,Viet Nam,VN,397966.320000,22/2019/HĐXD-WB8,Post
2024-10-05,2018,EAST ASIA AND PACIFIC,Vietnam,VN,P152309,Vietnam Dam Rehabilitation and Safety Improvement Project,Consultant Services,Consultant Qualification  Selection,"Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry",1611833,G&#243;i th&#7847;u C1-BK-CS1: T&#432; v&#7845;n l&#7853;p b&#225;o c&#225;o nghi&#234;n c&#7913;u kh&#7843; thi v&#224; an to&#224;n &#273;&#7853;p,2018-03-21,CÔNG TY CỔ PHẦN TƯ VẤN ĐẦU TƯ VÀ XÂY DỰNG BẮC THÀNH,Viet Nam,VN,35974.680000,C1-BK-CS1,Post
2024-10-05,2018,EAST ASIA AND PACIFIC,Vietnam,VN,P152309,Vietnam Dam Rehabilitation and Safety Improvement Project,Consultant Services,Consultant Qualification  Selection,"Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry",1611833,G&#243;i th&#7847;u C1-BK-CS1: T&#432; v&#7845;n l&#7853;p b&#225;o c&#225;o nghi&#234;n c&#7913;u kh&#7843; thi v&#224; an to&#224;n &#273;&#7853;p,2018-03-21,CONG TY CP TU VAN XAY DUNG CO SO HA TANG THAI NGUYEN,Viet Nam,VN,35974.680000,C1-BK-CS1,Post
