DisNo.,Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,External IDs,Event Name,ISO,Country,Subregion,Region,Location,Origin,Associated Types,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Admin Units,Entry Date,Last Update
1996-0202-VNM,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Sally,VNM,Viet Nam,South-eastern Asia,Asia,,,,No,No,No,,,Kph,,,,1996,9,9,1996,9,10,1,,,,,,,,,20,37,53.59556085,,2007-05-06,2023-09-25
1996-0227-VNM,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Willie,VNM,Viet Nam,South-eastern Asia,Asia,"Nghe An, Ha Tinh provinces",,,No,No,No,,101,Kph,,,,1996,9,21,1996,9,22,9,,280000,,280000,,,,,11000,20524,53.59556085,,2007-05-06,2023-09-25
1996-0248-VNM,Yes,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,VNM,Viet Nam,South-eastern Asia,Asia,"An Giang, Dong Thap, Tay Minh, Long An, Tien Giang, Kien Giang, Can Tho, Vinh Long provinces",Heavy rain,,Yes,No,No,,22610,Km2,,,Mekong,1996,10,1,1996,11,13,162,,375000,,375000,,,,,138000,257484,53.59556085,,2007-08-27,2023-09-25
1996-0369-VNM,Yes,tec-tra-wat-wat,Technological,Transport,Water,Water,,,VNM,Viet Nam,South-eastern Asia,Asia,Ha Tinh,,,No,No,No,,,,,,,1996,1,4,1996,1,4,30,,,,,,,,,,,53.59556085,,2003-07-01,2023-09-25
1996-0447-VNM,Yes,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,VNM,Viet Nam,South-eastern Asia,Asia,"Thua Thien-Hue, Quang Nam-Da Nang, Quang Tri, Quang Ngai, Binh Dinh, Kon Tum",,,No,No,No,,,Km2,,,,1996,9,14,1996,9,19,60,,,,,,,,,13400,25002,53.59556085,,2006-07-11,2023-09-25
1996-0500-VNM,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,VNM,Viet Nam,South-eastern Asia,Asia,"Thanh Hoa, Golfe du Tonkin",,"Slide (land, mud, snow, rock)",No,No,No,,,Kph,,,,1996,8,14,1996,8,26,194,,,,,,,,,227000,423543,53.59556085,,2007-07-19,2023-09-25
1997-0186-VNM,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Zita,VNM,Viet Nam,South-eastern Asia,Asia,,,,No,No,No,,,Kph,,,,1997,8,22,1997,8,27,,,,,,,,,,5000,9116,54.84845417,,2007-05-06,2023-09-25
1997-0239-VNM,Yes,tec-ind-col-col,Technological,Industrial accident,Collapse (Industrial),Collapse (Industrial),,Gold mine,VNM,Viet Nam,South-eastern Asia,Asia,Quang Nam Province,,,No,No,No,,,m3,,,,1997,9,30,1997,9,30,28,,,,,,,,,,,54.84845417,,2003-07-01,2023-09-25
1997-0267-VNM,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Linda,VNM,Viet Nam,South-eastern Asia,Asia,"Ca Mau, Soc Trang, Ben Tre, Tien Giang, Ba Ria, Binh Thuan, Tra Vinh, Bac Lieu, Dong Thap, Ho Chi Minh City, Can Tho, Kien Giang, Binh Dinh Provinces",,,Yes,No,No,10473,102,Kph,,,,1997,11,2,1997,11,4,3682,857,697225,383045,1081127,,,5000,9116,470000,856907,54.84845417,,2007-05-06,2023-09-25
1997-0358-VNM,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Fritz,VNM,Viet Nam,South-eastern Asia,Asia,"Danang, Quang Ngai, Quang Nam-Da, Nghe An",,"Flood|Slide (land, mud, snow, rock)",No,No,No,,,Kph,,,,1997,9,20,1997,9,29,10,50,,,50,,,,,5000,9116,54.84845417,,2006-07-10,2023-09-25
1997-0393-VNM,Yes,tec-tra-wat-wat,Technological,Transport,Water,Water,,,VNM,Viet Nam,South-eastern Asia,Asia,"Fleuve Rouge, Hanoi",,,No,No,No,,,,,,,1997,8,11,1997,8,11,26,,,,,,,,,,,54.84845417,,2003-07-01,2023-09-25
1997-0447-VNM,Yes,tec-tra-roa-roa,Technological,Transport,Road,Road,,,VNM,Viet Nam,South-eastern Asia,Asia,Nha Trang,,,No,No,No,,,,,,,1997,9,20,1997,9,20,33,20,,,20,,,,,,,54.84845417,,2003-07-01,2023-09-25
1997-9525-VNM,Yes,nat-cli-dro-dro,Natural,Climatological,Drought,Drought,,,VNM,Viet Nam,South-eastern Asia,Asia,"Quang Tri, Quang Binh, Quang Ngai, Quang Nam, Ha Tinh, Nghe An, Binh Dinh, Gia Lai, Kon Tun provinces",,Food shortage,No,Yes,No,85,,Km2,,,,1997,12,,1998,6,,,,3000000,,3000000,,,,,407000,742045,54.84845417,,2006-10-26,2023-09-25
1998-0159-VNM,Yes,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,VNM,Viet Nam,South-eastern Asia,Asia,Thanh Hoa province,,,No,No,No,,,Kph,,,,1998,5,8,1998,5,8,42,,,500,500,,,,,,,55.69986281,,2003-07-01,2023-09-25
1998-0273-VNM,Yes,nat-bio-epi-vir,Natural,Biological,Epidemic,Viral disease,,Dengue,VNM,Viet Nam,South-eastern Asia,Asia,N.A. on the source,,,No,No,No,,,Vaccinated,,,,1998,9,9,1998,9,9,20,,,,,,,,,,,55.69986281,,2003-07-01,2023-09-25
1998-0316-VNM,Yes,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,VNM,Viet Nam,South-eastern Asia,Asia,"Khan Hoa, Binh Dinh, Quang Ngai, Phu Yen, Ninh Thuan",Heavy rain,,No,No,No,,110,Km2,,,,1998,10,16,1998,10,23,45,5,31030,1470,32505,,,,,13700,24596,55.69986281,,2005-10-27,2023-09-25
1998-0327-VNM,Yes,nat-bio-epi-vir,Natural,Biological,Epidemic,Viral disease,,Dengue fever,VNM,Viet Nam,South-eastern Asia,Asia,N.A. on the source,,,No,No,No,,,Vaccinated,,,,1998,9,11,1998,9,11,214,,8000,,8000,,,,,,,55.69986281,,2003-07-01,2023-09-25
1998-0374-VNM,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,"Chip, Elvis , Dawn",VNM,Viet Nam,South-eastern Asia,Asia,"Quang Binh, Khanh Hoa, Quang Tri, Thua Thien Hue, Quang Nam, Da Nang, Guang Ngai, Bin Dinh, Phu Yen, Ninh Thuan, Binh Thuan, Dac Lac, Kon Tum, Lam Dong, Giai Lai provinces",,Flood,Yes,Yes,No,,,Kph,,,,1998,11,13,1998,11,29,283,92,2400000,40000,2440092,,,,,93200,167325,55.69986281,,2006-07-09,2023-09-25
1998-0411-VNM,Yes,tec-ind-col-col,Technological,Industrial accident,Collapse (Industrial),Collapse (Industrial),,Gold Mine,VNM,Viet Nam,South-eastern Asia,Asia,Thai Nguyen,,,No,No,No,,,m3,,,,1998,12,2,1998,12,2,25,,,,,,,,,,,55.69986281,,2003-07-01,2023-09-25
1998-0434-VNM,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Faith & Gil,VNM,Viet Nam,South-eastern Asia,Asia,"Khanh Hoa, Phu Yen, Quang Nam, Ninh Thuan, Quang Ngai, Ben Tre, Bihn Thuan, Ca Mau provinces",,,No,No,No,,150,Kph,,,,1998,12,16,1998,12,16,43,,81635,3010,84645,,,,,15000,26930,55.69986281,,2003-07-01,2023-09-25
1998-0499-VNM,Yes,tec-tra-roa-roa,Technological,Transport,Road,Road,,,VNM,Viet Nam,South-eastern Asia,Asia,Binh Dinh,,,No,No,No,,,,,,,1998,3,2,1998,3,2,50,30,,,30,,,,,,,55.69986281,,2003-07-01,2023-09-25
1999-0012-VNM,Yes,tec-ind-exp-exp,Technological,Industrial accident,Explosion (Industrial),Explosion (Industrial),,Coal mine,VNM,Viet Nam,South-eastern Asia,Asia,Mao Khe (Quang Ninh Province),,,No,No,No,,,m3,,,,1999,1,12,1999,1,12,16,3,,,3,,,,,,,56.91858704,,2003-07-01,2023-09-25
1999-0033-VNM,Yes,tec-ind-exp-exp,Technological,Industrial accident,Explosion (Industrial),Explosion (Industrial),,Coal mine,VNM,Viet Nam,South-eastern Asia,Asia,Quang Ninh (Mao Khe),,,No,No,No,,,m3,,,,1999,1,11,1999,1,11,19,,,,,,,,,,,56.91858704,,2003-07-01,2023-09-25
1999-0034-VNM,Yes,tec-tra-roa-roa,Technological,Transport,Road,Road,,,VNM,Viet Nam,South-eastern Asia,Asia,Hai Duong,,,No,No,No,,,,,,,1999,1,13,1999,1,13,11,10,,,10,,,,,,,56.91858704,,2003-07-01,2023-09-25
1999-0232-VNM,Yes,tec-tra-roa-roa,Technological,Transport,Road,Road,,,VNM,Viet Nam,South-eastern Asia,Asia,Lâm Dông Province,,,No,No,No,,,,,,,1999,7,22,1999,7,22,15,4,,,4,,,,,,,56.91858704,,2003-07-01,2023-09-25
1999-0244-VNM,Yes,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,,,VNM,Viet Nam,South-eastern Asia,Asia,"Binh Thuan, Lam Dong, Dac Lac and Dong Nai",Brief torrential rain,"Slide (land, mud, snow, rock)",Yes,No,No,25,500,Km2,,,,1999,7,24,1999,8,5,40,,106885,8290,115175,,,,,19500,34259,56.91858704,,2007-05-07,2023-09-25
1999-0289-VNM,Yes,tec-tra-roa-roa,Technological,Transport,Road,Road,,,VNM,Viet Nam,South-eastern Asia,Asia,Ninh Thuan Province,,,No,No,No,,,,,,,1999,8,23,1999,8,23,11,3,,,3,,,,,,,56.91858704,,2003-07-01,2023-09-25
1999-0428-VNM,Yes,nat-hyd-flo-coa,Natural,Hydrological,Flood,Coastal flood,,,VNM,Viet Nam,South-eastern Asia,Asia,"Da Nang, Quang Nam, Thanh Hoa, Nghe An, Ha Tinh, Quang Binh, Quang Tri, Thua Thien Hue, Quang Ngai, Binh Dinh",Tropical cyclone,,Yes,No,No,5748,947,Km2,,,,1999,10,25,1999,11,9,622,412,3414000,90000,3504412,,,,,237000,416384,56.91858704,,2005-10-26,2023-09-25
1999-0574-VNM,Yes,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,VNM,Viet Nam,South-eastern Asia,Asia,"Thua Thien Hue, Khanh Hoa, Phu Yen, Binh Dinh, Quang Ngai, Quang Nam, Danang and Khanh Hoa.",Heavy rain,,Yes,No,No,1864,288,Km2,,,Thu Hong,1999,12,2,1999,12,10,127,164,2118265,45265,2163694,,,,,53000,93115,56.91858704,,2005-10-26,2023-09-25
1999-0582-VNM,Yes,tec-tra-roa-roa,Technological,Transport,Road,Road,,,VNM,Viet Nam,South-eastern Asia,Asia,Daklak,,,No,No,No,,,,,,,1999,2,18,1999,2,18,22,13,,,13,,,,,,,56.91858704,,2003-07-14,2023-09-25
1999-0637-VNM,Yes,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,VNM,Viet Nam,South-eastern Asia,Asia,Baie d'Halong - Quang Ninh Province,,,No,No,No,,,Kph,,,,1999,6,6,1999,6,6,10,,,,,,,,,,,56.91858704,,2003-07-01,2023-09-25
1999-9084-VNM,Yes,nat-cli-dro-dro,Natural,Climatological,Drought,Drought,,,VNM,Viet Nam,South-eastern Asia,Asia,Central - North regions,,,No,No,No,,1650,Km2,,,,1999,1,,1999,,,,,1400000,,1400000,,,,,,,56.91858704,,2006-02-28,2023-09-25
2000-0068-VNM,No,tec-tra-roa-roa,Technological,Transport,Road,Road,,,VNM,Viet Nam,South-eastern Asia,Asia,Nghê An Province,,,No,No,No,,,,,,,2000,2,14,2000,2,14,57,11,,,11,,,,,,,58.84064849,,2003-07-01,2023-09-25
2000-0361-VNM,No,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,VNM,Viet Nam,South-eastern Asia,Asia,"Binh Hoa, Giao Ha villages (Giao Thuy district, Nam Dinh province)",,,No,No,No,,,Kph,,,,2000,6,12,2000,6,12,3,29,,100,129,,,,,,,58.84064849,"[{""adm2_code"":74157,""adm2_name"":""Giao Thuy""}]",2003-07-01,2023-09-25
2000-0408-VNM,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,VNM,Viet Nam,South-eastern Asia,Asia,"Long An, Dong Thap, An Giang, Kien Giang, Can Tho city, Vinh Long, Tien Giang provinces",,,Yes,No,No,9402,1400,Km2,,,,2000,7,,2000,11,,460,4,5000000,,5000004,,,,,250000,424876,58.84064849,"[{""adm1_code"":3326,""adm1_name"":""An Giang""},{""adm1_code"":3343,""adm1_name"":""Dong Thap""},{""adm1_code"":3356,""adm1_name"":""Kien Giang""},{""adm1_code"":3362,""adm1_name"":""Long An""},{""adm1_code"":3384,""adm1_name"":""Tien Giang""},{""adm1_code"":3388,""adm1_name"":""Vinh Long""},{""adm1_code"":73933,""adm1_name"":""Can Tho city""}]",2006-09-17,2023-09-25
2000-0439-VNM,No,nat-hyd-mmw-lan,Natural,Hydrological,Mass movement (wet),Landslide (wet),,,VNM,Viet Nam,South-eastern Asia,Asia,"Ban Sai village (Sa Pa district, Lao Cai province)",,,No,No,No,,,,,,,2000,7,22,2000,7,22,33,22,,,22,,,,,,,58.84064849,"[{""adm2_code"":32444,""adm2_name"":""Sa Pa""}]",2003-07-01,2023-09-25
2000-0448-VNM,No,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,VNM,Viet Nam,South-eastern Asia,Asia,Can Tho city province,,,No,No,No,,,Kph,,,,2000,7,10,2000,7,10,,,2005,,2005,,,,,,,58.84064849,"[{""adm1_code"":73933,""adm1_name"":""Can Tho city""}]",2003-07-01,2023-09-25
2000-0518-VNM,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Kaemi,VNM,Viet Nam,South-eastern Asia,Asia,"Quang Binh, Quang Tri, Thua Thien - Hue, Quang Nam, Quang Ngai, Binh Dinh, Da Nang City provinces",,,No,No,No,,,Kph,,,,2000,8,20,2000,8,20,15,4,,,4,,,,,5000,8498,58.84064849,"[{""adm1_code"":3333,""adm1_name"":""Binh Dinh""},{""adm1_code"":3340,""adm1_name"":""Da Nang City""},{""adm1_code"":3371,""adm1_name"":""Quang Binh""},{""adm1_code"":3372,""adm1_name"":""Quang Nam""},{""adm1_code"":3374,""adm1_name"":""Quang Ngai""},{""adm1_code"":3376,""adm1_name"":""Quang Tri""},{""adm1_code"":3383,""adm1_name"":""Thua Thien - Hue""}]",2003-07-01,2023-09-25
2000-0540-VNM,No,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,VNM,Viet Nam,South-eastern Asia,Asia,"My Tho City, Go Cong Township districts (Tien Giang province)",,,No,No,No,,,Kph,,,,2000,8,24,2000,8,24,,100,,5630,5730,,,,,,,58.84064849,"[{""adm2_code"":74228,""adm2_name"":""Go Cong Township""},{""adm2_code"":74229,""adm2_name"":""My Tho City""}]",2003-07-01,2023-09-25
2000-0541-VNM,No,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,VNM,Viet Nam,South-eastern Asia,Asia,Rach Gia Township district (Kien Giang province),,,No,No,No,,,Kph,,,,2000,8,24,2000,8,24,,3,500,,503,,,,,35,59,58.84064849,"[{""adm2_code"":32402,""adm2_name"":""Rach Gia Township""}]",2003-07-01,2023-09-25
2000-0542-VNM,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,VNM,Viet Nam,South-eastern Asia,Asia,"Khanh Binh Tay village (Tran Van Thoi district, Ca Mau province)",,,No,No,No,,,Kph,,,,2000,8,24,2000,8,24,,4,,130,134,,,,,,,58.84064849,"[{""adm2_code"":32268,""adm2_name"":""Tran Van Thoi""}]",2003-07-01,2023-09-25
2000-0582-VNM,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Wukong,VNM,Viet Nam,South-eastern Asia,Asia,"Thach Ha, Cam Xuyen, Ky Anh districts (Ha Tinh province)",,,No,No,No,,120,Kph,,,,2000,9,10,2000,9,10,5,29,,6000,6029,,,,,21000,35690,58.84064849,"[{""adm2_code"":32346,""adm2_name"":""Cam Xuyen""},{""adm2_code"":32351,""adm2_name"":""Ky Anh""},{""adm2_code"":32353,""adm2_name"":""Thach Ha""}]",2003-07-01,2023-09-25
2000-0680-VNM,No,nat-hyd-mmw-lan,Natural,Hydrological,Mass movement (wet),Landslide (wet),,,VNM,Viet Nam,South-eastern Asia,Asia,Sin Ho district (Lai Chau province),,,No,No,No,,,,,,,2000,10,3,2000,10,3,40,17,,,17,,,,,,,58.84064849,"[{""adm2_code"":74143,""adm2_name"":""Sin Ho""}]",2003-07-01,2023-09-25
2000-0748-VNM,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,VNM,Viet Nam,South-eastern Asia,Asia,"Quang Nam, Khanh Hoa, Phu Yen, Ninh Thuan, Binh Thuan, Quang Ngai, Binh Dinh, Quang Tri, Thua Thien-Hue provinces",,,No,No,No,,49140,Km2,,,,2000,11,18,2000,11,26,36,3,25000,,25003,,,,,15000,25493,58.84064849,"[{""adm1_code"":3333,""adm1_name"":""Binh Dinh""},{""adm1_code"":3336,""adm1_name"":""Binh Thuan""},{""adm1_code"":3355,""adm1_name"":""Khanh Hoa""},{""adm1_code"":3368,""adm1_name"":""Ninh Thuan""},{""adm1_code"":3370,""adm1_name"":""Phu Yen""},{""adm1_code"":3372,""adm1_name"":""Quang Nam""},{""adm1_code"":3374,""adm1_name"":""Quang Ngai""},{""adm1_code"":3376,""adm1_name"":""Quang Tri""},{""adm1_code"":3383,""adm1_name"":""Thua Thien - Hue""}]",2004-10-19,2023-09-25
2001-0139-VNM,No,tec-tra-air-air,Technological,Transport,Air,Air,,Helicopter Mi-17,VNM,Viet Nam,South-eastern Asia,Asia,"Thanh Trach (Bo Tranh district, Quang Bing province)",,,No,No,No,,,,,,,2001,4,7,2001,4,7,16,,,,,,,,,,,60.50357889,,2003-07-01,2023-09-25
2001-0150-VNM,No,tec-tra-wat-wat,Technological,Transport,Water,Water,,,VNM,Viet Nam,South-eastern Asia,Asia,"Thi Vai river (Tan Thanh district, Ba Ria-Vung Tau province)",,,No,No,No,,,,,,,2001,4,13,2001,4,13,16,,,,,,,,,,,60.50357889,,2003-07-01,2023-09-25
2001-0251-VNM,No,tec-tra-roa-roa,Technological,Transport,Road,Road,,,VNM,Viet Nam,South-eastern Asia,Asia,Yen Bai province,,,No,No,No,,,,,,,2001,6,13,2001,6,13,15,2,,,2,,,,,,,60.50357889,,2003-07-01,2023-09-25
2001-0318-VNM,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Durian,VNM,Viet Nam,South-eastern Asia,Asia,"Thai Nguyen, Tuyen Quang, Vinh Phuc provinces",,,No,No,No,,,Kph,,,,2001,7,4,2001,7,4,30,3,117450,,117453,,,,,25000,41320,60.50357889,"[{""adm1_code"":3381,""adm1_name"":""Thai Nguyen""},{""adm1_code"":3387,""adm1_name"":""Tuyen Quang""},{""adm1_code"":3389,""adm1_name"":""Vinh Phuc""}]",2003-07-01,2023-09-25
2001-0346-VNM,No,tec-mis-exp-exp,Technological,Miscellaneous accident,Explosion (Miscellaneous),Explosion (Miscellaneous),,Army base,VNM,Viet Nam,South-eastern Asia,Asia,Hoa They,,,No,No,No,,,,,,,2001,6,6,2001,6,6,,4,,500,504,,,,,,,60.50357889,,2003-07-01,2023-09-25
2001-0361-VNM,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,VNM,Viet Nam,South-eastern Asia,Asia,"Tien Yen, Dong Trieu, Hoanh Bo districts (Quang Ninh province)",,,No,No,No,,,Km2,,,,2001,6,30,2001,6,30,9,,175,,175,,,,,,,60.50357889,"[{""adm2_code"":32546,""adm2_name"":""Dong Trieu""},{""adm2_code"":32548,""adm2_name"":""Hoanh Bo""},{""adm2_code"":32551,""adm2_name"":""Tien Yen""}]",2003-07-01,2023-09-25
2001-0436-VNM,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Usagi,VNM,Viet Nam,South-eastern Asia,Asia,"Ha Tinh, Nghe An, Quang Binh, Thanh Hoa provinces",,,No,No,No,,196,Kph,,,,2001,8,11,2001,8,11,3,3,,10000,10003,,,,,3200,5289,60.50357889,"[{""adm1_code"":3349,""adm1_name"":""Ha Tinh""},{""adm1_code"":3366,""adm1_name"":""Nghe An""},{""adm1_code"":3371,""adm1_name"":""Quang Binh""},{""adm1_code"":3382,""adm1_name"":""Thanh Hoa""}]",2003-07-01,2023-09-25
2001-0492-VNM,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,VNM,Viet Nam,South-eastern Asia,Asia,"Long An, Dong Thap, An Giang, Can Tho city, Phu Tho, Kien Giang, Tien Giang, Vinh Long, Soc Trang, Tra Vinh, Ben Tre provinces",Monsoonal rain,,Yes,No,No,,745,Km2,,,"Mekong, Tien and Hau",2001,8,15,2001,11,19,310,,1570270,,1570270,,,,,84000,138835,60.50357889,"[{""adm1_code"":3326,""adm1_name"":""An Giang""},{""adm1_code"":3332,""adm1_name"":""Ben Tre""},{""adm1_code"":3343,""adm1_name"":""Dong Thap""},{""adm1_code"":3356,""adm1_name"":""Kien Giang""},{""adm1_code"":3362,""adm1_name"":""Long An""},{""adm1_code"":3369,""adm1_name"":""Phu Tho""},{""adm1_code"":3377,""adm1_name"":""Soc Trang""},{""adm1_code"":3384,""adm1_name"":""Tien Giang""},{""adm1_code"":3386,""adm1_name"":""Tra Vinh""},{""adm1_code"":3388,""adm1_name"":""Vinh Long""},{""adm1_code"":73933,""adm1_name"":""Can Tho city""}]",2005-09-20,2023-09-25
2001-0577-VNM,No,tec-tra-roa-roa,Technological,Transport,Road,Road,,,VNM,Viet Nam,South-eastern Asia,Asia,Ninh Thuan province,,,No,No,No,,,,,,,2001,10,15,2001,10,15,13,14,,,14,,,,,,,60.50357889,,2003-07-01,2023-09-25
2001-0587-VNM,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,,,VNM,Viet Nam,South-eastern Asia,Asia,"Quang Nam, Quang Ngai, Ha Tinh, Nghe An, Quang Tri, Phu Yen provinces",Brief torrential rain,,No,No,No,,72000,Km2,,,,2001,10,20,2001,10,24,20,6,35000,,35006,,,,,4700,7768,60.50357889,"[{""adm1_code"":3349,""adm1_name"":""Ha Tinh""},{""adm1_code"":3366,""adm1_name"":""Nghe An""},{""adm1_code"":3370,""adm1_name"":""Phu Yen""},{""adm1_code"":3372,""adm1_name"":""Quang Nam""},{""adm1_code"":3374,""adm1_name"":""Quang Ngai""},{""adm1_code"":3376,""adm1_name"":""Quang Tri""}]",2004-10-28,2023-09-25
2001-0622-VNM,No,tec-tra-roa-roa,Technological,Transport,Road,Road,,,VNM,Viet Nam,South-eastern Asia,Asia,Xuan Loc district (Dong Nai province),,,No,No,No,,,,,,,2001,11,11,2001,11,11,10,6,,,6,,,,,,,60.50357889,,2003-07-01,2023-09-25
2001-0624-VNM,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Lingling (Nanang),VNM,Viet Nam,South-eastern Asia,Asia,"Phu Yen, Binh Dinh, Quang Ngai, Quang Tri provinces",,,No,No,No,,,Kph,,,,2001,11,12,2001,11,12,20,83,60000,13100,73183,,,,,55000,90904,60.50357889,"[{""adm1_code"":3333,""adm1_name"":""Binh Dinh""},{""adm1_code"":3370,""adm1_name"":""Phu Yen""},{""adm1_code"":3374,""adm1_name"":""Quang Ngai""},{""adm1_code"":3376,""adm1_name"":""Quang Tri""}]",2003-07-01,2023-09-25
2001-0654-VNM,No,nat-hyd-flo-coa,Natural,Hydrological,Flood,Coastal flood,,,VNM,Viet Nam,South-eastern Asia,Asia,Thu Duc district (Ho Chi Minh City province),,,No,No,No,,,Km2,,,,2001,11,4,2001,11,4,,,3000,,3000,,,,,,,60.50357889,"[{""adm2_code"":32641,""adm2_name"":""Thu Duc""}]",2003-07-01,2023-09-25
2002-0197-VNM,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,VNM,Viet Nam,South-eastern Asia,Asia,"U Minh Thuong National Park (Kien Giang province), U Minh Ha (Ca Mau province)",,,Yes,No,No,50,55,Km2,,,,2002,3,24,2002,4,12,,,,,,,,,,,,61.46318826,"[{""adm1_code"":3339,""adm1_name"":""Ca Mau""},{""adm1_code"":3356,""adm1_name"":""Kien Giang""}]",2005-04-19,2023-09-25
2002-0470-VNM,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,VNM,Viet Nam,South-eastern Asia,Asia,"Lai Chau, Lao Cai, Ha Giang, Tuyen Quang, Bac Kan, Son La, Lam Dong provinces",Heavy rain,,No,No,No,,27820,Km2,,,"Hong, Thai Binh, Lo.",2002,7,31,2002,8,6,10,,2000,,2000,,,,,2200,3579,61.46318826,"[{""adm1_code"":3328,""adm1_name"":""Bac Kan""},{""adm1_code"":3345,""adm1_name"":""Ha Giang""},{""adm1_code"":3359,""adm1_name"":""Lam Dong""},{""adm1_code"":3378,""adm1_name"":""Son La""},{""adm1_code"":3387,""adm1_name"":""Tuyen Quang""},{""adm1_code"":73938,""adm1_name"":""Lai Chau""},{""adm1_code"":73939,""adm1_name"":""Lao Cai""}]",2005-09-23,2023-09-25
2002-0580-VNM,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,VNM,Viet Nam,South-eastern Asia,Asia,"Long An, Dong Thap, An Giang provinces",,,No,No,No,1622,,Km2,,,,2002,9,,2002,9,,82,,1138200,,1138200,,,,,23900,38885,61.46318826,"[{""adm1_code"":3326,""adm1_name"":""An Giang""},{""adm1_code"":3343,""adm1_name"":""Dong Thap""},{""adm1_code"":3362,""adm1_name"":""Long An""}]",2005-04-19,2023-09-25
2002-0610-VNM,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,VNM,Viet Nam,South-eastern Asia,Asia,"Ha Tinh, Nghe An provinces",Heavy rain,,No,No,No,,19980,Km2,,,La River,2002,9,20,2002,9,30,55,116,291500,,291616,,,,,58000,94365,61.46318826,"[{""adm1_code"":3349,""adm1_name"":""Ha Tinh""},{""adm1_code"":3366,""adm1_name"":""Nghe An""}]",2005-09-26,2023-09-25
2002-0679-VNM,No,tec-mis-fir-fir,Technological,Miscellaneous accident,Fire (Miscellaneous),Fire (Miscellaneous),,Centre d'affaires international,VNM,Viet Nam,South-eastern Asia,Asia,Ho Chi Minh,,,No,No,No,,,,,,,2002,10,29,2002,10,29,60,100,,,100,,,,,2000,3254,61.46318826,,2003-07-01,2023-09-25
2002-0725-VNM,No,nat-met-sto-lig,Natural,Meteorological,Storm,Lightning/Thunderstorms,,,VNM,Viet Nam,South-eastern Asia,Asia,Long An province,,,No,No,No,,0,Kph,,,,2002,10,,2002,10,,,,1800,,1800,,,,,100,163,61.46318826,"[{""adm1_code"":3362,""adm1_name"":""Long An""}]",2003-07-01,2023-09-25
2002-0858-VNM,No,nat-bio-epi-vir,Natural,Biological,Epidemic,Viral disease,,Acute respiratory syndrome (SARS),VNM,Viet Nam,South-eastern Asia,Asia,"Hanoi, Ho Chi Minh city",,,Yes,No,No,,,Vaccinated,,,,2003,2,23,2003,4,14,5,,58,,58,,,,,,,62.8584595,,2004-08-24,2023-09-25
