STT;Tên trang thiết bị;Chủng loại  (model) / Mã sản phẩm;Số lưu hành hoặc số giấy phép nhập khẩu;Năm sản xuất;Nước sản xuất;Hãng sản xuất;Hãng/ nước chủ sở hữu;Đơn vị tính; Số lượng ; Đơn giá trúng thầu (VNĐ) ;Tính năng kỹ thuật cơ bản;Đơn vị trúng thầu;Mã số thuế của đơn vị trúng thầu;Tên cơ sở y tế tổ chức đấu thầu;Số/ngày ban hành Quyết định trúng thầu;;;;;;;;;
110;CleanCell M;4880293214;220002229/PCBA-HCM;2023 trở về sau;Trung Quốc;Roche Diagnostics (Suzhou) Ltd;Roche Diagnostics GmbH/ Đức;Hộp; 45 ; 2.001.300 ;Dung dịch hệ thống dùng để rửa bộ phát hiện của máy phân tích xét nghiệm miễn dịch;Công ty Cổ phần Thiết bị Y tế Thành An;106622681;Bệnh viện Đa khoa tỉnh Lạng Sơn;Số 1462/QĐ-BVĐK ngày 20/12/2024;;;;;;;;;
111;ProCell M;4880340190;220000840/PCBA-HCM;2023 trở về sau;Đức;Roche Diagnostics GmbH;Roche Diagnostics GmbH/ Đức;Hộp; 45 ; 1.688.400 ;"Đệm phosphate 300 mmol/L; tripropylamine 180 mmol/L; chất tẩy ≤ 0.1 %; chất bảo quản; pH 6.8.";Công ty Cổ phần Thiết bị Y tế Thành An;106622681;Bệnh viện Đa khoa tỉnh Lạng Sơn;Số 1462/QĐ-BVĐK ngày 20/12/2024;;;;;;;;;
112;ISE Cleaning Solution / Elecsys SysClean;11298500316;220000551/PCBA-HCM;2023 trở về sau;Đức;Roche Diagnostics GmbH;Roche Diagnostics GmbH/ Đức;Hộp; 4 ; 1.679.475 ;"Natri hydroxide 3 mol/L
 Dung dịch natri hypochlorite (<2 % clo hoạt tính)
 Phụ gia";Công ty Cổ phần Thiết bị Y tế Thành An;106622681;Bệnh viện Đa khoa tỉnh Lạng Sơn;Số 1462/QĐ-BVĐK ngày 20/12/2024;;;;;;;;;
113;PreClean M;3004899190;240001711/PCBA-HCM;2023 trở về sau;Đức;Roche Diagnostics GmbH;Roche Diagnostics GmbH/ Đức;Hộp; 29 ; 1.333.500 ;"Đệm phosphate 10 mmol/L; natri chloride 20 mmol/L; chất tẩy
 ≤ 0.1 %; chất bảo quản; pH 7.0.";Công ty Cổ phần Thiết bị Y tế Thành An;106622681;Bệnh viện Đa khoa tỉnh Lạng Sơn;Số 1462/QĐ-BVĐK ngày 20/12/2024;;;;;;;;;
114;01163 STA - NeoPTimal 5;01163 STA - NeoPTimal 5;9221NK/BYT-TB-CT;2023-2024;Pháp;Stago;Stago/ Pháp;Hộp; 40 ; 3.150.000 ;- R1: chứa thromboplastin đông khô được chiết xuất từ não thỏ. Ngoài ra còn chứa một chất ức chế heparin đặc hiệu. - R2: dung môi hòa tan có chứa canxi.;Công ty Cổ phần thiết bị y tế Thuận Thành;108374963;Bệnh viện Đa khoa tỉnh Lạng Sơn;Số 1462/QĐ-BVĐK ngày 20/12/2024;;;;;;;;;
115;00597 STA - C.K. Prest 5;00597 STA - C.K. Prest 5;9221NK/BYT-TB-CT;2023-2024;Pháp;Stago;Stago/ Pháp;Hộp; 16 ; 6.478.500 ;Hóa chất dùng để xác định thời gian thromboplastin hoạt hóa từng phần (APTT) trong huyết tương, chứa cephalin từ mô não thỏ, dung dịch đệm kaolin.;Công ty Cổ phần thiết bị y tế Thuận Thành;108374963;Bệnh viện Đa khoa tỉnh Lạng Sơn;Số 1462/QĐ-BVĐK ngày 20/12/2024;;;;;;;;;
116;00367 STA - CaCl2 0.025M;00367 STA - CaCl2 0.025M;9221NK/BYT-TB-CT;2023-2024;Pháp;Stago;Stago/ Pháp;Hộp; 2 ; 3.977.400 ;Dung dịch Canxi Clorua 0.025 M dùng cho các xét nghiệm đông máu như thời gian hoạt hóa thromboplastin từng phần (APTT) hay cho các phân tích các yếu tố con đường nội sinh;Công ty Cổ phần thiết bị y tế Thuận Thành;108374963;Bệnh viện Đa khoa tỉnh Lạng Sơn;Số 1462/QĐ-BVĐK ngày 20/12/2024;;;;;;;;;
117;00669 STA - Thrombin 10;00669 STA - Thrombin 10;9221NK/BYT-TB-CT;2023-2024;Pháp;Stago;Stago/ Pháp;Hộp; 8 ; 17.619.000 ;Hóa chất xét nghiệm thời gian Thrombin. Chứa thrombin citrat canxi (người), khoảng 1.5 NIH unit/ml, dạng đông khô.;Công ty Cổ phần thiết bị y tế Thuận Thành;108374963;Bệnh viện Đa khoa tỉnh Lạng Sơn;Số 1462/QĐ-BVĐK ngày 20/12/2024;;;;;;;;;
118;00673 STA - Liquid Fib;00673 STA - Liquid Fib;9221NK/BYT-TB-CT;2023-2024;Pháp;Stago;Stago/ Pháp;Hộp; 1 ; 19.981.500 ;Hóa chất chứa thrombin người đã citrat hóa có chứa canxi (khoảng 100 NIH units/ml) và có chứa một chất ức chế đặc hiệu heparin inhibitor cho phép phân tích fibrinogen trong mẫu huyêt tương có heparin.;Công ty Cổ phần thiết bị y tế Thuận Thành;108374963;Bệnh viện Đa khoa tỉnh Lạng Sơn;Số 1462/QĐ-BVĐK ngày 20/12/2024;;;;;;;;;
119;00360 STA - Owren-Koller;00360 STA - Owren-Koller;9221NK/BYT-TB-CT;2023-2024;Pháp;Stago;Stago/ Pháp;Hộp; 1 ; 4.273.500 ;Dung dịch pha loãng cho xét nghiệm đông máu (dung dịch đệm) có pH khoảng 7,35.;Công ty Cổ phần thiết bị y tế Thuận Thành;108374963;Bệnh viện Đa khoa tỉnh Lạng Sơn;Số 1462/QĐ-BVĐK ngày 20/12/2024;;;;;;;;;
120;00554 STA - Routine QC 2 ml;00554 STA - Routine QC 2 ml;9221NK/BYT-TB-CT;2023-2024;Pháp;Stago;Stago/ Pháp;Hộp; 4 ; 10.500.000 ;"Huyết tương người bình thường và bất bình thường có citrated dạng đông khô; gồm hai mức nồng độ khác nhau của các chỉ số đông máu thường quy: PT, aPTT, TT, Fibrinogen, Antithrombin. Bền 24 giờ trên máy.";Công ty Cổ phần thiết bị y tế Thuận Thành;108374963;Bệnh viện Đa khoa tỉnh Lạng Sơn;Số 1462/QĐ-BVĐK ngày 20/12/2024;;;;;;;;;
121;00975 STA - Desorb U;00975 STA - Desorb U;9221NK/BYT-TB-CT;2023-2024;Pháp;Stago;Stago/ Pháp;Hộp; 10 ; 8.198.400 ;Hóa chất rửa kim hệ thống máy đông máu tự động, bền trên máy 5 ngày, chứa potassium hydroxide nồng độ < 1 %;Công ty Cổ phần thiết bị y tế Thuận Thành;108374963;Bệnh viện Đa khoa tỉnh Lạng Sơn;Số 1462/QĐ-BVĐK ngày 20/12/2024;;;;;;;;;
122;00973 STA - Cleaner Solution;00973 STA - Cleaner Solution;230001909/PCBA-HCM;2023-2024;Ireland;Tcoag Ireland Limited;Tcoag Ireland Limited / Ireland;Thùng; 10 ; 9.510.900 ;Dung dịch rửa pha sẵn cho các hệ thống phân tích đông máu tự động, thành phần chính chứa chất diệt nấm họ ether glycol pha loãng trong dung môi nước.;Công ty Cổ phần thiết bị y tế Thuận Thành;108374963;Bệnh viện Đa khoa tỉnh Lạng Sơn;Số 1462/QĐ-BVĐK ngày 20/12/2024;;;;;;;;;
123;"38669 
 STA- Cuvettes 6 x 1000";"38669 
 STA- Cuvettes 6 x 1000";240000328/PCBA-HCM;2023-2024;Pháp;Stago;Stago/ Pháp;Thùng; 2 ; 62.895.000 ;Cuvette bằng nhựa dùng một lần, có bi làm bằng thép không gỉ bên trong;Công ty Cổ phần thiết bị y tế Thuận Thành;108374963;Bệnh viện Đa khoa tỉnh Lạng Sơn;Số 1462/QĐ-BVĐK ngày 20/12/2024;;;;;;;;;
124;00595 STA PTT A 5;00595 STA PTT A 5;9221NK/BYT-TB-CT;2023-2024;Pháp;Stago;Stago/ Pháp;Hộp; 1 ; 16.999.500 ;Hóa chất dùng xác định thời gian hoạt hóa thromboplastin từng phần (APTT) trong huyết tương, chứa cephalin từ mô não thỏ , chất kích hoạt đặc hiệu silica;Công ty Cổ phần thiết bị y tế Thuận Thành;108374963;Bệnh viện Đa khoa tỉnh Lạng Sơn;Số 1462/QĐ-BVĐK ngày 20/12/2024;;;;;;;;;
125;ABX DILUENT 20L;901020;220000084/PCBB-BD ngày 28/12/2022;2024-2025;Pháp;Horiba ABX SAS;HORIBA ABX SAS/ Pháp;Thùng; 25 ; 3.479.994 ;"Là dung dịch đệm đẳng trương để sử dụng trong chẩn đoán in vitro và được thiết kế để bao phủ và pha loãng bạch cầu (WBC), để xác định và phân biệt các tế bào máu và đo hematocrit trên các máy đếm tế bào máu.
 - Thành phần:
 + Dung dịch đệm hữu cơ (Organic buffer) <= 5% , chất bảo quản (Preservative) <= 0,1%
 + Chất diện hoạt (Surfactant) <= 0,1%";Công ty Cổ phần Thương mại Quốc tế Khánh Ngọc;105463319;Bệnh viện Đa khoa tỉnh Lạng Sơn;Số 1462/QĐ-BVĐK ngày 20/12/2024;;;;;;;;;
126;ABX LYSEBIO 1L;906012;220000087/PCBB-BD ngày 28/12/2022;2024-2025;Pháp;Horiba ABX SAS;HORIBA ABX SAS/ Pháp;Chai; 6 ; 5.234.985 ;"Là dung dịch ly giải để sử dụng trong chẩn đoán in vitro và được thiết kế để ly giải hồng cầu (RBC) và để xác định xác định hemoglobin trên các máy đếm tế bào máu.
 -Thành phần: + Dung dịch đệm hữu cơ (Organic buffer) <= 5%
 + Chất tẩy rửa (Detergent) <= 2,5%";Công ty Cổ phần Thương mại Quốc tế Khánh Ngọc;105463319;Bệnh viện Đa khoa tỉnh Lạng Sơn;Số 1462/QĐ-BVĐK ngày 20/12/2024;;;;;;;;;
127;NUCEDIFF 1L;1300027030;220000087/PCBB-BD ngày 28/12/2022;2024-2025;Pháp;Horiba ABX SAS;HORIBA ABX SAS/ Pháp;Chai; 13 ; 5.749.989 ;"Là dung dịch ly giải để sử dụng trong chẩn đoán in vitro và được thiết kế để phân biệt các quần thể phụ có nhân trên các máy đếm tế bào máu.
 - Thành phần:
 + Dung dịch đệm hữu cơ (Organic buffer)<= 5%
 + Chất tẩy rửa (Detergent) <= 1%
 + Cồn (Alcohol) <= 10%
 + Chất bảo quản (Preservative) <= 0,1%";Công ty Cổ phần Thương mại Quốc tế Khánh Ngọc;105463319;Bệnh viện Đa khoa tỉnh Lạng Sơn;Số 1462/QĐ-BVĐK ngày 20/12/2024;;;;;;;;;
128;ABX BASOLYSE 5L;204050;220000087/PCBB-BD ngày 28/12/2022;2024-2025;Pháp;Horiba ABX SAS;HORIBA ABX SAS/ Pháp;Thùng; 12 ; 5.899.950 ;"Là dung dịch ly giải để sử dụng trong chẩn đoán in vitro và được thiết kế để ly giải hồng cầu (RBC) cho việc đếm bạch cầu (WBC) và phân loại bạch cầu trên các máy đếm tế bào máu.
 - Thành phần:
 + Dung dịch đệm hữu cơ (Organic buffer) <= 5%
 + Chất tẩy rửa (Detergent) <= 1%
 + Chất bảo quản (Preservative) <= 0,1%";Công ty Cổ phần Thương mại Quốc tế Khánh Ngọc;105463319;Bệnh viện Đa khoa tỉnh Lạng Sơn;Số 1462/QĐ-BVĐK ngày 20/12/2024;;;;;;;;;
129;ABX CLEANER 1L;903010;220000065/PCBA-BD ngày 28/12/2022;2024-2025;Pháp;Horiba ABX SAS;HORIBA ABX SAS/ Pháp;Chai; 23 ; 2.100.000 ;"Là dung dịch enzym để sử dụng trong chẩn đoán in vitro với tác dụng thủy phân protein để làm sạch các máy đếm tế bào máu.
 - Thành phần:
 + Dung dịch đệm hữu cơ (Organic buffer) <= 5%
 + Enzym thủy phân protein (Proteolytic enzyme) <= 1%
 + Chất bảo quản (Preservative) <= 1%";Công ty Cổ phần Thương mại Quốc tế Khánh Ngọc;105463319;Bệnh viện Đa khoa tỉnh Lạng Sơn;Số 1462/QĐ-BVĐK ngày 20/12/2024;;;;;;;;;
130;ABX MINOCLAIR 0,5L;401005;220000064/PCBA-BD ngày 28/12/2022;2024-2025;Pháp;Horiba ABX SAS;HORIBA ABX SAS/ Pháp;Chai; 1 ; 1.197.000 ;"Là dung dịch hóa học để sử dụng trong chẩn đoán in vitro và được thiết kế để làm sạch máy đếm tế bào máu.
 - Dung dịch nước base, trong suốt, màu vàng nhạt, có mùi chất tẩy trắng
 - Thuốc thử này được phân loại là không nguy hại theo đúng quy định (EC) Số 1272/2008
 - Thành phần:
 + Chất làm sạch hóa chất (Chemical cleaning agent) <= 5%
 + Chất ổn định hóa học (Stabilizer) <= 1%
 - Nhiệt độ bảo quản:
 + Điều kiện bảo quản (trước khi mở): 18-25°C. Không để đông lạnh.
 + Độ ổn định sau khi mở: Tối đa 6 tháng ở 18-25°C sau khi mở.";Công ty Cổ phần Thương mại Quốc tế Khánh Ngọc;105463319;Bệnh viện Đa khoa tỉnh Lạng Sơn;Số 1462/QĐ-BVĐK ngày 20/12/2024;;;;;;;;;
131;ABX DIFFTROL 2N;2062203;220000069/PCBB-BD ngày 21/112022;2024-2025;Mỹ;R&D Systems Inc.;R&D Systems Inc./ Mỹ;Hộp; 2 ; 3.675.000 ;"Là chất đối chiếu (control) đa thông số 3 mức để sử dụng trong chẩn đoán in vitro và được thiết kế để sử dụng trong việc theo dõi độ đúng và độ chính xác của các máy đếm tế bào máu dùng trong huyết học.
 - Thành phần: chứa bạch cầu (WBC), hồng cầu (RBC) và tiểu cầu (PLT) của động vật có vú được làm thành hỗn dịch ở dạng dịch giống như huyết tương.
  Điều kiện bảo quản: + 2-8°C (35-46°F), Không để đông lạnh.";Công ty Cổ phần Thương mại Quốc tế Khánh Ngọc;105463319;Bệnh viện Đa khoa tỉnh Lạng Sơn;Số 1462/QĐ-BVĐK ngày 20/12/2024;;;;;;;;;
132;ABX DIFFTROL 2L;2062207;220000069/PCBB-BD ngày 21/112022;2024-2025;Mỹ;R&D Systems Inc.;R&D Systems Inc./ Mỹ;Hộp; 2 ; 3.949.995 ;"Là chất đối chiếu (control) đa thông số 3 mức để sử dụng trong chẩn đoán in vitro và được thiết kế để sử dụng trong việc theo dõi độ đúng và độ chính xác của các máy đếm tế bào máu dùng trong huyết học.
 - Thành phần: chứa bạch cầu (WBC), hồng cầu (RBC) và tiểu cầu (PLT) của động vật có vú được làm thành hỗn dịch ở dạng dịch giống như huyết tương.
  Điều kiện bảo quản: + 2-8°C (35-46°F), Không để đông lạnh.";Công ty Cổ phần Thương mại Quốc tế Khánh Ngọc;105463319;Bệnh viện Đa khoa tỉnh Lạng Sơn;Số 1462/QĐ-BVĐK ngày 20/12/2024;;;;;;;;;
133;ABX DIFFTROL 2H;2062208;220000069/PCBB-BD ngày 21/112022;2024-2025;Mỹ;R&D Systems Inc.;R&D Systems Inc./ Mỹ;Hộp; 2 ; 3.949.995 ;"Là chất đối chiếu (control) đa thông số 3 mức để sử dụng trong chẩn đoán in vitro và được thiết kế để sử dụng trong việc theo dõi độ đúng và độ chính xác của các máy đếm tế bào máu dùng trong huyết học.
 - Thành phần: chứa bạch cầu (WBC), hồng cầu (RBC) và tiểu cầu (PLT) của động vật có vú được làm thành hỗn dịch ở dạng dịch giống như huyết tương.
  Điều kiện bảo quản: + 2-8°C (35-46°F), Không để đông lạnh.";Công ty Cổ phần Thương mại Quốc tế Khánh Ngọc;105463319;Bệnh viện Đa khoa tỉnh Lạng Sơn;Số 1462/QĐ-BVĐK ngày 20/12/2024;;;;;;;;;
134;Eluent 80A;71262;230000209/PCBB-HN;Năm 2024 trở về sau;Nhật Bản;Arkray Factory, Inc.;Arkray Factory, Inc./Nhật Bản;Hộp; 3 ; 9.700.000 ;"Gồm: Sodium azide: ≤ 0.01 %; Oxidizing agent: ≤ 0.7%; Phosphate: ≤ 1%.";Công ty Cổ phần Y tế Quang Minh;102277113;Bệnh viện Đa khoa tỉnh Lạng Sơn;Số 1462/QĐ-BVĐK ngày 20/12/2024;;;;;;;;;
135;Eluent 80B;71263;230000209/PCBB-HN;Năm 2024 trở về sau;Nhật Bản;Arkray Factory, Inc.;Arkray Factory, Inc./Nhật Bản;Hộp; 1 ; 5.180.000 ;"Gồm: Sodium azide: ≤ 0.06%; Oxidizing agent: ≤ 3%; Phosphate: ≤ 2%.";Công ty Cổ phần Y tế Quang Minh;102277113;Bệnh viện Đa khoa tỉnh Lạng Sơn;Số 1462/QĐ-BVĐK ngày 20/12/2024;;;;;;;;;
136;Eluent 80CV;71278;230000209/PCBB-HN;Năm 2024 trở về sau;Nhật Bản;Arkray Factory, Inc.;Arkray Factory, Inc./Nhật Bản;Hộp; 12 ; 5.140.000 ;"Gồm: Sodium azide: ≤ 0.01%; Oxidizing agent: ≤ 0.3%; Phosphate: ≤ 1%.";Công ty Cổ phần Y tế Quang Minh;102277113;Bệnh viện Đa khoa tỉnh Lạng Sơn;Số 1462/QĐ-BVĐK ngày 20/12/2024;;;;;;;;;
137;Hemolysis Washing Solution Lite H;107378;230000240/PCBB-HN;Năm 2024 trở về sau;Nhật Bản;Arkray Factory, Inc.;Arkray Factory, Inc./Nhật Bản;Hộp; 5 ; 21.500.000 ;"Dung dịch pha loãng máu toàn phần và rửa đường ống.
 Gồm: Sodium azide: ≤ 0.02%; Phosphate: ≤ 0.1%; Surfactant ≤ 0.1%.";Công ty Cổ phần Y tế Quang Minh;102277113;Bệnh viện Đa khoa tỉnh Lạng Sơn;Số 1462/QĐ-BVĐK ngày 20/12/2024;;;;;;;;;
138;Column Unit 80;107345;230000209/PCBB-HN;Năm 2024 trở về sau;Nhật Bản;Arkray Factory, Inc.;Arkray Factory, Inc./Nhật Bản;Hộp; 2 ; 30.000.000 ;Cột được chế tạo bằng vật liệu SUS (thép không gỉ) và nắp xoắn hai đầu được làm từ PEEK (polyether ether ketone). Thành phần: Hydrophilic polymer of methacrylate esters copolymer;Công ty Cổ phần Y tế Quang Minh;102277113;Bệnh viện Đa khoa tỉnh Lạng Sơn;Số 1462/QĐ-BVĐK ngày 20/12/2024;;;;;;;;;
139;Calibrator Lite;101714;230000240/PCBB-HN;Năm 2024 trở về sau;Nhật Bản;Arkray Factory, Inc.;Arkray Factory, Inc./Nhật Bản;Hộp; 1 ; 4.095.000 ;"Gồm: Human source hemoglobin: ≤ 0.6%; Phosphate: ≤ 0.1%; Surfactant ≤ 0.1%.";Công ty Cổ phần Y tế Quang Minh;102277113;Bệnh viện Đa khoa tỉnh Lạng Sơn;Số 1462/QĐ-BVĐK ngày 20/12/2024;;;;;;;;;
140;Control Dilution Set 80;107350;230000209/PCBB-HN;Năm 2024 trở về sau;Nhật Bản;Arkray Factory, Inc.;Arkray Factory, Inc./Nhật Bản;Hộp; 2 ; 3.843.000 ;"Gồm: DILUENT 80: Phosphate ≤ 0.1%, Surfactant ≤ 0.1%; RECONSTITUENT 80: Phosphate ≤ 0.6%, Surfactant ≤ 1.0%";Công ty Cổ phần Y tế Quang Minh;102277113;Bệnh viện Đa khoa tỉnh Lạng Sơn;Số 1462/QĐ-BVĐK ngày 20/12/2024;;;;;;;;;
141;Saline Solution;423520;Số: 230000450/PCBA-HN ngày cấp 17/3/2023;Năm 2023 trở đi;Pháp;LABORATOIRE AGUETTANT;BioMerieux S.A/Pháp;Chai; 2 ; 462.000 ;Nước muối 0.45% pha huyền dịch vi khuẩn dùng với máy định danh và làm kháng sinh đồ tự động, pH: 4.5 - 7.;Công ty TNHH DEKA;101148323;Bệnh viện Đa khoa tỉnh Lạng Sơn;Số 1462/QĐ-BVĐK ngày 20/12/2024;;;;;;;;;
142;BacT/ALERT FA Plus;410851;Số: 180000471/PCBA-HN ngày cấp 21/3/2018;Năm 2023 trở đi;Mỹ;BioMerieux Inc;BioMerieux Inc/Mỹ;Chai; 500 ; 113.190 ;Chai cấy máu cấu tạo bằng polycarbonate, chứa 30ml môi trường và ≥1.6g hạt polime (polyme) hấp phụ, phát hiện vi khuẩn hiếu khi và kị khí tùy tiện từ máu và dịch vô khuẩn của cơ thể, sử dụng với hệ thống cấy máu cấy máu tự động;Công ty TNHH DEKA;101148323;Bệnh viện Đa khoa tỉnh Lạng Sơn;Số 1462/QĐ-BVĐK ngày 20/12/2024;;;;;;;;;
143;BACT/ALERT FN Plus;410852;Số: 180000471/PCBA-HN ngày cấp 21/3/2018;Năm 2023 trở đi;Mỹ;BioMerieux Inc;BioMerieux Inc/Mỹ;Chai; 500 ; 113.190 ;Chai cấy máu cấu tạo bằng polycarbonate, chứa 40ml môi trường và ≥1.6g hạt polime (polyme)hấp phụ, phát hiện vi khuẩn kị khí từ máu và dịch vô khuẩn của cơ thể, sử dụng với hệ thống cấy máu cấy máu tự động;Công ty TNHH DEKA;101148323;Bệnh viện Đa khoa tỉnh Lạng Sơn;Số 1462/QĐ-BVĐK ngày 20/12/2024;;;;;;;;;
144;Khoanh kháng sinh các loại (40 loại);"AK30C; ATH15C; ATM30C; AUG30C; C30C; CAZ30C; CD2C; CFM5C; CIP5C; CPM30C; CRO30C; CTX30C; CXM30C; DOR10C; DXT30C; E15C; FOT200C; FOX30C; GM10C; IMI10C; LEV5C; MEM10C; OFX5C; PG10C; PTZ110C; SAM20C; TN10C; TS25C; VA30C; TIM85C; BA10C; NI300C; T30C; PRL100C; RP5C; MN30C; NET30C; OX1C; ETP10C; LZD30C";Số: 240000003/PCBA-VP ngày cấp 12/4/2024;Năm 2023 trở đi;Anh;MAST GROUP LIMITED;MAST GROUP LIMITED/Anh;Khoanh; 2.000 ; 1.890 ;Hộp gồm 5 cartridge/ống/ tuýp nhựa, mỗi cartridge gồm 50 khoanh giấy đường kính 6mm được in một mã nhận dạng thích hợp dạng chữ hoặc số và được tẩm một lượng kháng sinh chính xác;Công ty TNHH DEKA;101148323;Bệnh viện Đa khoa tỉnh Lạng Sơn;Số 1462/QĐ-BVĐK ngày 20/12/2024;;;;;;;;;
145;KOVACS (Kovacs reagent);55631;Số: 180000428/PCBA-HN ngày cấp 14/3/2018;Năm 2023 trở đi;Pháp;BioMerieux S.A;BioMerieux S.A/Pháp;Hộp; 1 ; 1.165.500 ;Hóa chất phát hiện phát hiện tạo indole từ tryptophan. Lọ 25ml chứa Dimethylamino-4-benzaldehyde, Hydrochloric acid, Amyl alcohol;Công ty TNHH DEKA;101148323;Bệnh viện Đa khoa tỉnh Lạng Sơn;Số 1462/QĐ-BVĐK ngày 20/12/2024;;;;;;;;;
146;ESBL Ceftazidime paired ID discs;D64C;Số: 240000003/PCBA-VP ngày cấp 12/4/2024;Năm 2023 trở đi;Anh;MAST GROUP LIMITED;MAST GROUP LIMITED/Anh;Hộp; 1 ; 1.567.650 ;Phát hiện Beta-lactamases phổ rộng ở Enterobacterales. Hộp gồm 3 bộ đôi các cartridge, mỗi cartridge 50 khoanh gồm: 3 cartridge chứa khoanh Ceftazidime 30µg, 3 cartridge chứa khoanh Ceftazidime 30µg + Clavulanic acid 10µg;Công ty TNHH DEKA;101148323;Bệnh viện Đa khoa tỉnh Lạng Sơn;Số 1462/QĐ-BVĐK ngày 20/12/2024;;;;;;;;;
147;MELAB Ziehl Neelsen Set;B250902;Số: 240000039/PCBA-VP ngày cấp 3/10/2024;Năm 2024 trở đi;Việt Nam;Công ty cổ phần Lavichem;Công ty cổ phần Lavichem/Việt Nam;Bộ; 3 ; 945.000 ;"Bộ nhuộm Ziehl Neelsen dùng để thực hiện xét nghiệm nhuộm soi. Bao gồm 03 dung dịch thuốc nhuộm thành phần là Carbol Fuchsin chai 250ml, Alcohol acid (Hydrochloric acid in ethanol) chai 250ml và Methylene Blue chai 250ml.
  - Bảo quản: Nhiệt độ phòng thí nghiệm";Công ty TNHH DEKA;101148323;Bệnh viện Đa khoa tỉnh Lạng Sơn;Số 1462/QĐ-BVĐK ngày 20/12/2024;;;;;;;;;
148;MELAB Columbia Agar + 5% Sheep Blood;P901460;Số: 240000029/PCBA-VP ngày cấp 23/9/2024;Năm 2024 trở đi;Việt Nam;Công ty cổ phần Lavichem;Công ty cổ phần Lavichem/Việt Nam;Cái; 1.600 ; 17.850 ;"Đĩa thạch đổ sẵn chứa môi trường sử dụng để nuôi cấy và thử tính chất tan máu của các loại vi sinh vật khó tính và không khó tính, Đĩa 90mm. 
 Bao gói bằng màng bán thấm Cellophane
 Thành phần: Special peptone, Starch, Sodium chloride, Defibrinated Sheep blood (là sheep blood đã chống đông bằng cách khử fibin) Agar, pH: 7.3±0.2 ở 25°C";Công ty TNHH DEKA;101148323;Bệnh viện Đa khoa tỉnh Lạng Sơn;Số 1462/QĐ-BVĐK ngày 20/12/2024;;;;;;;;;
149;MELAB Chocolate Sheep Blood Agar + MultiVitox;P901467;Số: 240000031/PCBA-VP ngày cấp 23/9/2024;Năm 2024 trở đi;Việt Nam;Công ty cổ phần Lavichem;Công ty cổ phần Lavichem/Việt Nam;Cái; 1.500 ; 26.460 ;"Đĩa thạch dùng sẵn được sử dụng để nuôi cấy các loài vi sinh vật khó mọc, đặc biệt là Neisseria spp. và Haemophilus. Đĩa 90mm. Bao gói bằng màng bán thấm Cellophane.
 Thành phần: Special peptone, Starch, Sodium chloride, Defibrinated sheep blood, Agar, Multivitox, pH: 7.3 ± 0.2 ở 25°C";Công ty TNHH DEKA;101148323;Bệnh viện Đa khoa tỉnh Lạng Sơn;Số 1462/QĐ-BVĐK ngày 20/12/2024;;;;;;;;;
150;Oxidase reagent;55635;Số: 180000428/PCBA-HN ngày cấp 14/3/2018;Năm 2023 trở đi;Mỹ;Remel;BioMerieux S.A/Pháp;Hộp; 1 ; 7.518.000 ;Hóa chất phát hiện phản ứng enzyme oxy hóa cytochrom. Hộp chứa N, N, N, N-tetramethyl-1,4-phenylenediamine, Axit ascorbic;Công ty TNHH DEKA;101148323;Bệnh viện Đa khoa tỉnh Lạng Sơn;Số 1462/QĐ-BVĐK ngày 20/12/2024;;;;;;;;;
151;Brain Heart Infusion Broth;DM106D;Số: 240000004/PCBA-VP ngày cấp 12/4/2024;Năm 2023 trở đi;Anh;MAST GROUP LIMITED;MAST GROUP LIMITED/Anh;Hộp; 2 ; 2.236.500 ;Môi trường canh thang đa năng nuôi cấy các vi khuẩn khó mọc. Thành phần bao gồm: Special peptone mixture 12.0g/lit, Brain heart infusion solids 3.5g/lit, Pancreatic digest of casein 10.0g/lit, Yeast extract 2.0g/lit, Dextrose 2.0g/lit, Sodium chloride 5.0g/lit, pH cuối cùng 7,3 ± 0.2.;Công ty TNHH DEKA;101148323;Bệnh viện Đa khoa tỉnh Lạng Sơn;Số 1462/QĐ-BVĐK ngày 20/12/2024;;;;;;;;;
152;Blood agar base;DM100D;Số: 240000004/PCBA-VP ngày cấp 12/4/2024;Năm 2023 trở đi;Anh;MAST GROUP LIMITED;MAST GROUP LIMITED/Anh;Hộp; 2 ; 2.079.000 ;Môi trường mục đích chung phát hiện các phản ứng tan huyết đặc trưng khi môi trường được bổ sung với máu vô trùng khử fibrin. Thành phần bao gồm: Peptone mixture 16.0 g/lit, Yeast extract 2.0 g/lit, D-Glucose 0.5 g/lit, NaCl 7.0 g/l, Agar 12.0 g/lit, pH cuối cùng 7,3 ± 0.2.;Công ty TNHH DEKA;101148323;Bệnh viện Đa khoa tỉnh Lạng Sơn;Số 1462/QĐ-BVĐK ngày 20/12/2024;;;;;;;;;
