STT;Mã Đơn Vị;Mã khối;Tên Đơn Vị;Địa chỉ;Giờ;Thứ;Ngày;Tại;Địa chỉ
377;TI0679I;TI;Công ty TNHH VINACAPITAL Phước Điền;P. Phước Long B, Quận 9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
378;TI0680I;TI;Cty TNHH TM-DV Đào Lâm;240A Dương Đình Hội, P. Tăng Nhơn Phú B, Quận 9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
379;TI0681I;TI;Cty TNHH Thiết Kế XD TM Long Vĩnh;74 Lê Văn Việt, P. Hiệp Phú, Quận 9.;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
380;TI0684I;TI;Cty CP TV-ĐT-XD Việt Kiến An;246 Đỗ Xuân Hợp, P. Phước Long A, Quận 9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
381;TI0685I;TI;Cty CP Xây Dựng điện Hoàng Thái Dương;11 Tú Xương , P. Hiệp Phú. Quận 9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
382;TI0686I;TI;Cty TNHH Điện tử D.G.S;Lô I3-2 Đường N2, P. Tăng Nhơn Phú A, Quận 9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
383;TI0688I;TI;Cty CP Tư Vấn Xây Dựng Hoàn Cầu;48 Trịnh Hòai Đức, P. Hiệp Phú, Quận 9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
384;TI0695I;TI;Cty TNHH 1 TV may Tân Hưng;52 Nam Cao, P. Tân Phú, Quận 9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
385;TI0696I;TI;Cty TNHH SX - TM Gạch Đá Nghệ Thuật;Số 4, đường 12 B, P.Long Thạnh Mỹ, Q.9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
386;TI0697I;TI;Cty TNHH DV-TM Sơn Khánh Hoàng;155 Đỗ Xuân Hợp, Khu phố 2, P. Phước Long B, Quận 9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
387;TI0700I;TI;Cty TNHH Giao Nhận Vận Tải Tân Khánh;4/2 Đường 182, Khu phố 3, P. Tăng Nhơn Phú A, Quận 9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
388;TI0703I;TI;Cty TNHH Tư Vấn- Xây Dựng Phú Cường;34/1A Đường Số 6, Khu Phố 2, P. Tăng Nhơn Phú B, Quận 9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
389;TI0708I;TI;Chi nhánh DNTN TM Kim Long;806 A Nguyễn Duy Trinh, P. Phú Hữu, Quận 9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
390;TI0711I;TI;Cty TNHH Kỹ thuật và TM Hỏa Sơn;32 Đường D1, KP Giản Dân, P. Long Thạnh Mỹ, Quận 9, TP. HCM;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
391;TI0716I;TI;Cty TNHH XD- TM Minh Hậu;122 Dương Đình Hội,P Phước Long B,Q9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
392;TI0717I;TI;Cty TNHH 1 TV TM-DV Phạm Mười;39/14 Khu phố 4, P. Phước Long A, Quận 9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
393;TI0718I;TI;Cty TNHH TM DV SX T.P.L;231A Dương Đình Hội, Khu phố 3, P. Tăng Nhơn Phú B, Quận 9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
394;TI0721I;TI;Cty CP Đầu tư Đồng Phát;08 Đường D6,Khu Biệt Thự Thảo Nguyên Sài Gòn,KP Giãn Dân,P Long Thạnh Mỹ,Q9,HCM;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
395;TI0722I;TI;Cty TNHH Phúc Hùng Mai Phương;C7/3A Lê Văn Việt, P. Tăng Nhơn Phú A, Quận 9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
396;TI0727I;TI;Cty TNHH DV-TM-VT Minh Tiến;39 Đường 12A, KP Chân Phúc Cẩm, P. Long Thạnh Mỹ, Quận 9, TP. HCM;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
397;TI0729I;TI;Cty TNHH TM-DV Vận Tải Hoàng Tuấn;48 Đỗ Xuân Hợp, P. Phước Long A , Q 9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
398;TI0731I;TI;Cty CP TV Thiết kế điện bình minh;97/20/15 Đường 8 KP2, PTNP B Quận 9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
399;TI0736I;TI;Cty TNHH Xúc Tiến  Thương Mại Việt Lào;33 A Đường Số 7, Phước Lai, P.Long Trường, Q9.;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
400;TI0740I;TI;Cty TNHH Bao Bì - TM-DV Trần Phú Gia;1/76 Đường 2, P. Tăng Nhơn Phú B,Q9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
401;TI0741I;TI;Cty TNHH Cơ Khí Xây Dựng Thành Đức;143 Đường 2, P. Phước Bình, Q.9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
402;TI0746I;TI;Cty TNHH Giao nhận VT Quốc tế Bảo Giao;133 Đường 2, P. Phước Bình, Q9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
403;TI0748I;TI;Cty TNHH SX-TM-DV Nông Nghiệp Nhật Quang;5 Đường 12 D, P.Long Thạnh Mỹ, Q9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
404;TI0756I;TI;Cty TNHH Một Thành Viên Hoàng Cương;548 Lã Xuân Oai, P.Long Trường, Quận 9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
405;TI0759I;TI;Cty TNHH TM-DV Giang Hoàng Nam;396 Xa Lộ Hà Nội, P.Hiệp Phú, Q9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
406;TI0760I;TI;Cty TNHH Máy Và Công Cụ Rồng việt;36/18 Chân Phúc Cẩm, P. Long Thạnh Mỹ, Q9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
407;TI0762I;TI;Cty TNHH 1 TV SX -TM BHLĐ Minh Anh;397/4 Đỗ Xuân Hợp, KP 5, P. Phước Long B,Q9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
408;TI0763I;TI;Cty TNHH TM-DV Vận Tải Phạm Nguyễn;24, Đường 12, KP4, P.Tăng Nhơn Phú A,Q9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
409;TI0766I;TI;Cty CP Tư Vấn ĐT- XD Phương Nam;26/12B Đường 26, KP4, P. Tăng Nhơn Phú A, Quận 9, HCM;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
410;TI0767I;TI;Cty TNHH Giải Pháp CN TB Toàn Cầu;143 Đường 6, P.Phước Bình, Q9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
411;TI0773I;TI;Cty TNHH TM TB PCCC Công Linh;3/43 Đường 182, KP3, P.Tăng Nhơn Phú A, Q9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
412;TI0777I;TI;Cty TNHH XD-SX-TM Lê Gia Hưng;497 Lê Văn Việt, kp2, Tăng Nhơn Phú a, Q.9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
413;TI0780I;TI;Cty TNHH TM R.E.P;10 Đường 8, P.Long Trường, Q.9,TP HCM;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
414;TI0785I;TI;Cty TNHH Nghiên cứu và tư vấn Quốc Việt;5 Hai Bà Trưng, KP1, P.Hiệp Phú, Q.9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
415;TI0792I;TI;Cty TNHH Nhơn Lộc;137 Tăng Nhơn Phú, P.Phước Long B, Q.9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
416;TI0798I;TI;Cty TNHH 1TV SX TM DV Hoàng Phát;22 A Dường 379 KP 6, P.Tăng Nhơn Phú A,Q9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
417;TI0800I;TI;Cty TNHH SX-TM Nông Việt;32/3, Đường Tây Hòa, KP4, P.Phước Long A, Q9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
418;TI0801I;TI;Cty TNHH SX - TM Ngũ Kim Thanh Phong;58 Đường 24, kp. Long Hòa, P. Long Thạnh Mỹ, Quận 9, TP. HCM;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
419;TI0802I;TI;DNTN TM-DV Long Hòa  Phát;27/13B Tam Đa, P.Trường Thạnh, Q.9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
420;TI0803I;TI;Cty TNHH TM-DV - VT Hồng Toán;15 Đường 6A, KP3, P.Phước Bình, Q.9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
421;TI0806I;TI;Cty TNHH Phát Thịnh Phúc;49 Trần Hưng Đạo, P.Hiệp Phú, Q9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
422;TI0808I;TI;Văn Phòng Luật Sư Tâm Pháp Quyền;205 A Đỗ Xuân Hợp,P.Phước Long B,Q9 ,Tp HCM;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
423;TI0811I;TI;Cty CP TM-DV-XD Hoàng Nguyễn;68 Man Thiện phườngTăng Nhơn Phú A Quận 9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
424;TI0813I;TI;DNTN DV-TM Đức Hiền;4 Nguyễn Duy Trinh, P.Long Trường, Q9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
425;TI0816I;TI;Cty TNHH TM-DV-KT An Việt;70/7 Quang Trung, P.Tăng Nhơn Phú B, Q9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
426;TI0817I;TI;Cty TNHH Đồng Tín;39/5/12 Đường Gò Cát, KP 4, P. Phú Hữu, Q. 9, TP. HCM;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
427;TI0818I;TI;Cty TNHH DV Tam Hoàng;258 Lò Lu, ích Thạnh, Trường Thạnh, Q.9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
428;TI0819I;TI;Cty TNHH TM&DV Gô Cô Vi Na;184A Man Thiện, Tăng Nhơn Phú A, Quận 9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
429;TI0821I;TI;Cty TNHH Duy Hậu;110/7 Đường 339, Tổ 22, KP5, P. Phước Long B, Quận 9, TPHCM;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
430;TI0824I;TI;Công ty TNHH Quốc Tế Đại Hùng Tinh;868/7 Đường Nguyễn Xiễn, P.Long Thạnh Mỹ, Q9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
431;TI0825I;TI;Cty TNHH SEN TRA;121 Đường D2, P. Tăng Nhơn Phú A, Quận 9, TP. HCM;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
432;TI0828I;TI;Cty TNHH TM-DV-XD Phú Kim;49 Đại lộ 2 , P. Phước Bình, Q9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
433;TI0831I;TI;Cty TNHH TM Thuốc Thú Y An Bình;23 Đường 2B, P. Long Thạnh Mỹ, Q.9, TP. HCM;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
434;TI0835I;TI;Cty TNHH Khang Thiện Mỹ;Số 22 Đường số 27, P. Long Thạnh Mỹ, Q9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
435;TI0836I;TI;Cty TNHH Hưng Phát Việt;Số 55 Đường ích Thạnh, P. Trường Thạnh, Q.9, TP. HCM;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
436;TI0837I;TI;Công ty TNHH MTV SEEN Miền Nam;Lô I3- 8B, Đường N2, KCNC, Q9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
437;TI0842I;TI;Cty TNHH Giao Nhận VT Phú Mơ;136/20 Lê Văn Việt, KP2, P.Hiệp Phú, Q9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
438;TI0844I;TI;Cty TNHH TM & SX Nước đá Trung Lợi;2/240B Tổ 4, đường Tăng Nhơn Phú, KP3, P.Tăng Nhơn Phú B, Q9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
439;TI0845I;TI;Cty TNHH XD Minh Đạt;22/12/2, tổ 1, Đường 16, P.Long bình, q.9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
440;TI0846I;TI;Cty CP An Sơn;23 Đường 449 Phường.TNPA Quận 9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
441;TI0847I;TI;Cty TNHH MTV XD Tổng hợp Tiến Phát;117 Đường D3, Khu dân cư Nam Long, P. Phước Long B, Quận 9, TP HCM;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
442;TI0848I;TI;Cty TNHH Trần Lê Gia;240 Bưng Ông Thoàn, P Tăng Nhơn Phú B, Q9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
443;TI0849I;TI;DNTN TM-VT-CK Trung Thành;Số 49/19 KP4, P.Phước Long B, Q9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
444;TI0851I;TI;Cty TNHH TM XNK Nguyễn Vũ;89 Gò Cár, P.Phú Hữu, Q9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
445;TI0854I;TI;Cty TNHH SX TM Dịch Vụ Triệu Nguyên;35 đường 6D, KP3, P.Phước Bình, Q9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
446;TI0855I;TI;Cty CP - XD - TM Đại Minh Tiến;70A Đường 21, KP5, P. Phước Long A, Quận 9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
447;TI0857I;TI;Công Ty TNHH Dịch Vụ Đạt Nguyên;121 Ngô Quyền, P.Hiệp Phú, Quận 9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
448;TI0858I;TI;Cty TNHH TM - DV - VT Quân Bảo;51 đường số 15, P.Long Bình , Quận 9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
449;TI0859I;TI;Cty TNHH XD Tuấn Anh;2 Đường số 14, P.Phước Bình, Quận 9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
450;TI0861I;TI;Cty TNHH MTV TM - DV -CK - XNK Phương Thời;49/17 Đường 22, Kp4, P Phước Long B, Q9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
451;TI0864I;TI;Cty TNHH MTV Dầu Khí Đông Sài Gòn;36 Nguyễn Văn Tăng, ấp Mỹ Thành, P.Long Thạnh Mỹ, Quận 9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
452;TI0867I;TI;CTY CP Vũ Đức;16 Đường 147, KP3, P.Phước Long B, Quận 9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
453;TI0870I;TI;CTY TNHH Du Lịch Bầu Trời Việt;15 Trần  Hưng Đạo, P.Hiệp Phú, Quận 9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
454;TI0872I;TI;CN 1 CTY TNHH VT- XNK Hoàng Long;F367 Tăng Nhơn Phú, P.Phước Long B, Quận 9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
455;TI0875I;TI;CTY TNHH DL-DV Hân Hòa;76 đường 18A, KP3, P.Phước Bình, Quận 9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
456;TI0879I;TI;CTY TNHH Xây Dựng Hải Dương;124/10 Trương  Văn Thành , KP6, P.Hiệp Phú Q9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
457;TI0884I;TI;CTY TNHH Phan Vinh;142 Lê Văn Việt , P.hiệp Phú, Quận 9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
458;TI0885I;TI;CTY TNHH Tư Vấn Cấp Thóat Nước và Xây Dựng Tam Thanh;243 Đường số 12, P.Phước Bình, Quận 9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
459;TI0886I;TI;CTY TNHH XNK SX TM DV Sa Sa Co;08 Lò Lu, P.Trường Thạnh, Quận 9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
460;TI0888I;TI;CTY TNHH MTV XD TM Danh Hào;787 ấp Long Hòa, Nguyễn Xiển, P.Long Thạnh Mỹ, Quận 9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
