"stt","số_văn_bản","ngày_công_bố","tên_cơ_sở","địa_chỉ","người_đứng_đầu_phụ_trách_chuyên_môn","số_điện_thoại","công_bố_mới","công_bố_lại","dừng_hoạt_động","ghi_chú"
"128","05/TB-TYT của TYT xã Quảng Bị","17/7/2025.","Điểm y tế Hợp Đồng","Thôn Thái Hòa - Xã Quảng Bị - Thành phố Hà Nội","Nguyễn Văn Sơn","966800586.0","1","null","null","null"
"128","05/TB-TYT của TYT xã Quảng Bị","17/7/2025.","Điểm y tế Tốt Động","Thôn Bến - Xã Quảng Bị - Thành phố Hà Nội","Nguyễn Đăng Minh","963886670.0","1","null","null","null"
"129","15/TB-TYT của TYT xã Phượng Dực","17/7/2025.","Trạm y tế xã Phượng Dực","Phượng Vũ- Phượng Dực -Thành phố Hà Nội","Dương Văn Công","946946299.0","1","null","null","null"
"129","15/TB-TYT của TYT xã Phượng Dực","17/7/2025.","Điểm Y tế Văn Hoàng","Thôn Liễu, Phượng Dực -Thành phố Hà Nội","Nguyễn Văn Mạnh","976941803.0","1","null","null","null"
"129","15/TB-TYT của TYT xã Phượng Dực","17/7/2025.","Điểm Y tế Đại Thắng","Thôn Văn Hội- Phượng Dực -Thành phố Hà Nội","Vũ Văn Hiển","904436277.0","1","null","null","null"
"129","15/TB-TYT của TYT xã Phượng Dực","17/7/2025.","Điểm Y tế Hồng Minh","Thôn Cầu- Phượng Dực -Thành phố Hà Nội","Cao Thị Mỹ Nga","986444983.0","1","null","null","null"
"129","15/TB-TYT của TYT xã Phượng Dực","17/7/2025.","Điểm Y tế Tri Trung","Trung Lập- Phượng Dực -Thành phố Hà Nội","Đào Văn Vinh","981293727.0","1","null","null","null"
"129","15/TB-TYT của TYT xã Phượng Dực","17/7/2025.","Điểm Y tế Hoàng Long","Khu Chợ Đồng Vàng- Phượng Dực -Thành phố Hà Nội","Lê Thị Huyền","913321021.0","1","null","null","null"
"129","15/TB-TYT của TYT xã Phượng Dực","17/7/2025.","Điểm Y tế Phú Túc","Phú Túc- Phượng Dực -Thành phố Hà Nội","Nguyễn Văn Oánh","988646604.0","1","null","null","null"
"130","09/TB-TYT của TYT xã Hưng Đạo","17/7/2025.","Điểm tiêm chủng tại Trạm Y tế xã Hưng Đạo","Thôn 5 – Xã Hưng Đạo – Thành Phố Hà Nội","Bs Hoàng Bích Thuỷ","769008547.0","1","null","null","null"
"130","09/TB-TYT của TYT xã Hưng Đạo","17/7/2025.","Điểm tiêm chủng tại Điểm Y tế Đại Thành","Thôn Đại Tảo- Xã Hưng Đạo – Thành Phố Hà Nội","Bs Hoàng Xuân Tùng","978986785.0","1","null","null","null"
"130","09/TB-TYT của TYT xã Hưng Đạo","17/7/2025.","Điểm tiêm chủng tại Điểm Y tế Đồng Quang","Thôn Yên Nội - Xã Hưng Đạo – Thành Phố Hà Nội","Bs Vũ Thị Hải","369222898.0","1","null","null","null"
"131","02/TB-TYT của TYT xã Ứng Hoà","17/6/2025.","Trạm y tế xã Ứng Hòa","Thôn Mỹ Cầu - Xã Ứng Hòa – TP Hà Nội","Ngô Bá Phương","974392433.0","1","null","null","null"
"131","02/TB-TYT của TYT xã Ứng Hoà","17/6/2025.","Điểm y tế Trầm Lộng","Thôn Thu Nội - Xã Ứng Hòa – TP Hà Nội","Lê Thị Chuốt","978449527.0","1","null","null","null"
"131","02/TB-TYT của TYT xã Ứng Hoà","17/6/2025.","Điểm y tế Đại Hùng","Thôn Quan Tự -Xã Ứng Hòa – TP Hà Nội","Đoàn Thanh Thủy","985559287.0","1","null","null","null"
"131","02/TB-TYT của TYT xã Ứng Hoà","17/6/2025.","Điểm y tế Đại Cường","Thôn Kim Giang - Xã Ứng Hòa – TP Hà Nội","Nguyễn Thị Huyền","985703652.0","1","null","null","null"
"131","02/TB-TYT của TYT xã Ứng Hoà","17/6/2025.","Điểm y tế Đông Lỗ","Thôn Viên Đình - Xã Ứng Hòa – TP Hà Nội","Nguyễn Thị Bích Hòa","334840458.0","1","null","null","null"
"131","02/TB-TYT của TYT xã Ứng Hoà","17/6/2025.","Điểm y tế Kim Đường","Thôn Tu Lễ - Xã Ứng Hòa – TP Hà Nội","Phạm Thị Mừng","375233898.0","1","null","null","null"
"131","02/TB-TYT của TYT xã Ứng Hoà","17/6/2025.","Điểm y tế Minh Đức","Thôn Cầu - Xã Ứng Hòa – TP Hà Nội","Nguyễn Thị Hòa","984907476.0","1","null","null","null"
"131","02/TB-TYT của TYT xã Ứng Hoà","17/6/2025.","Điểm y tế Hòa Lâm","Thôn Trạch Bái - Xã Ứng Hòa – TP Hà Nội","Phùng Xuân Diễn","987010486.0","1","null","null","null"
"131","02/TB-TYT của TYT xã Ứng Hoà","17/6/2025.","Điểm y tế Trung Tú","Thôn Chẩn Kỳ - Xã Ứng Hòa – TP Hà Nội","Lê Hải Ninh","942104299.0","1","null","null","null"
"132","14/TB-TYT của TYT phường Bạch Mai","17/6/2025.","Điểm y tế Quỳnh Mai","Số 12 phố 8/3 phường Bạch Mai, TP Hà Nội","Nguyễn Thị Ánh Nguyệt","947254969.0","1","null","null","null"
"132","14/TB-TYT của TYT phường Bạch Mai","17/6/2025.","Điểm y tế Quỳnh Lôi","197 Hồng Mai, phường Bạch Mai, TP Hà Nội","Ngô Thị Mỳ","979983039.0","1","null","null","null"
"132","14/TB-TYT của TYT phường Bạch Mai","17/6/2025.","Điểm y tế Trương Định","36 Đại La, phường Bạch Mai, TP Hà Nội","Phạm Thị Quyên","973196690.0","1","null","null","null"
"132","14/TB-TYT của TYT phường Bạch Mai","17/6/2025.","Điểm y tế Bách Khoa","31 Lê Thanh Nghị, phường Bạch Mai, TP Hà Nội","Chu Thị Thanh","913142486.0","1","null","null","null"
"132","14/TB-TYT của TYT phường Bạch Mai","17/6/2025.","Điểm Y tế Thanh Nhàn","Số 35 ngách 20 ngõ 331 Trần Khát Chân, phường Bạch Mai, TP Hà Nội","Nguyễn Thuỳ Linh","985053430.0","1","null","null","null"
"133","26/TB-TYT của TYT xã Quang Minh","15/7/2025.","Điểm Y tế Giai Lạc","Thôn Giai Lạc 3, Xã Quang Minh, TP Hà Nội","Nguyễn Thị Hải","968553223.0","1","null","null","null"
"133","26/TB-TYT của TYT xã Quang Minh","15/7/2025.","Điểm Y tế Chi Đông","Thôn Chi Đông 2, Xã Quang Minh, TP Hà Nội","Lưu Xuân Thắng","973882988.0","1","null","null","null"
"133","26/TB-TYT của TYT xã Quang Minh","15/7/2025.","Điểm Y tế Kim Hoa","Thôn Bảo Tháp, Xã Quang Minh, TP Hà Nội","Nguyễn Thị Quyên","987588763.0","1","null","null","null"
"133","26/TB-TYT của TYT xã Quang Minh","15/7/2025.","Điểm Y tế Đại Thịnh","Thôn Đại Bái, Xã Quang Minh, TP Hà Nội","Phạm Quang Hải","912374960.0","1","null","null","null"
"133","26/TB-TYT của TYT xã Quang Minh","15/7/2025.","Phòng tiêm chủng dịch vụ - Trạm Y tế Quang Minh","Thôn Nội Đồng, Xã Quang Minh, TP Hà Nội","Nguyễn Mạnh Trâm","982948585.0","1","null","null","null"
"134","05/TB-TYT của TYT xã Trung Giã","16/7/2025.","Phòng tiêm chủng dịch vụ - TYT xã Trung Giã","Thôn 5, xã Trung Giã, TP Hà Nội","Nguyễn Thị Kim Ngân","984135968.0","1","null","null","null"
"134","05/TB-TYT của TYT xã Trung Giã","16/7/2025.","Điểm trạm 01","Phố Nỉ, xã Trung Giã, TP Hà Nội","Tô Thị Lan","949084906.0","1","null","null","null"
"134","05/TB-TYT của TYT xã Trung Giã","16/7/2025.","Điểm trạm 02","Thôn 4 xã Trung Giã, TP Hà Nội","Phạm Thị Hoài Anh","378526986.0","1","null","null","null"
"134","05/TB-TYT của TYT xã Trung Giã","16/7/2025.","Điểm trạm 03","Thôn Đông Hạ, xã Trung Giã, TP Hà Nội","Nguyễn Thị Minh Cảnh","979086107.0","1","null","null","null"
"134","05/TB-TYT của TYT xã Trung Giã","16/7/2025.","Điểm trạm 04","Thôn Tiên Chu, xã Trung Giã, TP Hà Nội","Trần Văn Lâm","988836054.0","1","null","null","null"
"135","08/TB-TYT của TYT xã Thanh Liệt","15/7/2025.","TYT Thanh Liệt","Thôn Tràng – Phường Thanh Liệt - Tp Hà Nội","Bác sỹ Đỗ Anh Tuấn","912176917.0","1","null","null","null"
"135","08/TB-TYT của TYT xã Thanh Liệt","15/7/2025.","Điểm TYT Tân Triều","Số 193 Đường Chiến Thắng – Phường Thanh Liệt - Tp Hà Nội","Y sỹ Lương Thị Ngọc","981536636.0","1","null","null","null"
"136","14/TB-TYT của TYT xã Nội Bài","17/7/2025.","Trạm Y tế xã Nội Bài","Thôn Thạch Lỗi, xã Nội Bài, TP Hà Nội","Hoàng Lưu Sa","982171111.0","1","null","null","null"
"136","14/TB-TYT của TYT xã Nội Bài","17/7/2025.","Điểm y tế Hiền Ninh","Thôn Yên Ninh, xã Nội Bài, TP Hà Nội","Trần Sỹ Quảng","912611100.0","1","null","null","null"
"136","14/TB-TYT của TYT xã Nội Bài","17/7/2025.","Điểm y tế Quang Tiến","Thôn Xuân Bách, xã Nội Bài, TP Hà Nội","Phù Xuân Đương","904341219.0","1","null","null","null"
"136","14/TB-TYT của TYT xã Nội Bài","17/7/2025.","Điểm y tế Phú Cường","Thôn Thuỵ Hương, xã Nội Bài, TP Hà Nội","Nguyễn Thị Tuyết Hải","966229368.0","1","null","null","null"
"136","14/TB-TYT của TYT xã Nội Bài","17/7/2025.","Điểm y tế Phú Minh","Thôn Đoài, xã Nội Bài, TP Hà Nội","Nguyễn Văn Hoà","983832802.0","1","null","null","null"
"137","09/TB-TYT của TYT xã Quảng Oai","17/7/2025.","Điểm y tế Tây Đằng","Thôn Đông, Quảng Oai, HN","Nguyễn Trọng Bính","915256208.0","1","null","null","null"
"137","09/TB-TYT của TYT xã Quảng Oai","17/7/2025.","Điểm y tế Chu Minh","Thôn Vĩnh Phệ, Quảng Oai, HN","Phùng Văn Việt","987431819.0","1","null","null","null"
"137","09/TB-TYT của TYT xã Quảng Oai","17/7/2025.","Điểm y tế Đông Quang","Thôn Cao Cương, Quảng Oai, HN","Nguyễn Văn Thiệu","973837858.0","1","null","null","null"
"137","09/TB-TYT của TYT xã Quảng Oai","17/7/2025.","Điểm y tế Cam Thượng","Thôn Nam An, Quảng Oai, HN","Quách Gia Định","986488405.0","1","null","null","null"
"137","09/TB-TYT của TYT xã Quảng Oai","17/7/2025.","Điểm y tế Tiên Phong","Thanh Lũng, Quảng Oai, HN","Phùng Thị Liên","913102005.0","1","null","null","null"
"137","09/TB-TYT của TYT xã Quảng Oai","17/7/2025.","Điểm y tế Thụy An","Thôn Đông An, Quảng Oai, HN","Đỗ Văn Vân","986603267.0","1","null","null","null"
"137","09/TB-TYT của TYT xã Quảng Oai","17/7/2025.","Phòng tiêm chủng dịch vụ - TYT Quảng Oai","Khu hành chính II, Quảng Oai, HN","Ngô Tiến Thịnh","982388255.0","1","null","null","null"
"138","09/TB-TYT của TYT xã Yên Xuân","17/7/2025.","Trạm y tế Yên Xuân","Thôn 4, Tiến Xuân - Xã Yên Xuân - Tp Hà Nội","Phạm Thị Lan","398739286.0","1","null","null","null"
"138","09/TB-TYT của TYT xã Yên Xuân","17/7/2025.","Điểm Y tế Đông Xuân","Thôn Lập Thành, Đông Xuân - Xã Yên Xuân - Tp Hà Nội","Bùi Thanh Tịnh","388929862.0","1","null","null","null"
"138","09/TB-TYT của TYT xã Yên Xuân","17/7/2025.","Điểm Y tế Yên Bình","Thôn 3, Yên Bình- Xã Yên Xuân - Tp Hà Nội","Nguyễn Thu Thủy","828349486.0","1","null","null","null"
"138","09/TB-TYT của TYT xã Yên Xuân","17/7/2025.","Điểm Y tế Yên Trung","Thôn Đầm Bối, Yên Trung - Xã Yên Xuân - Tp Hà Nội","Nguyễn Văn Nội","983122270.0","1","null","null","null"
"139","03/TB-TYT của TYT phường Nghĩa Đô","16/7/2025.","Điểm Trạm Y tế phường Nghĩa Đô 1","Nhà B2 Khu tập thể Nghĩa Tân, phường Nghĩa Đô, TP Hà Nội","Nguyễn Thị Thanh Thuỷ","2437560131.0","1","null","null","null"
"139","03/TB-TYT của TYT phường Nghĩa Đô","16/7/2025.","Điểm Trạm Y tế phường Nghĩa Đô 2","Số 01 đường Võ Chí Công, phường Nghĩa Đô, TP Hà Nội","Lê Ngọc Ánh","2437531358.0","1","null","null","null"
"140","02/TB-TYT của TYT xã Minh Châu","15/7/2025.","Trạm Y tế xã Minh Châu","Khu 4 – Thôn Chu Chàng – xã Minh Châu - Tp Hà Nội","Lê Thị Lộc","038 440 6945","1","null","null","null"
"141","09/TB-TYT của TYT xã Hoài Đức","15/7/2025.","Phòng tiêm chủng dịch vụ - Trạm Y tế xã Hoài Đức","Thôn Lũng Kên, xã Hoài Đức, TP Hà Nội","Hoàng Thị Thanh","945548882.0","1","null","null","null"
"141","09/TB-TYT của TYT xã Hoài Đức","15/7/2025.","Điểm Y tế Di Trạch","Thôn Dền, xã Hoài Đức, TP Hà Nội","Nguyễn Mạnh Tưởng","978376739.0","1","null","null","null"
"141","09/TB-TYT của TYT xã Hoài Đức","15/7/2025.","Điểm Y tế Đức Thượng","Thôn Phú Đa, xã Hoài Đức, TP Hà Nội","Nguyễn Văn Tiến","988526059.0","1","null","null","null"
"141","09/TB-TYT của TYT xã Hoài Đức","15/7/2025.","Điểm Y tế Đức Giang","Thôn Lưu Xá, xã Hoài Đức, TP Hà Nội","Nguyễn Mạnh Liên","979908891.0","1","null","null","null"
"141","09/TB-TYT của TYT xã Hoài Đức","15/7/2025.","Điểm Y tế Kim Chung","Thôn Yên Vĩnh, xã Hoài Đức, TP Hà Nội","Nguyễn Thành Minh","902277644.0","1","null","null","null"
"141","09/TB-TYT của TYT xã Hoài Đức","15/7/2025.","Điểm Y tế Trạm Trôi","Khu 5, xã Hoài Đức, TP Hà Nội","Vương Thị Kim Lan","986443382.0","1","null","null","null"
"142","23/TB-TYT của TYT xã Tiến Thắng","16/7/2025.","Trạm Y tế xã Tiến Thắng","Thôn Văn Lôi, xã Tiến Thắng, TP Hà Nội","Bùi Văn Thanh","976052787.0","1","null","null","null"
"142","23/TB-TYT của TYT xã Tiến Thắng","16/7/2025.","Điểm Y tế Tự Lập","Thôn Phú Mỹ, xã Tiến Thắng, TP Hà Nội","Trần Thị Hường","975412205.0","1","null","null","null"
"142","23/TB-TYT của TYT xã Tiến Thắng","16/7/2025.","Điểm Y tế Bạch Trữ","Thôn Bạch Trữ, xã Tiến Thắng, TP Hà Nội","Nguyễn Thị Biên","987267273.0","1","null","null","null"
"142","23/TB-TYT của TYT xã Tiến Thắng","16/7/2025.","Điểm Y tế Thanh Lâm","Thôn Ngự Tiền, xã Tiến Thắng, TP Hà Nội","Nguyễn Thị Khánh Huyền","985638313.0","1","null","null","null"
"142","23/TB-TYT của TYT xã Tiến Thắng","16/7/2025.","Phòng TCDV – TYT xã Tiến Thắng","Thôn Văn Lôi, xã Tiến Thắng, TP Hà Nội","Bùi Văn Thanh","976052787.0","1","null","null","null"
"143","26/TB-TYT của TYT xã Đại Thanh","16/7/2025.","Trạm y tế xã Đại Thanh","Cụm 13- Thôn Vĩnh Ninh-Xã Đại Thanh-Hà Nội","Nguyễn Thị Hậu","974283208.0","1","null","null","null"
"143","26/TB-TYT của TYT xã Đại Thanh","16/7/2025.","Điểm Y tế Tả Thanh Oai","Đội 4- Tả Thanh Oai- Xã Đại Thanh -Thành Phố Hà Nội","Nguyễn Văn Đạt","985227976.0","1","null","null","null"
"143","26/TB-TYT của TYT xã Đại Thanh","16/7/2025.","Điểm Y tế Hữu Hoà","Thôn Hữu Trung - Xã Đại Thanh - Thành Phố Hà Nội","Đỗ Thu Thuỷ","934589855.0","1","null","null","null"
"143","26/TB-TYT của TYT xã Đại Thanh","16/7/2025.","Điểm Y tế Tam Hiệp","Thôn Huỳnh Cung-Xã Đại Thanh - Thành Phố Hà Nội","Mai Thị Tuyết Vân","367840003.0","1","null","null","null"
"144","01/TB-TYT của TYT xã Hoà Lạc","15/7/2025.","Trạm y tế xã Hòa Lạc","Thôn 1 – Xã Hòa Lạc – Thành phố Hà Nội","Nguyễn Tuấn Quang","962752283.0","1","null","null","null"
"145","12/TB-TYT của TYT xã Thạch Thất","14/7/2025.","Trạm Y tế xã Thạch Thất","Số 05, đường 419, thôn Phú Nghĩa, xã Thạch Thất, TP. Hà Nội","Nguyễn Văn Tuấn","982817470.0","1","null","null","null"
"145","12/TB-TYT của TYT xã Thạch Thất","14/7/2025.","Điểm Y tế Kim Quan","Thôn Làng Kim 1 – Xã Thạch Thất – TP Hà Nội","Phùng Văn Hưởng","942003886.0","1","null","null","null"
"145","12/TB-TYT của TYT xã Thạch Thất","14/7/2025.","Điểm Y tế Liên Quan","Thôn Chi Quan, xã Thạch Thất, TP. Hà Nội","Nguyễn Xuân Lộc","972115788.0","1","null","null","null"
"145","12/TB-TYT của TYT xã Thạch Thất","14/7/2025.","Điểm Y tế Cẩm Yên","Thôn Yên Lỗ - Xã Thạch Thất - Tp Hà Nội","Khuất Quang Tuyển","914492266.0","1","null","null","null"
"145","12/TB-TYT của TYT xã Thạch Thất","14/7/2025.","Điểm Y tế Đại Đồng","Thôn 4- Xã Thạch Thất- Tp Hà Nội","Khuất Duy Tuân","974115223.0","1","null","null","null"
"145","12/TB-TYT của TYT xã Thạch Thất","14/7/2025.","Điểm Y tế Lại Thượng","Thôn Lại Thượng - Xã Thạch Thất - Tp Hà Nội","Nguyễn Hữu Tuệ","982409942.0","1","null","null","null"
"146","16/TB-TYT của TYT xã Sóc Sơn","16/7/2025.","Trạm Y tế xã Sóc Sơn","Tổ 4, xã Sóc Sơn, TP Hà Nội","BS. Lê Đức Tuyên","912416373.0","1","null","null","null"
"146","16/TB-TYT của TYT xã Sóc Sơn","16/7/2025.","Điểm Y tế Đông Xuân","Thôn Xuân Kỳ, xã Sóc Sơn, TP Hà Nội","BS. Đỗ Văn Thảo","397821331.0","1","null","null","null"
"146","16/TB-TYT của TYT xã Sóc Sơn","16/7/2025.","Điểm Y tế Mai Đình","Thôn Đông Bài, xã Sóc Sơn, TP Hà Nội","BS. Trần Trọng Thắng","978065968.0","1","null","null","null"
"146","16/TB-TYT của TYT xã Sóc Sơn","16/7/2025.","Điểm Y tế Phù Linh","Thôn Vệ Linh, xã Sóc Sơn, TP Hà Nội","BS. Đàm Thị Mai Hoa","983765629.0","1","null","null","null"
"146","16/TB-TYT của TYT xã Sóc Sơn","16/7/2025.","Điểm Y tế Phù Lỗ","Thôn Đường II, xã Sóc Sơn, TP Hà Nội","Ys. Nguyễn Ngọc Quý","915716094.0","1","null","null","null"
"146","16/TB-TYT của TYT xã Sóc Sơn","16/7/2025.","Điểm Y tế Tân Minh","Thôn Sơn Đông, xã Sóc Sơn, TP Hà Nội","BS. Nguyễn Thị Bản","987524044.0","1","null","null","null"
"146","16/TB-TYT của TYT xã Sóc Sơn","16/7/2025.","Điểm Y tế Tiên Dược","Thôn Miếu Thờ, Xã Sóc Sơn, TP Hà Nội","Ys. Dương Thị Lịch","912101522.0","1","null","null","null"
"147","26/TB-TYT của TYT xã Tây Phương","17/7/2025.","Trạm Y tế xã Tây Phương","Thôn Thái Hòa, xã Tây Phương, thành phố Hà Nội","Nguyễn Quang Cần","983588574.0","1","null","null","null"
"147","26/TB-TYT của TYT xã Tây Phương","17/7/2025.","Điểm Y tế Hương Ngải","Thôn 2, xã Tây Phương, TP Hà Nội","Phí Thị Hằng","979269587.0","1","null","null","null"
"147","26/TB-TYT của TYT xã Tây Phương","17/7/2025.","Điểm Y tế Lam Sơn 1","Thôn 4, xã Tây Phương, TP Hà Nội","Nguyễn Thị Hải","968753659.0","1","null","null","null"
"147","26/TB-TYT của TYT xã Tây Phương","17/7/2025.","Điểm Y tế Lam Sơn 2","Thôn Hòa Bình, xã Tây Phương, TP Hà Nội","Nguyễn Thị Hồng Hạnh","963703983.0","1","null","null","null"
"147","26/TB-TYT của TYT xã Tây Phương","17/7/2025.","Điểm Y tế Thạch Xá","Thôn 2, xã Tây Phương, TP Hà Nội","Nguyễn Quang Hưng","355622718.0","1","null","null","null"
"147","26/TB-TYT của TYT xã Tây Phương","17/7/2025.","Điểm Y tế Quang Trung","Thôn Sen, xã Tây Phương, TP Hà Nội","Nguyễn Thị Luận","978395791.0","1","null","null","null"
"147","26/TB-TYT của TYT xã Tây Phương","17/7/2025.","Điểm Y tế Phùng Xá","Thôn Vĩnh Lộc 1, xã Tây Phương, TP Hà Nội","Chu Văn Tuấn","912444616.0","1","null","null","null"
"148","30/TB-TYT của TYT xã Tam Hưng","18/7/2025.","Trạm Y tế xã Tam Hưng","Thôn Gia Vĩnh - xã Tam Hưng - Tp Hà Nội","Dương Văn Huân","967858929.0","1","null","null","null"
"148","30/TB-TYT của TYT xã Tam Hưng","18/7/2025.","Điểm Y tế Thanh Văn","Thôn Bạch Nao - xã Tam Hưng - Tp Hà Nội","Kiều Thị Giang","984300922.0","1","null","null","null"
"148","30/TB-TYT của TYT xã Tam Hưng","18/7/2025.","Điểm Y tế Tam Hưng","Thôn Song Khê - xã Tam Hưng - Tp Hà Nội","Vương Thị Thủy","977293178.0","1","null","null","null"
"148","30/TB-TYT của TYT xã Tam Hưng","18/7/2025.","Điểm Y tế Mỹ Hưng","Thôn Phượng Mỹ - xã Tam Hưng - Tp Hà Nội","Nguyễn Thị Luận","973498738.0","1","null","null","null"
"149","09/TB-TYT của TYT phường Đông Ngạc","15/7/2025.","Trạm Y tế phường Đông Ngạc","Số 46 đường Đông Thắng, phường Đông Ngạc, TP Hà Nội","Nguyễn Minh Phúc","981681001.0","1","null","null","null"
"149","09/TB-TYT của TYT phường Đông Ngạc","15/7/2025.","Điểm Y tế Cổ Nhuế 2","TDP Trù 2, đường Cầu Noi","Phan Thị Minh Anh","979840183.0","1","null","null","null"
"149","09/TB-TYT của TYT phường Đông Ngạc","15/7/2025.","Điểm Y tế Đức Thắng","TDP số 3, đường Văn Hội","Cao Nam Thắng","912818282.0","1","null","null","null"
"149","09/TB-TYT của TYT phường Đông Ngạc","15/7/2025.","Điểm Y tế Thuỵ Phương","Số 1 ngõ 125 đường Thuỵ Phương","Hoàng Văn Tuyến","977721192.0","1","null","null","null"
"149","09/TB-TYT của TYT phường Đông Ngạc","15/7/2025.","Phòng khám đa khoa Chèm","số 15 ngõ 266 đường Thuỵ Phương","Nguyễn Xuân Hương","915341932.0","1","null","null","null"
"150","02/TB-TYT của TYT phường Đại Mỗ","17/7/2025.","TRẠM Y TẾ PHƯỜNG ĐẠI MỖ","Số 74 đường Trung Văn – phường Đại Mỗ – thành phố Hà Nội","BSCKI. Phan Thị Long Hoa/ BSYHCT. Nguyễn Trà My","912141232.0","1","null","null","null"
"151","20/TB-TYT của TYT xã Bình Minh","17/7/2025.","Trạm Y tế Bình Minh","Thôn Sinh Liên- Xã Bình Minh - Tp Hà Nội","Nguyễn Đình Túc","981382289.0","1","null","null","null"
"151","20/TB-TYT của TYT xã Bình Minh","17/7/2025.","Điểm Y tế Bích Hoà","Thôn Mùi - Xã Bình Minh - Tp Hà Nội","Bùi Văn Linh","909467275.0","1","null","null","null"
"151","20/TB-TYT của TYT xã Bình Minh","17/7/2025.","Điểm Y tế Cự Khê","Thôn Thượng - Xã Bình Minh- Tp Hà Nội","Đinh Công Toàn","983741479.0","1","null","null","null"
"151","20/TB-TYT của TYT xã Bình Minh","17/7/2025.","Điểm Y tế Cao Viên","Thôn Vỹ - Xã Bình Minh - Tp Hà Nội","Phan Thị Bẩy","904907196.0","1","null","null","null"
"151","20/TB-TYT của TYT xã Bình Minh","17/7/2025.","Điểm Y tế Thanh Cao","Thôn Thượng Thanh- Xã Bình Minh - Tp Hà Nội","Phạm Thị Thu Huyền","335362986.0","1","null","null","null"
"152","26/TB-TYT của TYT xã Kim Anh","17/7/2025","Điểm Y tế Minh Phú","Thôn Thanh Sơn – Xã Kim Anh – Tp Hà Nội","Lê Xuân Hùng","373466450.0","1","null","null","null"
"152","26/TB-TYT của TYT xã Kim Anh","17/7/2025","Điểm Y tế Minh Trí","Thôn Thắng Trí – Xã Kim Anh – Tp Hà Nội","Nguyễn Thị Hồng","085 2828228","1","null","null","null"
"152","26/TB-TYT của TYT xã Kim Anh","17/7/2025","Điểm Y tế Tân Dân","Thôn Ninh Cầm – Xã Kim Anh – Tp Hà Nội","Nguyễn Anh Tuấn","962878870.0","1","null","null","null"
"153","36/TB-TYT của TYT xã Hạ Bằng","17/7/2025","Điểm Trạm Y tế","Thôn phú Đa 1, xã Hạ Bằng,thành phố Hà Nội","Lê Thị Lâm","399361799.0","1","null","null","null"
"153","36/TB-TYT của TYT xã Hạ Bằng","17/7/2025","Điểm Y tế Đồng Trúc","Thôn Tam Cảnh, xã Hạ Bằng, thành phố Hà Nội","Hoàng Yến","348964165.0","1","null","null","null"
"153","36/TB-TYT của TYT xã Hạ Bằng","17/7/2025","Điểm Y tế Bình Yên","Thôn Sen Trì, xã Hạ Bằng, thành phố Hà Nội","Cấn Thị Vân","386935820.0","1","null","null","null"
"153","36/TB-TYT của TYT xã Hạ Bằng","17/7/2025","Điểm Y tế Hạ Bằng","Thôn 2, xã Hạ Bằng,Thành Phố Hà Nội","Hoàng Thị Thu Màn","966432556.0","1","null","null","null"
"154","12/TB-TYT của TYT xã Gia Lâm","17/7/2025","Điểm y tế Trâu Quỳ","Số 112 Cửu Việt 2 - xã Gia Lâm – TP. Hà Nội","Phạm Thị Quỳnh Thư","975134976.0","1","null","null","null"
"154","12/TB-TYT của TYT xã Gia Lâm","17/7/2025","Điểm y tế Dương Xá","Số 26 đường Ỷ Lan - xã Gia Lâm – TP. Hà Nội","Phùng Thị Khánh","986077304.0","1","null","null","null"
"154","12/TB-TYT của TYT xã Gia Lâm","17/7/2025","Điểm y tế Cổ Bi","Số 113 đường Cổ Bi - xã Gia Lâm – TP. Hà Nội","Nguyễn Thanh Nhàn","977186911.0","1","null","null","null"
"154","12/TB-TYT của TYT xã Gia Lâm","17/7/2025","Điểm y tế Kiêu Kỵ","Trung Dương- xã Gia Lâm – TP. Hà Nội","Nguyễn Thế Hanh","986196474.0","1","null","null","null"
"154","12/TB-TYT của TYT xã Gia Lâm","17/7/2025","Phòng tiêm chủng dịch vụ - Trạm Y tế Gia Lâm","Khu 31ha Trâu Quỳ - xã Gia Lâm – TP. Hà Nội","Lê Văn Thành","977528687.0","1","null","null","null"
"155","10/TB-TYT của TYT xã Nam Phù","17/7/2025","Điểm Đông Mỹ","Thôn 1 Đông Mỹ- xã Nam Phù- TP Hà Nội","Y sỹ Phạm Minh Tiến","383159588.0","1","null","null","null"
"155","10/TB-TYT của TYT xã Nam Phù","17/7/2025","Điểm Duyên Hà","Tranh Khúc Duyên Hà- xã Nam Phù- TP Hà Nội","Bác sỹ Nguyễn Công Đạt","974291186.0","1","null","null","null"
"155","10/TB-TYT của TYT xã Nam Phù","17/7/2025","Điểm Vạn Phúc","Thôn 2 Vạn Phúc- xã Nam Phù- TP Hà Nội","Bác sỹ Nguyễn Thị Nhâm","913089585.0","1","null","null","null"
"156","21/TB-TYT của TYT phường Từ Liêm","17/7/2025","Điểm Y tế Cầu Diễn","96 Nguyễn Văn Giáp, phường Từ Liêm, TP Hà Nội","Nguyễn Thị Thơ","379271116.0","1","null","null","null"
"156","21/TB-TYT của TYT phường Từ Liêm","17/7/2025","Điểm Y tế Mỹ Đình 1","Ngõ 180 Đình Thôn, phường Từ Liêm, TP Hà Nội","Lê Thanh Nhã","972153668.0","1","null","null","null"
