SoTT;NamPhatHanh;So;DangTaiLieu;NgonNguTaiLieu;TenTaiLieu;TacGia;TenNguonTrich;DuLieuNguonTrich;DacTrungSoLuong;PhuChuTaiLieu;ISSNISBN;DeMuc;TuKhoa;TuKhoaPhu;TuKhoaChuaKiemSoat;TuKhoaDiaLy;TuKhoaSinhHoc;TomTatTiengViet;TomTatTiengAnh;KyHieuKhoa;NoiDung;NhanDeDichTAnh;NguonTrichLaKyYeu,TapChi;DiemTapChi;LinhVucKHCN;TuKhoaTAnh;TomTatTAnh
851;2016;9-10;BB;Vie;Phật giáo với triết lý, tư tưởng đạo đức các vương triều lý - trần;Nguyễn Thị Thanh Hảo;Nghiên cứu Tôn giáo;;45-60;;1859-0403;21.21.25;"Phật giáo; Triết lý; Tư tưởng; Đạo đức; Nhà Lý; Nhà Trần";;;;;Du nhập vào đời sống người Việt, quá trình đồng hành cùng dân tọc đã tạo nhiều cơ hội cho Phật giáo đóng góp công sức trong công cuộc dựng nước và giữ nước. Phật giáo Việt Nam thời đại Lý - Trần đã chi những dấu ấn quan trọng, thể hiện trên các lĩnh vực trong đó có triết lý, tư tưởng đạo đức. Nói đến các vương triều là nói đến các nhà cầm quyền, lãnh đạo, quản lý trong xã hội (các vị vua, hoàng đế và quan lại, tướng lĩnh). Đạo đức của họ xét từ phương diện lãnh đạo, quản lý xã hội là đạo đức chính trị, tuy rằng đạo đức chính trị ấy không hoàn toàn tách rời đạo đức nhân sinh. Tác động của Phật giáo đối với triết lý, tư tưởng đạo đức cảu các vương triều Lý - Trần trên cơ sở các nhiệm vụ chính trị mà dân tộc, thời đại đặt ra đối với họ và những thành tựu mà họ đã đạt được.;;TTKHCNQG, CVv237;;;;;;;
852;2016;9-10;BB;Vie;"Vai trò ""tiên phong"" của hòa thượng Khánh Hòa trong phong trào chấn hưng phật giáo ở Việt Nam trong những năm 1920 - 1945 qua tài liệu lưu trữ";Ninh Thị Sinh;Nghiên cứu Tôn giáo;;61-76;;1859-0403;21.15.41;"Đạo phật; Lưu trữ; Chấn hưng; Thiền sư Khánh Hòa; Việt Nam";;;;;Trên cơ sở khảo cứu các tài liệu lưu trữ (ở Pháp và Việt Nam), các công trình nghiên cứu ở Việt Nam và các luận án tiến sĩ, vai trò tiên phong của Thiền sư Khánh Hòa trong phong trào chấn hưng Phật giáo ở Việt Nam những năm 1920-1945 nói chung và vai trò đối với sự ra đời của Nam Kỳ nghiên cứu Phật học Hội nói riêng.;;TTKHCNQG, CVv237;;;;;;;
853;2016;9-10;BB;Vie;ảnh hưởng của giá trị công giáo Việt Nam tới cá nhân, gia đình, cộng đồng;Nguyễn Hồng Dương;Nghiên cứu Tôn giáo;;77-114;;1859-0403;21.15.99;"Công giáo; Cá nhân; Gia đình; Cộng đồng; Giá trị; Việt Nam";;;;;Các tôn giáo ở Việt Nam dù là tôn giáo ngoại nhập hay tôn giáo nội sinh, trong quá trình tồn tại và phát triển đều tạo ra các giá trị tôn giáo. Giá trị công giáo ở Việt Nam không nằm ngoài vấn đề trên. Giá trị công giáo ở Việt Nam phản ánh căn cốt nội tại từ đời sống tôn giáo của tôn giáo này ở Việt Nam. Nó hình thành trên cơ sở của Kinh Thánh, của giáo lý, giáo luật, đặc biệt là của lối sống đạo của cộng đồng Công giáo tại Việt Nam trong lịch sử truyền giáo, phát triển Công giáo ở Việt Nam.;;TTKHCNQG, CVv237;;;;;;;
854;2016;9-10;BB;Vie;ảnh hưởng của tôn giá đối với đời sống gia đình trẻ vị thành niên ở Anh Quốc: nghiên cứu quan điểm của giới trẻ  và cha mẹ;"Jan Horwath; Jannet Lees; Peter Sidebotham";Nghiên cứu Tôn giáo;;115-141;;1859-0403;04.51.67;"Vị thành niên; Cuộc sống; Lối sống; Nuôi dạy con; Tôn giáo; Cha mẹ; Anh Quốc";;;;;Phần lớn người trưởng thành ở Anh cho rằng mình gắn kết với một niềm tin tôn giáo. Tuy nhiên, rất ít người biết tôn giáo có ảnh hưởng tới đời sồng gia đình, đặc biệt liên quan đến những phương pháp nuôi dạy trẻ vị thành niên. Quan điểm nhận thức của ông bà, bạn bè đông trang lứa và những áp lực xã hội lên giới trẻ thấm nhuần thái độ của cả cha mẹ và giới trẻ. Tuy nhiên, quan điểm của các nhà lãnh đạo tôn giáo dường như không có ảnh hưởng nào.;;TTKHCNQG, CVv237;;;;;;;
855;2016;9-10;BB;Vie;Thờ cúng việc lễ trong gia đình, dòng họ người Việt ở huyện đảo Lý Sơn, Quảng Ngãi;Nguyễn Duy Đoài;Nghiên cứu Tôn giáo;;142-155;;1859-0403;04.51.67;"Thờ cúng; Gia đình; Dòng họ; Tổ tiên; Người Việt; Lý Sơn; Quảng Ngãi";;;;;Thờ cúng việc lề là niềm tin tôn giáo đặc thù của người Việt ở huyện đảo Lý Sơn. Hiện nay, tất cả các dòng họ lớn ở huyện đảo Lý Sơn như: Phạm Khắc, Phạm Văn, Võ Xuân, Võ Văn Lê.... đều duy trì nghi thức cúng lề. Bởi nghi thức cúng này không chỉ thể hiện sự tri ân đối với tổ tiên, những vị tiền bối có công mà còn biểu hiện tính cố kết thân tộc, dòng họ với nhau. Ngoài ra, nghi thức cúng việc lề cầu mong sự phù hộ độ trì của tổ tiên cho toàn gia tộc được an khang, thịnh vượng tránh những điều dữ trong cuộc sống.;;TTKHCNQG, CVv237;;;;;;;
856;2016;9-10;BB;Vie;Xư hướng thích ứng phong thủy về nhà ở của người Việt tại các đô thị mới ở Hà Nội hiện nay;Trương Thị Thúy Ngà;Nghiên cứu Tôn giáo;;156-166;;1859-0403;21.99;"Phong thủy; Nhà ở; Chung cư; Thích ứng; Niềm tin; Đô thị; Người Việt";;;;;Sở hữu một căn hộ chung cư đang là lựa chọn phổ biến của nhiều người sinh sống và làm việc ở Hà Nội. Ngoài các yếu tố tác động tới quyết định mua của người mua như: vị trí, chất lượng xây dựng, dịch vụ và tiện ích phục vụ nhu cầu sinh hoạt, học tập... yếu tố phong thủy về nhà ở cũng được người mua và người đầu tư, thiết kế quan tâm. Xem xét về phong thủy nơi định an cư và bài trí căn hộ hợp với phong thủy là một xu hướng khá phổ biến trong số người mua căn hộ hiện nay. Tuy nhiên, đây là một lĩnh vực còn chưa được quan tâm nghiên cứu nhiều trong bối cảnh đô thị hóa hiện nay.;;TTKHCNQG, CVv237;;;;;;;
857;2016;7-8;BB;Vie;Nghiên cứu phật giáo Việt Nam dưới góc nhìn tôn giáo học: 25 năm nhìn lại (1991-2016);Lê Tâm Đắc;Nghiên cứu Tôn giáo;;3-33;;1859-0403;21.15.41;"Đạo phạt; Tôn giáo; Nghiên cứu; Lịch sử; Thành tựu; Việt Nam";;;;;Các thành tựu cơ bản của một số nhà nghiên cứu đã từng hoặc đang còn công tác tại Viện Nghiên cứu Tôn giáo thuộc Viện Hàn lâm Khoa học xã hội Việt Nam trong vòng 25 năm qua. Những thành tựu này thể hiện ở những nội dung tiêu biểu như: lịch sử Phật giáo Việt Nam, tư tưởng triết học Phật giáo Việt Nam, đặc điểm Phật giáo Việt Nam, danh tăng và đại cư sĩ Phật giáo Việt Nam, ảnh hưởng của giá trị Phật giáo đối với đạo đức và lối sống con người Việt Nam hiện nay... Thành quả nêu trên, đã  cung cấp không chỉ về tài liệu tin cậy, mà còn về phương pháp thích hợp cho những ai muốn tìm hiểu về Phật giáo Việt Nam từ lịch sử đến hiện đại.;;TTKHCNQG, CVv237;;;;;;;
858;2016;7-8;BB;Vie;Giải lãnh thổ hóa tâm thức và tái kiến tạo cấu hình xã hội trong bối cảnh tôn giáo ở Tây Nguyên;Nguyễn Đức Lộc;Nghiên cứu Tôn giáo;;34-46;;1859-0403;21.99;"Giải lãnh thổ; Tâm thức; Cấu hình; Tôn giáo; Xã hội; Tái kiến tạo; Tây Nguyên";;;;;Bằng phương pháp tiếp cận nghiên cứu định tính, kết hợp định lượng, hướng tới mục tiêu nghiên cứu tôn giáo ở Tây Nguyên nhìn nhận dưới góc độ định chế xã hội giữa truyền thống và hiện đại, giữa chính thức và phi chính thức là một trong những nhiệm vụ trọng yếu. Quá trình giải lãnh thổ hóa tâm thức, sự chiếm lĩnh quyền uy truyền thống của Ki tô giáo ở Tây Nguyên và chuyển đổi cấu hình xã hội ở Tây Nguyên trong cộng đồng các tộc người thiểu số ở Tây Nguyên.;;TTKHCNQG, CVv237;;;;;;;
859;2016;7-8;BB;Vie;Tìm hiểu vai trò của ý thức trong duy thức học Phật giáo;Dương Đình Tùng;Nghiên cứu Tôn giáo;;47-62;;1859-0403;21.15.41;"Duy thức; Nhận thức luận; Đạo phật; ý thức";;;;;Duy thức học là học thuyết có sự bàn luận phức tạp về cấu trúc tâm lý của con người. Những nội dung cơ bản của triết học duy thức là cơ sở để tìm hiểu về vấn đề nhận thức luận và bản thể luận của triết học Phật giáo Bắc truyền. Từ lập trường duy vật biện chứng, phân tích một số vấn đề cơ bản nhận thức luận trong Duy thức học, qua đó có một số đánh giá về những đóng góp cũng như những hạn chế trong triết học Duy thức học đối với sự phát triển của nhận thức luận Phật giáo nói riêng và lý luận nhận thức khoa học nói chung.;;TTKHCNQG, CVv237;;;;;;;
860;2016;7-8;BB;Vie;ý nghĩa và giá trị của khoan dung phật giáo trong đời sống người Việt Nam;"Hoàng Thị Thơ; Hoàng Văn Chung";Nghiên cứu Tôn giáo;;63-76;;1859-0403;21.15.41;"Khoan dung; Từ bi; Thương xót; Bố thí; Bất khoan dung; Tôn giáo; Đạo phật; Đời sống; Việt Nam";;;;;"Phật giáo nguyên thủy đã có các khái niệm ""Từ bi"", ""Thương xót"" và ""Bố thí"" chứng đựng nội dung về tư tưởng khoan dung. Các khái niệm này được xây dựng trên một hệ thống triết học-tôn giáo và đạo đức bề thế. Việt Nam đã tiếp thu tinh thần khoan dung Phật giáo từ rất sớm. Trong lịch sử dân tộc, Phật giáo Việt Nam đã nhiều lần phát huy thành công tinh thần khoan dung một cách tích cực và sáng tạo trên các lĩnh vực chính trị, văn hóa, tôn giáo. Ngày nay, trong bối cảnh toàn cầu hóa, khoan dung và giá trị của khoan dung đang được nhân laoij và UNESCO đánh giá là chìa khóa để tìm sự đồng thuận cho đoàn kết cùng tồn tại và cùng phát triển trên cơ sở vượt qua định kiến, kỳ thị và không làm tổn hại tới bản sắc, đặ trưng riêng mỗi cá thể hay quốc gia dân tộc.";;TTKHCNQG, CVv237;;;;;;;
861;2016;7-8;BB;Vie;"""Tâm"" trong kinh điển phật giáo Bắc Truyền";Trần Hoàng Hùng;Nghiên cứu Tôn giáo;;77-96;;1859-0403;21.15.41;"Tâm; Đạo phật; Kinh điển; Bắc truyền; Từ bi";;;;;"Nếu dùng hai từ ""từ bi"" và trí tuệ để khái quát tôn chỉ của Phật giáo, thì có thể dùng một chữ ""Tâm"" để khái quát nội dung cơ bản của toàn bộ hệt hống văn học Phật giáo Băc truyền. ""Tâm"" vừa là đối tượng, vừa là nội dung, đồng thời vừa là mục đích cuối cùng của các văn sĩ Phật giáo. Ngộ được chân tam, thấu triệt tự tính, vượt khỏi trói buộc, thoát khỏi khổ đau trong lục đạo luân hồi, rồi tận tâm tận lực cứu giúp muôn loại chúng sinh thoát khỏi khổ đau là mục tiêu hướng đến của thuên sư thi sĩ. Nói cách khác, gần như toàn bộ kinh điển Phật giáo Bắc truyền diễn tả, chiêm nghiệm chữ ""Tâm"" trong mọi khía cạnh, từ nhiều góc độ, trên nhiều phương diện, với nhiều hình thức, bằng nhiều thủ pháp nghệ thuật khác nhau.";;TTKHCNQG, CVv237;;;;;;;
862;2016;7-8;BB;Vie;Phật học Viện Hải Đức Nha Trang với cuộc vận động của phật giáo miền Nam năm 1963;"Lê Cung; Nguyễn Trung Triều";Nghiên cứu Tôn giáo;;97-106;;1859-0403;21.15.41;"Đạo phật; Phật học Viện Hải Đức; Vận động; Miền Nam; Nha Trang";;;;;Cuộc vận động đòi tự do, bình đẳng tôn giáo của Phật giáo miền Nam năm 1963 thu hút hầu hết Tăng Ni, Phật tử và mọi giới đồng bào miền Nam tham gia, trong đó Chư tôn đức, học tăng Phật học Viện Hải Đức Nha Trang đã nhập cuộc ngay từ đầu. Những chủ trương, phương pháp vận động mà giơi lãnh đạo Phật giáo miền Nam đưa ra đều được Chư tôn đức, học tăng Phật học Viện Hải Đức Nha Trang biến thành hiện thực, góp phần xứng đáng đưa cuộc vận động của Phật giáo miền Nam năm 1963 đi đến thắng lợi.;;TTKHCNQG, CVv237;;;;;;;
863;2016;7-8;BB;Vie;Hoạt động Caritas tại giáo phận Kon Tum;Đặng Luận;Nghiên cứu Tôn giáo;;107-119;;1859-0403;21.15.99;"Tôn giáo; Caritas; Công giáo; Con Tum";;;;;Các hoạt động Caritas tại Giáo phận Kon Tum được bắt đầu ngay từ khi Giáo phận chưa được thành lập. Thời kỳ này, hoạt động Caritas hướng tới tộc người thiểu số bằng việc mở trường dạy học. Khi Giáo phận Kon Tum được thành lập năm 1932, hệ thống trường tư thục của Giáo hội phát triển khá nhanh với sự góp mặt của các dòng tu chuyên về giáo dục và công tác xã hội. Những cơ sở đào tạo dành riêng cho người dân tộc nhằm đáp ứng nhân lực cho truyền giáo trong vùng các tộc người thiểu số. Sau lĩnh vực giáo dục, các vấn đề xã hội khác cũng được quan tam bằng việc mở nhiều cơ sở chữa bệnh, nuôi trẻ mồ côi, người già neo đơn, người tàn tật. Từ những năm 90 của thế kỷ XX tới nay, công tác xã hội tại Giáo phận Kon Tum đã đóng góp tích cực cho sự phát triển cộng đồng. Hơn nữa, trước sự cạnh tranh truyền giáo và giữ tín đồ với các tôn giáo khác như: Tin lành, Phật giáo, tôn giáo mới. Giáo phận Kon Tum tiếp tục đẩy mạnh các hoạt động với những hình thức đa dạng.;;TTKHCNQG, CVv237;;;;;;;
864;2016;7-8;BB;Vie;Tục thờ thiên hậu ở làng Minh Hương và quá trình tiếp biến văn hóa (Trường hợp xã Hương Vinh, huyện Hương Trà, Thừa Thiên Huế);Phan Thị Hoa Lý;Nghiên cứu Tôn giáo;;120-138;;1859-0403;21.99;"Thờ Thiên Hậu; Văn hóa; Mô thức; Tiếp biến; Người Minh Hương";;;;;Người Hoa di cư tới Việt Nam nói chung, tới Huế nói riêng đã từ lâu và chung sống với các tộc người sở tại. Quá trình chung sống đó cũng là quá trình văn hóa tiếp xúc với các nền văn hóa sở tại, dần dần đã có những biến đổi nhất định. Nhóm cựu thần nhà Minh ở Huế phần đông nhập quốc tịch Việt Nam, lấy vợ Việt, theo phong tục, tập quán người Việt và được quản lý trong làng Minh Hương- một tổ chức làng, xã có cơ cấu tổ chức như làng Việt cổ truyền. Quá trình tiếp xúc văn hóa và hòa huyết nhiều đời đã khiến cho văn hóa của làng Minh Hương biến đổi mạnh mẽ,mang một màu sắc riêng. Tục thờ Thiên hậu, một trong những hình thức tôn giáo dân gian nổi bật của người Hoa cũng nằm trong quy luật đó. Cho đến nay, nó đã tiếp thu văn hóa Việt trên mọi phương diện và hình thành nhiều mô thức văn hóa mới.;;TTKHCNQG, CVv237;;;;;;;
865;2016;7-8;BB;Vie;Việc dùng bùa của người Việt hiện nay;Vũ Hồng Thuật;Nghiên cứu Tôn giáo;;140-153;;1859-0403;21.99;"Sử dụng bùa; Tôn giáo; Người Việt; Đời sống; Gia đình; Cộng đồng";;;;;ở Việt Nam hầu hết các dân tộc đều làm bùa và dùng bùa. Cho dù cuộc sống hiện đại cùng với sự tiến bộ của khoa học kỹ thuật nhưng bùa chú vẫn giữ một vị trí quan trọng trong đời sống cá nhân, gia đình, cộng đồng và nó được ví như tấm thẻ bảo hiểm thân thể đối với chức năng an ủi tâm lý, tránh được rủi ro, cầu an và may mắn.Việc làm bùa chú và sử dụng bùa đúng cách sẽ mang lại sự an ủi về mặt tâm lý, niềm vui trong cuộc sống, Trái lại, dùng bùa không đúng quy tắc chẳng những không mang lại được lợi ích mà còn gặp phải nhiều hệ lụy cho bản thân, gia đình và cộng đồng.;;TTKHCNQG, CVv237;;;;;;;
866;2016;7-8;BB;Vie;Đặc điểm tư duy của người ấn Độ cổ;Nguyễn Hùng Hậu;Nghiên cứu Tôn giáo;;154-160;;1859-0403;21.99;"Tư duy; Đặc trưng; Duy tâm; Tuần hoàn; ấn Độ";;;;;"Ngay từ thời rất xa xưa, tư duy của người ấn Độ đã phát triển khá cao và mang những nét đặc trưng mà không nơi nào trên thế giới có được. Trong Upanishad, Bhagavat Gita, Ramayana, Mahabharat, Rataka, Kinh phật đã thể hiện một tư suy thâm trầm bay bổng; tư duy nương theo cái tương đối, tạm thời để đạt đến cái tuyệt đối, vĩnh cửu, vĩnh hằng. Với phương châm như vậy, tư duy của người ấn Độ cổ đại luôn luôn thể hiện tính chất duy tâm, hướng nội, trực giác nghiêng về ẩn dụ, tư duy biện chứng của họ ngả về thống nhất, về vận động vòng tròn, tuần hoàn.";;TTKHCNQG, CVv237;;;;;;;
867;2016;6;BB;Vie;Đi tìm động lực mới cho sự phát triển của thư viện công cộng;Phạm Thế Khang;Thư viện Việt Nam;;3-7;;1859-1450;13.31.27;"Thư viện công cộng; Động lực; Phát triển";;;;;"Qua một số thành tựu và hạn chế của hệ thống thư viện công cộng trong 5 năm. Qua đó nêu lên một số vấn đề cần triển khai và hoàn thiện nhằm tạo động lực mới cho sự phát triển hệ thống thư viện công cộng trong thời gian tới: Ban hành luật thư viện, các văn bản mới của Ban Bí thư Trung ương Đảng về thư viện, Thông tư của Bộ Văn hóa, Thể thao và Du lịch về xếp hạng thư viện, tạo nên bộ mặt mới trong phục vụ của các thư viện; đa dạng hóa, nghệ thuật hóa hoạt động tuyên truyền thu hút bạn đọc đến thư viện, xây dựng chi hội thư viện....";;TTKHCNQG, CVv317;;;;;;;
868;2016;6;BB;Vie;Mô hình hành vi thông tin;Bùi Hà Phương;Thư viện Việt Nam;;8-14;;1859-1450;20.19.99;"Thư viện; Thông tin; Hành vi; Người dùng tin";;;;;Hành vi thông tin là một phân ngành trong lĩnh vực khoa học thông tin và là một lĩnh vực liên ngành với nhiều quan điểm khác nhau như tâm lý học nhận thức, hành vi tổ chức, truyền thông, triết học, nhân chủng học, sinh học và triết học tiến hóa, trong đó có khoa học thư viện - thông tin. Một số mô hình hành vi thông tin từ một số quan điểm tiếp cận khác nhau, ý nghĩa của nghiên cứu mô hình hành vi thông tin trong hoạt động thư viện - thông tin.;;TTKHCNQG, CVv317;;;;;;;
869;2016;6;BB;Vie;Nghiên cứu mô hình phục vụ của thư viện trường học;Bùi Vũ Bảo Khuyên;Thư viện Việt Nam;;15-19;;1859-1450;13.31.27;"Thư viện; Trường học; Bạn đọc; Mô hình";;;;;Phát triển hệ thống thư viện trường học là một trong những nhiệm vụ cần được chú trọng trong giáo dục bậc phổ thông hiện nay. Đứng trước bối cảnh đổi mới giáo dục hiện tại, thư viện cần có những thay đổi nhất định để phục vụ cho nhu cầu ngày càng đa dạng của học sinh và giáo viên trong trường học. Trên cơ sở đó, bên cạnh việc trình bày mô hình thư viện trường học đã và đang được áp dụng tại Việt Nam, một số mô hình thư viện trường học ở các quốc gia phát triển trên thế giới như: Hoa Kỳ, OOxxtraaylia, từ đó rút ra một số ưu điểm mà thư viện trường học ở Việt Nam cần học tập trong việc xây dựng và cải tiến mô hình phục vụ, nhằm hỗ trợ học sinh phát triển toàn diện và nâng cao vai trò của thư viện.;;TTKHCNQG, CVv317;;;;;;;
870;2016;6;BB;Vie;Lưu trữ web - nhiệm vụ của thư viện trong thời đại thông tin số;Lâm Thị Hương Duyên;Thư viện Việt Nam;;20-23;;1859-1450;13.31.85;"Thư viện; Lưu trữ web; Thông tin số; Truy cập";;;;;Trong thời đại công nghệ thông tin, các trang web đóng vai trò ngày càng quan trọng đối với con người, việc ghi lại nội dung của chúng cho các lần truy cập sau là một điều cần thiết. Lưu trữ web trong thư viện được xem là một quá trình quan trọng nhằm đảm bảo người dùng có thể truy cập và tái sử dụng kiến thức trong thời gian dài và có thể thực hiện theo nhu cầu truy xuất thông tin. Nhìn tổng quan về tình hình lưu trữ web trên thế giới,  giới thiệu dự án lưu trữ web, các công nghệ chủ đạo mà các thư viện lớn trên thế giới đã áp dụng, cũng như liên hệ thực trạng lưu trữ web của các thư viện ở Việt Nam.;;TTKHCNQG, CVv317;;;;;;;
871;2016;6;BB;Vie;Phát triển dịch vụ tham khảo trong thư viện Việt Nam;Nguyễn Minh Hiệp;Thư viện Việt Nam;;24-28;;1859-1450;13.31.61;"Thư viện; Dịch vụ; Tham khảo; Việt Nam";;;;;Dịch vụ tham khảo đã xuất hiện từ lâu trong các cơ sở đào tạo thư viện - thông tin ở Hoa Kỳ và trên thế giới. Phát triển dịch vụ tham khảo và xây dựng phòng Tham khảo trong các thư viện Việt Nam hiện nay là sự đổi mới về dịch vụ thông tin. Khái quát về dịch vụ tham khảo và sự cần thiết xây dựng bộ phận tham khảo trong các thư viện Việt Nam.;;TTKHCNQG, CVv317;;;;;;;
872;2016;6;BB;Vie;Internet với việc quảng bá hoạt động thư viện - thông tin;Phùng Ngọc Tú;Thư viện Việt Nam;;29-33;;1859-1450;13.31.85;"Internet; Thư viện; Thông tin; Quảng cáo";;;;;Cùng với sự phát triển không ngừng của công nghệ thông tin và truyền thông, các hình thức quảng bá thư viện đã có nhiều thay đổi với những hình thức đa dạng và hiệu quả hơn. Đặc biệt, ngày nay khi internet trở thành một phần thiết yếu trong đời sống con người thì các thư viện hết sức quan tâm tới việc sử dụng nó như là một công cụ hữu hiệu để thư viện tới gần với người dùng tin.;;TTKHCNQG, CVv317;;;;;;;
873;2016;5;BB;Vie;Giáo dục văn hóa đọc trong thư viện trường tiểu học ở Hà Nội;Trần Thị Minh Nguyệt;Thư viện Việt Nam;;6-13;;1859-1450;13.31.07;"Văn hóa đọc; Thư viện; Giáo dục; Trường tiểu học; Hà Nội";;;;;Văn hóa đọc của học sinh tiểu học hình thành và phát triển dưới tác động của nhiều yếu tố, trong đó quan trọng nhất là hoạt động hướng dẫn đọc của các thư viện tiểu học. Những năm gần đây, với sự nỗ lực của các cấp lãnh đạo và đội ngũ nhân viên thư viện, hoạt động hướng dẫn đọc của các thư viện tiểu học trên địa bàn Hà Nội đã có nhiều đổi mới theo hướng đa dạng, sinh động, phù hợp với đặc điểm tâm sinh lý lứa tuổi học sinh. Các hình thức giáo dục văn hóa đọc trong thư viện trường tiểu học ở Hà Nội, thực trạng văn hóa đọc của học sinh tiểu học ở Hà Nội, từ đó đưa ra một số đề xuất nhằm nâng cao hơn nữa hiệu quả giáo dục văn hóa đọc cho học sinh tiểu học trong thư viện trường học.;;TTKHCNQG, CVv317;;;;;;;
874;2016;5;BB;Vie;Xây dựng các hướng dẫn sử dụng thư viện trên môi trường web;Huỳnh Minh Hải;Thư viện Việt Nam;;14-18;;1859-1450;13.31.85;"Thư viện; Trang web; Sử dụng; Thiết kế";;;;;Hướng dẫn là một chức năng cơ bản trong hoạt động thư viện - thông tin của thư viện hay trung tâm thông tin. Chức năng này ngày càng giữ vai trò quan trọng trong bối cảnh hiện nay khi thư viện đã và đang trở thành nơi cung cấp tri thức và nguồn tài nguyên thông tin phong phú cho người dùng tin. Khái quát một số công cụ thiết kế web phổ biến hiện nay trên internet, các nội dung của một trang web thư viện đại học và thiết kế trang web hướng dẫn sử dụng thư viện cho người dùng tin trong các thư viện đại học.;;TTKHCNQG, CVv317;;;;;;;
875;2016;5;BB;Vie;ứng dụng quảng cáo qua mạng trong hoạt động thư viện đại học;Dương Thị Phương Chí;Thư viện Việt Nam;;19-23;;1859-1450;13.31.85;"Thư viện; Quảng cáo; Mạng internet; Trường đại học";;;;;Hoạt động quảng cáo qua mạng là việc các tổ chức sử dụng internet và các dịch vụ trên internet để giới thiệu, cung cấp thông tin về sản phẩm, dịch vụ và thuyết phục khách hàng lựa chọn các sản phẩm, dịch vụ. Các hình thức quảng cáo qua mạng phổ biến hiện nay, hiện trạng ứng dụng quảng cáo qua mạng và trình bày một số giải pháp nhằm tăng cường ứng dụng quảng cáo qua mạng trong các thư viện đại học.;;TTKHCNQG, CVv317;;;;;;;
876;2016;5;BB;Vie;Phát triển không gian học tập chung hỗ trợ hành vi thông tin: yêu cầu đối với người làm thư viện;"Bùi Hà Phương; Nguyễn Thành Nhẫn";Thư viện Việt Nam;;24-28;;1859-1450;13.31.99;"Thư viện; Thông tin; Hành vi; Học tập trung; Không gian";;;;;Xây dựng và phát triển không gian học tập chung là một trong những xu hướng nổi bật trong hoạt động thư viện đại học hiện nay. Sự tác động của không gian học tập chung đối với hành vi thông tin của người dùng tin trong hoạt động thư viện - thông tin. Trên cơ sở đó, đưa ra những yêu cầu về năng lực đối với người làm thư viện đại học trong quá trình xây dựng khôn gian học tập chung hỗ trợ hành vi thông tin của người dùng tin.;;TTKHCNQG, CVv317;;;;;;;
877;2016;5;BB;Vie;"Xây dựng sản phẩm thông tin ""Hướng dẫn học tập và nghiên cứu theo chủ đề"" của các thư viện đại học Việt Nam";Lê Bá Lâm;Thư viện Việt Nam;;29-34;;1859-1450;13.31.27;"Thư viện; Thông tin; Học tập; Chủ đề; Nghiên cứu; Trường đại học; Việt Nam";;;;;Hướng dẫn học tập và nghiên cứu theo chủ đề là các tổ hợp thông tin được người làm thư viện tạo lập sẵn trên web theo từng chủ đề, môn loại khoa học hay cụ thể hơn là ngành/chuyên ngành đào tạ, nghiên cứu của trường đại học đó. Việc xây dựng các hướng dẫn theo chủ đề trong các thưc viện, đặc biệt là thư viện các trường đại học ở Việt Nam là hết sức cần thiết trong giai đoạn phát triển lên thư viện hiện đại hiện nay. Lịch sử hình thành, tên gọi và các nội dung của Hướng dẫn theo chủ đề, đồng thời đề cập đến công cụ, tài nguyên thông tin và phương pháp xây dựng nội dung chi tiết của một hướng dẫn theo chủ đề. Những thách thức đối với người xây dựng chủ đề. Từ đó, đưa ra một số đề xuất kiến nghị nhằm xây dựng sản phẩm thông tin này đạt chất lượng và hiệu quả phục vụ bạn đọc cao nhất.;;TTKHCNQG, CVv317;;;;;;;
878;2016;5;BB;Vie;Một vài nét về kho tài liệu vi dạng của thư viện quốc gia Việt Nam;Lê Phương Lan;Thư viện Việt Nam;;35-38;;1859-1450;13.31.27;"Tài liệu; Vi dạng; Thư viện; Việt Nam";;;;;Hiện nay giải pháp số hóa để lưu trữ và bảo quản tài liệu dưới các định dạng điện tử đang ngày càng phổ biến ở các thư viện và cơ quan lưu trữ trên thế giới, tuy nhiên công nghệ chuyển dạng tài liệu để lưu trữ và bảo quản bằng vi dạng vẫn được đánh giá cao và được áp dụng rộng rãi. Khi được tạo ra và bảo quản theo các tiêu chuẩn chung của Viện tiêu chuẩn Quốc gia Hoa Kỳ và tiêu chuẩn của Hiệp hội Quản lý thông tin và Hình ảnh, vi dạng có thể có tuổi thọ lên tới hơn 500 năm.;;TTKHCNQG, CVv317;;;;;;;
879;2014;11;BB;Vie;Phát triển hệ thống y tế ngoài công lập: thực trạng và giải pháp;Nguyễn Văn Phúc;Nhân lực khoa học xã hội;;3-9;;0866-756X;76.75.75;"Y tế; Ngoài công lập; Xã hội hóa";;;;;Thực trạng phát triển hệ thống y tế ngoài công lập ở nước ta hiện nay, những vấn đề đặt ra và đưa ra một số giải pháp nhằm phát triển hơn nữa hệt hống y tế này nhằm tạo điều kiện để toàn xã hội, đặc biệt là các đối tượng chính sách được thụ hưởng thành quả của y tế ở mức độ ngày càng cao.;;TTKHCNQG, CVv439;;;;;;;
