_id,STT,Don vi quan ly,Ten don vi,Dia chi,So dien thoai,Email,Hieu truong,Loai hinh,Tong so nguoi,So Hieu truong,So Pho Hieu truong,So Giao vien,So Nhan vien,Tong so lop,Tong so hoc sinh,Lop 1,Hoc sinh lop 1,Lop 2,Hoc sinh lop 2,Lop 3,Hoc sinh lop 3,Lop 4,Hoc sinh lop 4,Lop 5,Hoc sinh lop 5
105,105,Xã Bến Cầu,Trường Tiểu học Tiên Thuận C,Bến cầu,c1tienthuancbc.tayninh@moet.edu.vn,02763876688,Huỳnh Thanh Tú,Công lập,20,1,1,15,3,8,125,1,28,2,36,1,25,2,15,2,21
106,106,Xã Bến Lức,Trường TH; THCS&THPT Emasi Plus - Waterpoint Campus,Khu đô thị Waterpoint; ĐT830,info@emasiplus.edu.vn,02844558585,Nguyễn Thị Thu Cúc,Tư thục,9,,,9,,7,183,2,30,2,32,1,41,1,45,1,35
107,107,Xã Bến Lức,Trường TH; THCS&THPT iSchool Long An,Số 6 Khu phố 3; đường Mai Thị Non; xã Bến Lức; tỉnh Tây Ninh,,,Nguyễn Trọng Chí,Tư thục,14,,,11,3,10,968,2,234,2,177,2,197,2,181,2,179
108,108,Xã Bến Lức,Trường Tiểu học  Bến Lức,Đường số 14; ấp Bến Lức 10; xã Bến Lức; tỉnh Tây Ninh,,0723871292,Lê Thành Khởi,Công lập,39,1,1,33,4,27,983,6,191,5,196,6,187,5,207,5,202
109,109,Xã Bến Lức,Trường Tiểu học An Thạnh,Ấp 1 A An Thạnh; xã Bến Lức; tỉnh Tây Ninh,c1anthanhbl.tayninh@moet.edu.vn,02723871750,,Công lập,34,,2,31,1,30,254,6,50,6,46,6,61,6,47,6,50
110,110,Xã Bến Lức,Trường Tiểu học Gò Dung,Ấp 6 An Thạnh,c1godungbl.longan@moet.edu.vn,02723872755,TRẦN THỊ CẨM HỒNG,Công lập,18,1,1,14,2,10,986,2,215,2,200,2,189,2,174,2,208
111,111,Xã Bến Lức,Trường Tiểu học Mai Thị Non,Số 10; Đường Mai Thị Non; Ấp Bến Lức 3; Xã Bến Lức; Tỉnh Tây Ninh,,02723871084,,Công lập,45,,2,40,3,28,679,6,149,6,123,5,156,5,140,6,111
112,112,Xã Bến Lức,Trường Tiểu học Nguyễn Văn Siêu,Ấp Phước Tú; xã Bến Lức; tỉnh Tây Ninh,c1nguyenvansieubl.longan@moet.edu.vn,0981987899,Trần Thanh Phong,Công lập,35,1,1,30,3,20,82,4,18,4,21,5,14,4,16,3,13
113,113,Xã Bến Lức,Trường Tiểu học Tân Hòa,Ấp 6 An Thạnh,c1tanhoabl.longan@moet.edu.vn,0723873340,TRẦN HỮU HẠNH,Công lập,10,1,1,6,2,5,,1,248,1,210,1,215,1,202,1,204
114,114,Xã Bến Lức,Trường Tiểu học Thuận Đạo,170 Nguyễn Văn Tuôi; ấp Bến Lức 6 Xã Bến Lức; tỉnh Tây Ninh,c1thuandaobl.longan@moet.edu.vn,02723872517,Đinh Thị Kim Dung,Công lập,48,1,2,42,3,30,787,6,151,6,156,6,168,6,147,6,165
115,115,Xã Bến Lức,Trường Tiểu học và THCS Thanh Phú,Ấp Thanh Hiệp Thanh Phú; xã Bến Lức; tỉnh Tây Ninh,,02723872149,,Công lập,33,,1,32,,24,536,5,116,5,95,5,99,4,125,5,101
116,116,Xã Bình Đức,Trường Tiểu học Bình Chánh,Khu dân cư Thanh Yến; ấp 5,c1binhchanh.tayninh@moet.edu.vn,0723871437,,Công lập,28,,,24,4,17,581,4,136,3,119,3,115,4,107,3,104
117,117,Xã Bình Đức,Trường Tiểu học Bình Nhựt,Ấp 1; xã Nhựt Chánh,,02723872553,Nguyễn Văn Hòa,Công lập,31,1,1,25,4,18,554,4,131,4,113,4,99,3,111,3,100
118,118,Xã Bình Đức,Trường Tiểu học Nguyễn Trung Trực,Ấp 5 Thạnh Đức; xã Bình Đức,c1nguyentrungtrucbl.longan@moet.edu.vn,02723872261,Phan Văn Ê,Công lập,25,1,1,22,1,16,409,4,80,3,81,3,90,3,86,3,72
119,119,Xã Bình Đức,Trường Tiểu học Thạnh Đức,Ấp 2 Thạnh Đức,c1thanhducbl.longan@moet.edu.vn,,Nguyễn Thụy Đoan Trang,Công lập,24,1,1,19,3,14,434,3,101,3,78,3,95,3,66,2,94
120,120,Xã Bình Đức,Trường Tiểu học và THCS Bình Đức,xã Bình Đức; Tỉnh Tây Ninh,c12binhducbl.longan@moet.edu.vn,02723634329,,Công lập,22,,1,20,1,14,178,3,32,3,31,3,39,2,37,3,39
121,121,Xã Bình Hiệp,Trường THamp;THCS Võ Văn Kiệt,Phường Kiến Tường; Tỉnh Tây Ninh,,,,Công lập,16,,1,15,,8,373,1,81,1,66,2,78,2,70,2,78
122,122,Xã Bình Hiệp,Trường Tiểu học Đặng Thị Mành,Ấp Ông Nhan Tây; xã Bình Hiệp; tỉnh Tây Ninh,c1dangthimanh.kt.longan@moet.edu.vn,02723951892,Nguyễn Hoàng Minh Trí,Công lập,28,1,1,25,1,15,310,3,50,3,52,3,60,3,70,3,78
123,123,Xã Bình Hiệp,Trường Tiểu học và THCS Bình Hòa Tây,Ấp Gò Dồ; Xã Bình Hòa Tây; Huyện Mộc Hóa; Tỉnh Long An,c12binhhoataymh.longan@moet.edu.vn,,,Công lập,31,,2,28,1,15,203,3,42,3,35,3,37,3,49,3,40
124,124,Xã Bình Hiệp,Trường Tiểu học và THCS Trần Văn Giàu,Xã Bình Hiệp; Tỉnh Tây Ninh,c12tranvangiaukt.longan@moet.edu.vn,0392775738,,Công lập,17,,1,15,1,8,343,2,79,1,63,1,70,2,57,2,74
125,125,Xã Bình Hòa,Trường Tiểu học và THCS Bình Hòa Đông,Long An,c12binhhoadongmh.longan@moet.edu.vn,,Nguyễn Thanh Lâm,Công lập,18,,1,16,1,11,176,3,34,2,32,2,41,2,39,2,30
126,126,Xã Bình Hòa,Trường Tiểu học và THCS Bình Hòa Trung,ấp Bình Nam; xã Bình Hòa Trung,,02723380348,Trần Thanh Hiền,Công lập,17,,,14,3,7,177,1,43,1,28,2,34,2,30,1,42
127,127,Xã Bình Hòa,Trường Tiểu học và THCS Bình Thạnh,Ấp Gò Dồ Nhỏ; xã Bình Hòa,c12binhthanhmh.longan@moet.edu.vn,,,Công lập,16,,1,14,1,7,104,2,22,1,18,1,22,1,19,2,23
128,128,Xã Bình Thành,Trường Tiểu học Bình Hòa Hưng,Ấp Mướp Xanh; xã Bình Thành; tỉnh Tây Ninh,,02723787045,Nguyễn Văn Bay,Công lập,9,1,,8,,5,369,1,76,1,87,1,69,1,61,1,76
129,129,Xã Bình Thành,Trường Tiểu học Tân Hiệp,Ấp Thuận Hiệp - xã Bình Thành - tỉnh Tây Ninh,,,Trần Thị Thu Huyên,Công lập,35,1,2,30,2,18,216,4,44,4,32,4,50,3,43,3,47
130,130,Xã Bình Thành,Trường Tiểu học Thuận Bình,Ấp Đồn A - Xã Bình Thành - Tây Ninh,c1thuanbinhth.longan@moet.edu.vn,,Lê Hữu Kiên Ngọc,Công lập,25,1,1,22,1,14,559,4,139,2,89,4,135,2,109,2,87
131,131,Xã Cần Đước,Trường Tiểu học Cần Đước,Khu 5 Thị trấn Cần Đước;Cần Đước;Long An.,c1ttcanduoc.longan@.moet.edu.vn,02723881318,Phan Văn Tâm,Công lập,31,1,1,25,4,18,590,4,121,3,111,4,113,4,111,3,134
132,132,Xã Cần Đước,Trường Tiểu học Hồ Văn Huê,Ấp 4,c1hovanhuecd.longan@moet.edu.vn,,Phạm Như An,Công lập,37,1,1,31,4,20,426,4,88,4,87,4,88,4,74,4,89
133,133,Xã Cần Đước,Trường Tiểu học Phước Tuy,Âp 22; xã Cần Đước,c1phuoctuycd.longan@moet.edu.vn,02723881098,Hoàng Ngọc Linh,Công lập,25,1,1,21,2,15,395,3,78,3,73,3,83,3,84,3,77
134,134,Xã Cần Đước,Trường Tiểu học Tân Ân,Ấp 13; xã Cần Đước; tỉnh Tây Ninh,c1tanancd.tayninh@moet.edu.vn,02723881457,Ngô Thái Hoàng,Công lập,25,1,1,20,3,14,752,3,149,2,138,3,173,3,145,3,147
135,135,Xã Cần Đước,Trường Tiểu học Tân Chánh,Ấp Đông Trung;xã Tân Chánh;Cần Đước;Long An,,02723881081,Võ Duy Khánh,Công lập,41,1,1,35,4,25,932,5,204,4,195,6,198,5,169,5,166
136,136,Xã Cần Giuộc,Trường Tiểu học Long Hậu,Ấp 4; Xã Cần Giuộc;tỉnh Tây Ninh,c1longhaucg.longan@moet.edu.vn,02723731466,Nguyễn Văn Tiên,Công lập,34,1,1,31,1,28,977,6,214,6,187,6,197,5,188,5,191
137,137,Xã Cần Giuộc,Trường Tiểu học Nguyễn Thái Bình,Số 650; QL 50; ấp 1; xã Cần Giuộc,,02723874143,Nguyễn Thị Huỳnh Thơ,Công lập,41,1,1,36,3,28,688,6,152,5,133,6,140,6,144,5,119
138,138,Xã Cần Giuộc,Trường Tiểu học Phước Lại,Ấp Tân Thanh A; xã Phước Lại,c1phuoclaicg.longan@moet.edu.vn,02723731460,Nguyễn Thành Công,Công lập,31,1,2,23,5,20,,5,339,4,307,4,320,4,283,3,274
139,139,Xã Cần Giuộc,Trường Tiểu học Tân Kim,ấp Long Phú; xã Cần Giuộc; tỉnh Tây Ninh,c1tankimcg.longan@moet.edu.vn,0945874348,Nguyễn Hoàng Thụy,Công lập,63,1,2,53,7,42,,9,221,8,281,9,239,8,260,8,216
140,140,Xã Cần Giuộc,Trường Tiểu học Thị trấn Cần Giuộc,Số 10; đường Trương Văn Bang; Ấp 3; Xã Cần Giuộc; tỉnh Tây Ninh,c1ttcangiuoccg.longan@moet.edu.vn,02723893915,Nguyễn Thành Nhựt,Công lập,43,1,2,38,2,33,442,7,94,7,93,7,79,6,82,6,94
141,141,Xã Cần Giuộc,Trường Tiểu học Trần Chí Nam,Tỉnh lộ 835 Ấp Lũy; xã Cần Giuộc; tỉnh Tây Ninh,c1tranchinamcg.longan@moet.edu.vn,02723968808,Trần Phước Sanh,Công lập,16,1,1,13,1,13,664,3,159,3,117,2,115,2,146,3,127
142,142,Xã Cầu Khởi,Trường Tiểu học Cầu Khởi A,Xã Cầu Khởi; Tỉnh Tây Ninh,c1caukhoiadmc.tayninh@moet.edu.vn,0276373853,Nguyễn Văn Kiệt,Công lập,41,1,1,32,7,22,310,5,54,4,69,4,64,5,62,4,61
143,143,Xã Cầu Khởi,Trường Tiểu học Cầu Khởi B,Ấp Khởi Trung,c1caukhoibdmc.tayninh@moet.edu.vn,02763773860,Hồ Huy Hoàng,Công lập,23,1,1,19,2,12,745,2,131,3,148,3,164,2,134,2,168
144,144,Xã Cầu Khởi,Trường Tiểu học Phước Ninh,Dương Minh Châu,,02763877563,Phan Thị Thu Thúy,Công lập,47,1,2,38,6,28,328,6,68,5,63,6,60,5,67,6,70
145,145,Xã Châu Thành,Trường Tiểu học Đỗ Tấn Nhiên,xã Châu Thành; tỉnh Tây Ninh,dotannhien999@gmail.com,02763794701,Nguyễn Thành Tuyển,Công lập,28,1,1,22,4,13,155,3,31,3,25,2,35,2,42,3,22
146,146,Xã Châu Thành,Trường Tiểu học Hai Bà Trưng,Xã Châu Thành; Tỉnh Tây Ninh,th.hbt.18072025@gmail.com,02763717463,Nguyễn Thu Hà,Công lập,17,1,,13,3,6,505,1,99,1,85,1,81,2,111,1,129
147,147,Xã Châu Thành,Trường Tiểu học Hoàng Lê Kha,Xã Châu Thành; Tỉnh Tây Ninh,,,Trần Văn Hoài,Công lập,35,1,1,29,4,18,458,4,127,3,84,3,75,4,75,4,97
148,148,Xã Châu Thành,Trường Tiểu học Lê Quý Đôn,,ththitranchauthanhb@gmiail.com,02763780009,Nguyễn Thị Minh Nguyệt,Công lập,31,1,1,24,5,15,291,4,59,3,35,3,74,2,52,3,71
149,149,Xã Châu Thành,Trường Tiểu học Lê Thánh Tông,xã Châu Thành; tỉnh Tây Ninh,lethanhtongth@gmail.com,,,Công lập,24,,1,20,3,13,236,3,41,2,42,3,46,2,52,3,55
150,150,Xã Châu Thành,Trường Tiểu học Tua Hai,Châu Thành,,,,Công lập,22,,1,17,4,10,966,2,211,2,165,2,202,2,194,2,194
151,151,Xã Châu Thành,Trường Tiểu học Võ Thị Sáu,Xã Châu Thành; Tỉnh Tây Ninh,thitranchauthanha2019@gmail.com,0909875859,Nguyễn Thị Thanh Thủy,Công lập,54,1,2,46,5,30,497,6,94,6,85,6,106,6,111,6,101
152,152,Xã Đông Thành,Trường Tiểu học Lê Văn Rỉ,Ấp Mỹ Thạnh Đông; Xã Đông Thành; Tỉnh Tây Ninh,c1levanridh.longan@moet.edu.vn,02723854487,Nguyễn Thị Thu Ơi,Công lập,26,1,1,23,1,17,566,3,100,3,100,4,120,4,114,3,132
153,153,Xã Đông Thành,Trường Tiểu học Mỹ Thạnh Tây,Ấp Voi ; xã Đông Thành; tỉnh Tây Ninh,c1mythanhtaydh.longan@moet.edu.vn,02723786071,PHAN VĂN NHẶT,Công lập,36,1,2,30,3,20,753,4,150,4,168,4,129,4,148,4,158
154,154,Xã Đông Thành,Trường Tiểu học Nguyễn Văn Thể,Ấp Thành Nam; xã Đông Thành; tỉnh Tây Ninh,,02723854143,Lương Văn Kho,Công lập,40,1,2,33,4,22,,5,232,5,207,4,228,4,200,4,166
155,155,Xã Đức Hòa,Trường Tiểu học Bình Hữu,Khu vực 5; xã Đức Hòa,,02723850015,Trần Văn Thuận,Công lập,41,1,2,38,,29,,6,362,6,332,6,278,6,276,5,259
156,156,Xã Đức Hòa,Trường Tiểu học Đức Hòa Hạ,,duchoaha@gmail.com,,Nguyễn Ngọc Đoàn,Công lập,39,1,1,37,,36,901,8,201,8,152,7,189,7,186,6,173
157,157,Xã Đức Hòa,Trường Tiểu học Hựu Thạnh,Ấp 2; xã Hựu Thạnh,,02723850266,Nguyễn Thụy Ngọc Lành,Công lập,24,1,1,21,1,23,,5,654,4,568,5,612,5,610,4,355
158,158,Xã Đức Hòa,Trường Tiểu học Nguyễn Văn Phú,Ấp Bình Tiền 2-xã Đức Hòa-tỉnh Tây Ninh,,02723850331,Phạm Ngọc Du,Công lập,64,1,1,60,2,65,526,15,87,14,97,14,129,14,105,8,108
159,159,Xã Đức Hòa,Trường Tiểu học và THCS Tư Thục Tân Tạo,,,,,Tư thục,24,,,24,,20,,3,317,4,279,5,291,4,291,4,256
160,160,Xã Đức Hòa,Trường Tiểu học Võ Văn Ngân,Khu phố 4; xã Đức Hòa; tỉnh Tây Ninh,c1vovanngandh.longan@moet.edu.vn,02723850375,Nguyễn Thị Xuân Hòa,Công lập,51,1,1,46,3,35,426,8,82,7,77,7,87,7,84,6,96
161,161,Xã Đức Huệ,Trường Tiểu học Bình Hòa Bắc,Ấp Chánh,c1binhhoabacdh.longan@moet.edu.vn,02723854374,Nguyễn Phương Thanh,Công lập,30,1,1,25,3,15,638,3,137,3,126,3,109,3,132,3,134
162,162,Xã Đức Huệ,Trường Tiểu học Bình Hòa Nam,Ấp 2; xã Bình Hòa Nam huyện Đức Huệ; tỉnh Long An,,0982553737,NGUYỄN VĂN SÁCH,Công lập,36,1,2,30,3,20,451,4,89,4,85,4,92,4,92,4,93
163,163,Xã Đức Huệ,Trường Tiểu học và THCS Bình Thành,Ấp Giồng Ông Bạn - Đức Huệ - Tây Ninh,c1binhthanhdh.longan@moet.edu.vn,0396852128,Đỗ Ngọc Ngân Hà,Công lập,26,,1,25,,17,,3,277,3,230,4,233,4,218,3,198
164,164,Xã Đức Lập,Trường Tiểu học Nguyễn Văn Đẹp,Ấp Chánh; xã Đức Lập,,02723852166,Trương Văn Phước,Công lập,40,1,1,35,3,31,,7,437,6,434,6,416,6,390,6,346
165,165,Xã Đức Lập,Trường Tiểu học Nguyễn Văn Quá,Ấp Tràm Lạc; xã Mỹ Hạnh Bắc,c1nguyenvanquadh.longan@moet.edu,02723849014,Lâm Văn Cảnh,Công lập,62,1,1,59,1,46,982,10,197,10,199,9,206,9,191,8,189
166,166,Xã Dương Minh Châu,Trường Tiểu học Ngô Văn Rạnh,xã Dương Minh Châu; Tỉnh Tây Ninh,c1thitranadmc.tayninh@moet.edu.vn,02763877626,Phạm Thị Mai,Công lập,56,1,2,48,5,30,631,6,133,6,111,6,119,6,164,6,104
167,167,Xã Dương Minh Châu,Trường Tiểu học Suối Đá A,Dương Minh Châu Tây Ninh,,02763877358,Đặng Thị Xuân,Công lập,46,1,1,37,7,25,232,5,51,5,35,5,45,5,54,5,47
168,168,Xã Dương Minh Châu,Trường Tiểu học Suối Đá B,Dương Minh Châu,c1phuocbinhadmc.tayninh@moet.edu.vn,02763721693,Trần Thị Ngọc Điệp,Công lập,23,1,1,16,5,10,465,2,86,2,92,2,96,2,101,2,90
169,169,Xã Dương Minh Châu,Trường Tiểu học và THCS  Phan,Âp Phước Tân 2; xã Dương Minh Châu; tỉnh Tây Ninh,c1phuoctandmc.tayninh@moet.edu.vn,02763877596,,Công lập,25,,1,24,,15,456,3,74,3,83,3,103,3,105,3,91
170,170,Xã Hảo Đước,Trường Tiểu học Nguyễn Bá Ngọc,Xã Hảo Đước; Tỉnh Tây Ninh,thnbn2025@gmail.com,0977203304,Nguyễn Thị Thu Hà,Công lập,28,1,1,22,4,14,274,2,73,3,44,3,55,3,49,3,53
171,171,Xã Hảo Đước,Trường Tiểu học Nguyễn Đình Chiểu,Ấp Bình Lợi,,02763782515,,Công lập,20,,1,16,3,10,291,2,55,2,62,2,58,2,66,2,50
172,172,Xã Hảo Đước,Trường Tiểu học Nguyễn Khuyến,Ấp Bàu Sen- xã Hảo Đước- tỉnh Tây Ninh,lethihang169haoduoc@gmail.com,02763878553,Lê Thị Hằng,Công lập,26,1,1,22,2,13,280,2,49,3,51,3,55,3,55,2,70
173,173,Xã Hảo Đước,Trường Tiểu học Nguyễn Văn Trỗi,Châu Thành,thnguyenvantroi205@gmail.com,02763782435,Lê Chí Cường,Công lập,20,1,,16,3,10,200,2,36,2,44,2,41,2,46,2,33
174,174,Xã Hảo Đước,Trường Tiểu Học Phạm Tự Điểm,Xã Hảo Đước; Tỉnh Tây Ninh,hoangyenbensoi@gmail.com,0943091857,,Công lập,16,,1,12,3,7,,1,364,2,326,1,324,2,323,1,335
175,175,Xã Hậu Nghĩa,Trường Tiểu học Châu Văn Liêm,Huyện Đức Hòa,,02723851499,Võ Thị Thanh Tâm,Công lập,65,1,2,59,3,45,496,9,107,9,84,9,103,9,98,9,104
176,176,Xã Hậu Nghĩa,Trường Tiểu học Đức Lập Thượng B,Ấp Tân Hội; xã Đức Lập Thượng,c1duclapthuongbdh.longan@moet.edu.vn,02723852729,Hồ Thị Thuỷ,Công lập,23,1,,21,1,15,759,3,147,3,164,3,158,3,129,3,161
177,177,Xã Hậu Nghĩa,Trường Tiểu học Lê Minh Xuân,Ấp Chánh Hội; xã Hậu Nghĩa,c1leminhxuandh.longan@moet.edu.vn,02723755017,Nguyễn Đức Toàn,Công lập,36,1,1,32,2,24,720,5,141,5,137,5,128,4,156,5,158
178,178,Xã Hậu Nghĩa,Trường Tiểu học Mai Văn Tựu,Ấp Chánh; xã Đức Lập Thượng; huyện Đức Hòa; tỉnh Long An,,02723851813,Nguyễn Chí Thanh,Công lập,32,1,1,29,1,21,393,4,82,4,88,4,72,4,74,5,77
179,179,Xã Hậu Nghĩa,Trường Tiểu học Sò Đo,Ấp Sò Đo; xã Hậu Nghĩa; tỉnh Tây Ninh,c1sododh.longan@moet.edu.vn,02723851375,Nguyễn Hiếu Thuận,Công lập,21,1,1,18,1,13,291,3,58,3,54,2,51,2,67,3,61
180,180,Xã Hậu Nghĩa,Trường Tiểu học và THCS Lê Minh Xuân,Ấp Chánh Hội xã Tân Mỹ huyện Đức Hòa Tỉnh Long An,c12leminhxuandh.longan@moet.edu.vn,02723755611,,Công lập,11,,1,10,,10,278,2,42,2,44,2,53,2,64,2,75
181,181,Xã Hậu Thạnh,Trường Tiểu học Bắc Hòa,Ấp Nhơn Hòa; xã Bắc Hòa,c1bachoatt.longan@moet.edu.vn,02723846096,,Công lập,25,1,1,20,3,11,579,2,123,2,114,2,112,2,115,3,115
182,182,Xã Hậu Thạnh,Trường Tiểu học Hậu Thạnh Đông,Ấp Nguyễn Rớt ; xã Hậu Thạnh; Tỉnh Tây Ninh,,02723846138,Hồ Thị Thuỳ Linh,Công lập,38,1,1,31,5,20,406,4,78,4,64,4,93,4,85,4,86
183,183,Xã Hậu Thạnh,Trường Tiểu học Hậu Thạnh Tây,Ấp Ngọc Ân; xã Hậu Thạnh tỉnh Tây Ninh,,02723846972,Trần Quang Nữ,Công lập,29,1,1,25,2,15,651,3,122,2,127,3,144,3,126,4,132
184,184,Xã Hiệp Hòa,Trường Tiểu học Hiệp Hòa,Ấp 4; thị trấn Hiệp Hòa,,02723854096,Nguyễn Thành Văn,Công lập,30,1,1,26,2,20,599,4,115,4,114,4,143,4,115,4,112
185,185,Xã Hiệp Hòa,Trường Tiểu học Tân Phú,Ấp Chánh; xã Tân Phú,c1tanphudh.longan@moet.edu.vn,02723851508,Mai Phước Tài,Công lập,25,1,1,21,2,19,519,4,101,4,92,4,102,4,122,3,102
186,186,Xã Hiệp Hòa,Trường Tiểu học Trương Công Xưởng,Ấp Hòa Bình 1; xã Hiệp Hòa,c1truongcongxuongdh.longan@moet.edu.vn,02723854533,Huỳnh Thị Mỹ Quốc,Công lập,26,1,1,22,2,15,380,3,69,3,73,3,93,3,87,3,58
187,187,Xã Hòa Hội,Trường Tiểu học Phạm Văn Nô,Ấp Hiệp Phước,,,Nguyễn Phùng Bảo Trường,Công lập,28,1,1,23,3,14,378,3,74,3,69,3,83,3,72,2,80
188,188,Xã Hòa Hội,Trường Tiểu học Trần Văn Ơn,Châu Thành,,,Nguyễn Văn Du,Công lập,29,1,1,23,4,15,183,3,35,3,35,3,41,3,40,3,32
189,189,Xã Hòa Hội,Trường Tiểu học Trương Quyền,Châu Thành,trangtruongquyen2025@gmail.com,02763783934,,Công lập,26,1,,22,3,14,975,2,205,3,198,3,190,3,186,3,196
190,190,Xã Hòa Khánh,Trường Tiểu học Hòa Khánh Đông,Ấp Thôi Môi; xã Hòa Khánh,,,Đỗ Uy Vũ,Công lập,41,1,2,37,1,28,419,6,89,6,84,6,78,5,88,5,80
191,191,Xã Hòa Khánh,Trường Tiểu học Hòa Khánh Tây,Ấp Tân Bình; xã Hòa Khánh; tỉnh Tây Ninh,c1hoakhanhtaydh.longan@moet.edu.vn,,Nguyễn Hoàng Trọng,Công lập,18,1,1,14,2,13,999,3,199,3,162,2,208,3,203,2,227
192,192,Xã Hòa Khánh,Trường Tiểu học Thi Văn Tám,Ấp Thuận Hòa 2; xã Hòa Khánh; tỉnh Tây Ninh,c1thivantamdh.longan@moet.edu.vn,0986504738,Nguyễn Trung Quốc,Công lập,40,1,2,34,3,29,393,6,81,5,75,6,78,6,77,6,82
193,193,Xã Hưng Điền,Trường Tiểu học Hưng Điền,Ấp Cây Me - Xã Hưng Điền - Tỉnh Tây Ninh,tieuhochungdien@gmail.com,02723860074,Nguyễn Thị Kim Kiều,Công lập,24,1,1,19,3,12,551,3,130,2,113,2,106,2,112,3,90
194,194,Xã Hưng Điền,Trường Tiểu học Hưng Điền B,Ấp Kinh Mới - Hưng Điền - Tây Ninh,,02723860019,Võ Hoàng Long,Công lập,34,1,1,28,4,18,286,4,66,4,42,3,73,4,60,3,45
195,195,Xã Hưng Điền,Trường Tiểu học Hưng Hà,Ấp Hà Long - Hưng Hà - Tân Hưng - Long An,c1hunghath.longan@moet.edu.vn,02726293277,Nguyễn Thị Phượng,Công lập,25,1,1,19,4,12,364,3,89,2,67,3,70,2,73,2,65
196,196,Xã Hưng Thuận,Trường Tiểu học Bời Lời 1,trảng bàng tây ninh,,,Nguyễn Văn Quẹt,Công lập,22,1,1,17,3,13,306,3,72,3,65,3,56,2,57,2,56
197,197,Xã Hưng Thuận,Trường Tiểu học Bời Lời 2,Tây Ninh,,,Phạm Văn Cường,Công lập,19,1,1,13,4,10,791,2,173,2,146,2,150,2,172,2,150
198,198,Xã Hưng Thuận,Trường Tiểu học Đặng Thị Hiệt,Cầu Xe; Hưng Thuận; Trảng Bàng; Xã Hưng Thuận; Tỉnh Tây Ninh,c1dangthihiet.trangbang@gmail.com,,Nguyễn Thị Hồng Nga,Công lập,41,1,1,33,6,25,642,5,134,5,110,5,129,5,138,5,131
199,199,Xã Khánh Hưng,Trường Tiểu học Khánh Hưng,Ấp Gò Châu Mai- Khánh Hưng- Vĩnh Hưng-Long An,,02723978835,Huỳnh Minh Nghĩa,Công lập,39,1,2,34,2,22,254,5,44,4,52,5,56,4,45,4,57
200,200,Xã Khánh Hưng,Trường Tiểu học và THCS Hưng Điền A,Ấp 3 - Xã Khánh Hưng- Tỉnh Tây Ninh,c2hungdienavh.longan@moet.edu.vn,,,Công lập,21,,1,19,1,11,297,2,60,2,61,3,48,2,62,2,66
201,201,Xã Khánh Hưng,Trường Tiểu học và THCS Thái Trị,Ấp Thái Quang - Xã Khánh Hưng - Tỉnh Tây Ninh,c12thaitrivh.longan@moet.edu.vn,02723973411,Trương Đình Lộc,Công lập,26,,1,24,1,14,703,3,154,3,146,2,122,3,144,3,137
202,202,Xã Lộc Ninh,Trường Tiểu học Lộc Ninh,Xã Lộc Ninh; Huyện Dương Minh Châu; Tây Ninh,c1locninhdmc@gmail.com,,Lê Văn Thóc,Công lập,41,1,1,34,5,22,697,5,155,5,138,4,147,4,140,4,117
203,203,Xã Lộc Ninh,Trường Tiểu học Phước Minh A,Ấp B2;; Phước Minh; Dương Minh Châu; Xã Lộc Ninh; Tỉnh Tây Ninh,,,Trần Minh Vương,Công lập,35,1,1,29,4,20,190,5,48,4,35,4,33,4,41,3,33
204,204,Xã Lộc Ninh,Trường Tiểu học Phước Minh B,Ấp B2; Xã Lộc Ninh; tỉnh Tây Ninh,C1phuocminhbdmc.tayninh@moet.edu.vn,02763775560,Lê Thị Hoa,Công lập,23,1,1,18,3,11,258,3,55,2,44,2,54,2,46,2,59
205,205,Xã Lộc Ninh,Trường Tiểu học và THCS Bến Củi,Xã Lộc Ninh; Tỉnh Tây Ninh,c2bencuidmc.tayninh@moet.edu.vn,0916408676,,Công lập,21,,,18,3,13,768,2,170,2,151,3,145,3,155,3,147
206,206,Xã Long Cang,Trường Tiểu học Long Cang,Ấp 1; xã Long Cang,c1longcangcd.longan@moet.edu.vn,02723883344,Bùi Thanh Dũng,Công lập,40,1,1,35,3,23,702,5,149,5,140,4,122,5,140,4,151
207,207,Xã Long Cang,Trường Tiểu học Long Định,Ấp 5; Xã Long Cang; tỉnh Tây Ninh,c1longdinhcd.longan@moet.edu.vn,02723871687,Trần Văn Tổng,Công lập,39,1,1,31,6,21,792,4,178,4,140,4,149,4,145,5,180
208,208,Xã Long Cang,Trường Tiểu học Phước Vân,Ấp 11; xã Long Cang; tỉnh Tây Ninh,,02723883350,Nguyễn Chí Hiếu,Công lập,40,1,1,33,5,25,185,6,49,5,32,5,25,4,34,5,45
209,209,Xã Long Chữ,Trường Tiểu học Giồng Nần,Long Chữ,,0946066078,Nguyễn Thị Thu Hiền,Công lập,18,1,1,13,3,7,376,2,85,1,69,1,73,1,79,2,70
210,210,Xã Long Chữ,Trường Tiểu học Hùng Vương,Ấp Long Châu; Xã Long Chữ; Tây Ninh,thlongvinhct@gmail.com,02763781828,Nguyễn Đức Duy,Công lập,22,1,,19,2,11,373,3,63,2,69,2,83,2,82,2,76
211,211,Xã Long Chữ,Trường Tiểu học Long Chữ,Ấp Long Hòa; xã Long Chữ; tỉnh Tây Ninh,c1longchuabc.tayninh@moet.edu.vn,,Võ Văn Cở,Công lập,37,1,1,30,5,15,168,3,28,3,39,3,36,3,37,3,28
