_id,So TT,"Ten hang hoa, dich vu",Gia kham chua benh theo yeu cau (DVT: dong)
338,338,"Nắn, bó bột gãy xương cẳng tay (bột tự cán)",400000
339,339,"Nắn, bó bột trật khớp háng bẩm sinh (bột liền)",1293000
340,340,"Nắn, bó bột trật khớp háng bẩm sinh (bột tự cán)",610000
341,341,"Nắn, bó bột xương cẳng chân (bột liền)",724000
342,342,"Nắn, bó bột xương cẳng chân (bột tự cán)",507000
343,343,"Nắn, bó bột xương cánh tay (bột liền)",724000
344,344,"Nắn, bó bột xương cánh tay (bột tự cán)",507000
345,345,"Nắn, bó bột xương đùi hoặc chậu hoặc cột sống (bột liền)",1154000
346,346,"Nắn, bó bột xương đùi hoặc chậu hoặc cột sống (bột tự cán)",612000
347,347,"Nắn, bó gẫy xương đòn",201000
348,348,"Nắn, bó gẫy xương gót",350000
349,349,"Nắn, bó vỡ xương bánh chè không có chỉ định mổ",350000
350,350,Phẫu thuật cắt cụt chi,6350000
351,351,Phẫu thuật làm vận động khớp gối,8368000
352,352,Phẫu thuật nội soi khớp gối hoặc khớp háng hoặc khớp vai hoặc cổ chân,9193000
353,353,Phẫu thuật nội soi tái tạo dây chằng,10710000
354,354,Phẫu thuật thay khớp háng bán phần,9956000
355,355,Phẫu thuật thay toàn bộ khớp gối,12064000
356,356,Phẫu thuật thay toàn bộ khớp háng,12064000
357,357,Phẫu thuật làm cứng khớp,7568000
358,358,Phẫu thuật điều trị xơ cứng gân cơ hoặc xơ cứng khớp,7447000
359,359,Phẫu thuật gỡ dính khớp hoặc làm sạch khớp,6448000
360,360,Phẫu thuật ghép xương,8241000
361,361,Phẫu thuật kết hợp xương bằng nẹp vít,8474000
362,362,Phẫu thuật kết hợp xương trên màn hình tăng sáng,9825000
363,363,Phẫu thuật lấy bỏ u xương,6560000
364,364,Phẫu thuật nối gân hoặc kéo dài gân (tính 1 gân ),6444000
365,365,Phẫu thuật nội soi tái tạo gân,7351000
366,366,Rút đinh hoặc tháo phương tiện kết hợp xương,4575000
367,367,Phẫu thuật nẹp vít cột sống thắt lưng,11851000
368,368,Phẫu thuật thoát vị đĩa đệm cột sống thắt lưng,8838000
369,369,"Phẫu thuật cắt lọc nạo viêm phần mềm hoặc sửa mỏm cụt ngón tay, chân hoặc cắt cụt ngón tay, chân (tính 1 ngón)",5252000
370,370,Phẫu thuật nối dây thần kinh (tính 1 dây),5630000
371,371,Phẫu thuật tạo hình bằng các vạt da có cuống mạch liền,7315000
372,372,Phẫu thuật vá da lớn diện tích ≥10 cm2,9118000
373,373,Phẫu thuật vá da nhỏ diện tích < 10 cm2,6257000
374,374,Phẫu thuật vi phẫu chuyển vạt da có cuống mạch,11588000
375,375,Tạo hình khí-phế quản,20983000
376,376,Chuyên khoa ngoại: Phẫu thuật loại đặc biệt,14243000
377,377,Chuyên khoa ngoại: Phẫu thuật loại I,8508000
378,378,Chuyên khoa ngoại: Phẫu thuật loại II,6075000
379,379,Chuyên khoa ngoại: Phẫu thuật loại III,3802000
380,380,Chuyên khoa ngoại: Thủ thuật loại đặc biệt,1786000
381,381,Chuyên khoa ngoại: Thủ thuật loại I,1418000
382,382,Chuyên khoa ngoại: Thủ thuật loại II,1050000
383,383,Chuyên khoa ngoại: Thủ thuật loại III,459000
384,384,Bóc nang tuyến Bartholin,3084000
385,385,Bóc nhân xơ vú,3562000
386,386,Cắt chỉ khâu vòng cổ tử cung,235000
387,387,Cắt cổ tử cung trên bệnh nhân đã mổ cắt tử cung bán phần,7344000
388,388,Cắt cổ tử cung trên bệnh nhân đã mổ cắt tử cung bán phần đường âm đạo kết hợp nội soi,9550000
389,389,Cắt u thành âm đạo,4371000
390,390,Chích áp xe tầng sinh môn,2222000
391,391,Chích áp xe tuyến Bartholin,1573000
392,392,Chích apxe tuyến vú,1224000
393,393,Chích rạch màng trinh do ứ máu kinh,1743000
394,394,Chọc dẫn lưu dịch cổ chướng trong ung thư buồng trứng,1853000
395,395,Chọc dò màng bụng sơ sinh,844000
396,396,Chọc dò túi cùng Douglas,610000
397,397,Chọc nang buồng trứng đường âm đạo dưới siêu âm,3603000
398,398,Chọc ối,1692000
399,399,Dẫn lưu cùng đồ Douglas,1806000
400,400,Đỡ đẻ ngôi ngược,2885000
401,401,Đỡ đẻ thường ngôi chỏm,2240000
402,402,Đỡ đẻ từ sinh đôi trở lên,3894000
403,403,Đóng rò trực tràng - âm đạo hoặc rò tiết niệu - sinh dục,8720000
404,404,Forceps hoặc Giác hút sản khoa,2806000
405,405,Giảm đau trong đẻ bằng phương pháp gây tê ngoài màng cứng,1998000
406,406,Hút buồng tử cung do rong kinh rong huyết,703000
407,407,Hút thai dưới siêu âm,1071000
408,408,Huỷ thai: cắt thai nhi trong ngôi ngang,4710000
409,409,"Huỷ thai: chọc óc, kẹp sọ, kéo thai",3974000
410,410,"Khâu phục hồi rách cổ tử cung, âm đạo",2639000
411,411,Khâu rách cùng đồ âm đạo,4149000
412,412,Khâu tử cung do nạo thủng,7520000
413,413,Khâu vòng cổ tử cung,1134000
414,414,Khoét chóp hoặc cắt cụt cổ tử cung,4868000
415,415,"Làm lại vết mổ thành bụng (bục, tụ máu, nhiễm khuẩn...) sau phẫu thuật sản phụ khoa",6642000
416,416,Làm thuốc vết khâu tầng sinh môn nhiễm khuẩn,152300
417,417,Lấy dị vật âm đạo,1333000
418,418,"Lấy dụng cụ tử cung, triệt sản nữ qua đường rạch nhỏ",5189000
419,419,"Lấy khối máu tụ âm đạo, tầng sinh môn",4866000
420,420,Nạo hút thai trứng,1550000
421,421,"Nạo sót thai, nạo sót rau sau sẩy, sau đẻ",1119000
422,422,Nội soi buồng tử cung can thiệp,7404000
423,423,Nội soi buồng tử cung chẩn đoán,4837000
424,424,Nong cổ tử cung do bế sản dịch,818000
425,425,Phá thai bằng phương pháp nong và gắp từ tuần thứ 13 đến hết tuần thứ 18,2038000
426,426,Phá thai bằng thuốc cho tuổi thai từ 7 tuần đến hết 13 tuần,746000
427,427,Phá thai đến hết 7 tuần bằng phương pháp hút chân không,965000
428,428,Phá thai đến hết 7 tuần bằng thuốc,636000
429,429,Phá thai to từ 13 tuần đến 22 tuần bằng phương pháp đặt túi nước,2114000
430,430,Phá thai từ 13 tuần đến 22 tuần bằng thuốc,1783000
431,431,Phá thai từ tuần thứ 7 đến hết 12 tuần bằng phương pháp hút chân không,1220000
432,432,"Phẫu thuật bóc khối lạc nội mạc tử cung ở tầng sinh môn, thành bụng",5627000
433,433,Phẫu thuật cắt âm vật phì đại,4676000
434,434,"Phẫu thuật cắt lọc vết mổ, khâu lại tử cung sau mổ lấy thai",7677000
435,435,"Phẫu thuật cắt một phần tuyến vú, cắt u vú lành tính",5915000
436,436,"Phẫu thuật cắt polip buồng tử cung (đường bụng, đường âm đạo)",6701000
437,437,Phẫu thuật cắt polip cổ tử cung,3375000
438,438,Phẫu thuật cắt tinh hoàn lạc chỗ,4841000
439,439,Phẫu thuật cắt tử cung đường âm đạo,10889000
440,440,Phẫu thuật cắt tử cung đường âm đạo có sự hỗ trợ của nội soi,11661000
441,441,"Phẫu thuật cắt vách ngăn âm đạo, mở thông âm đạo",5602000
442,442,Phẫu thuật chửa ngoài tử cung thể huyết tụ thành nang,8188000
443,443,Phẫu thuật Crossen,7196000
444,444,"Phẫu thuật điều trị són tiểu (TOT, TVT)",10667000
445,445,Phẫu thuật khối viêm dính tiểu khung,8347000
446,446,Phẫu thuật làm lại tầng sinh môn và cơ vòng do rách phức tạp,7614000
447,447,Phẫu thuật lấy thai lần đầu,5604000
448,448,Phẫu thuật lấy thai lần thứ 2 trở lên,7636000
449,449,Phẫu thuật lấy thai trên người bệnh có sẹo mổ bụng cũ phức tạp,8225000
450,450,Phẫu thuật Lefort hoặc Labhart,4923000
451,451,Phẫu thuật Manchester,6694000
452,452,Phẫu thuật mở bụng bóc u xơ tử cung,7326000
453,453,Phẫu thuật mở bụng cắt góc tử cung,6431000
454,454,Phẫu thuật mở bụng cắt tử cung,11101000
455,455,Phẫu thuật mở bụng cắt u buồng trứng hoặc cắt phần phụ,8547000
456,456,"Phẫu thuật mở bụng tạo hình vòi trứng, nối lại vòi trứng",8322000
457,457,"Phẫu thuật mở bụng thăm dò, xử trí bệnh lý phụ khoa",4922000
458,458,"Phẫu thuật mở bụng xử trí viêm phúc mạc tiểu khung, viêm phần phụ, ứ mủ vòi trứng",11381000
459,459,Phẫu thuật nội soi bóc u xơ tử cung,14460000
460,460,Phẫu thuật nội soi buồng tử cung cắt nhân xơ; polip; tách dính; cắt vách ngăn; lấy dị vật,13517000
461,461,Phẫu thuật nội soi cắt phần phụ,12695000
462,462,Phẫu thuật nội soi cắt tử cung,14118000
463,463,Phẫu thuật nội soi khâu lỗ thủng tử cung,12725000
464,464,Phẫu thuật nội soi lấy dụng cụ tử cung trong ổ bụng,9541000
465,465,Phẫu thuật nội soi sa sinh dục nữ,18108000
466,466,Phẫu thuật nội soi treo buồng trứng,9569000
467,467,Phẫu thuật nội soi triệt sản nữ,8339000
468,468,Phẫu thuật tạo hình âm đạo do dị dạng (đường dưới),7111000
469,469,"Phẫu thuật tạo hình tử cung (Strassman, Jones)",8787000
470,470,"Sinh thiết cổ tử cung, âm hộ, âm đạo",766000
471,471,Sinh thiết gai rau,1959000
472,472,Soi cổ tử cung,130400
473,473,Soi ối,111400
474,474,"Vi phẫu thuật tạo hình vòi trứng, nối lại vòi trứng",13250000
475,475,"Xoắn hoặc cắt bỏ polype âm hộ, âm đạo, cổ tử cung",1162000
476,476,"Các phẫu thuật, thủ thuật còn lại khác",
477,477,Phụ sản: Phẫu thuật loại đặc biệt,7654000
478,478,Phụ sản: Phẫu thuật loại I,4704000
479,479,Phụ sản: Phẫu thuật loại II,3839000
480,480,Phụ sản: Phẫu thuật loại III,2282000
481,481,Phụ sản: Thủ thuật loại đặc biệt,1616000
482,482,Phụ sản: Thủ thuật loại I,1192000
483,483,Phụ sản: Thủ thuật loại II,873000
484,484,Phụ sản: Thủ thuật loại III,503000
485,485,Bơm rửa lệ đạo,80600
486,486,Cắt mống mắt chu biên bằng Laser,647000
487,487,Cắt u kết mạc không  vá,1552000
488,488,Chích chắp hoặc lẹo,224600
489,489,"Chọc tháo dịch dưới hắc mạc, bơm hơi tiền phòng",3279000
490,490,Đánh bờ mi,75600
491,491,Đo độ dày giác mạc; Đếm tế bào nội mô giác mạc; Chụp  bản đồ giác mạc,234000
492,492,Đo Javal,87100
493,493,Đo khúc xạ máy,64000
494,494,Đo nhãn áp,91100
495,495,Đo thị lực khách quan,163900
496,496,Đo tính công suất thủy tinh thể nhân tạo,149800
497,497,Khâu cò mi,1234000
498,498,Khâu củng  mạc đơn thuần,1676000
499,499,"Khâu da mi, kết mạc mi bị rách - gây tê",2011000
500,500,Khâu phục hồi bờ mi,2767000
501,501,"Khâu vết thương phần mềm, tổn thương  vùng mắt",2825000
502,502,"Lấy dị vật giác mạc nông, một mắt (gây tê)",225300
503,503,"Lấy dị vật giác mạc sâu, một mắt (gây tê)",682000
504,504,Lấy dị vật hốc mắt,2048000
505,505,Lấy dị vật kết mạc nông một mắt,137600
506,506,Lấy dị vật tiền phòng,2443000
507,507,Lấy sạn vôi kết mạc,174100
508,508,Mở bao sau bằng Laser,782000
509,509,Mổ quặm 2 mi  - gây tê,2371000
510,510,Mổ quặm 3 mi  - gây tê,3077000
511,511,Mổ quặm 4 mi  - gây tê,3699000
512,512,Mở tiền phòng rửa máu hoặc mủ,2212000
513,513,Mộng tái phát phức tạp có ghép màng ối kết mạc,2516000
514,514,Múc nội nhãn (có độn hoặc không độn),3027000
515,515,Nặn tuyến bờ mi,122100
516,516,Phẫu thuật cắt bè,2866000
517,517,"Phẫu thuật cắt mộng ghép màng ối, kết mạc - gây tê",3208000
518,518,Phẫu thuật cắt mống mắt chu biên,2238000
519,519,Phẫu thuật đục thuỷ tinh thể bằng phương pháp Phaco (01 mắt),5782000
520,520,"Phẫu thuật lấy thủy tinh thể ngoài bao, đặt IOL+ cắt bè (1 mắt)",4350000
521,521,"Các phẫu thuật, thủ thuật còn lại khác",
522,522,Mắt: Phẫu thuật loại đặc biệt,5428000
523,523,Mắt: Phẫu thuật loại I,3957000
524,524,Mắt: Phẫu thuật loại II,2121000
525,525,Mắt: Phẫu thuật loại III,1444000
526,526,Mắt: Thủ thuật loại đặc biệt,941000
527,527,Mắt: Thủ thuật loại I,586000
528,528,Mắt: Thủ thuật loại II,351000
529,529,Mắt: Thủ thuật loại III,194000
530,530,Bẻ cuốn mũi,395000
531,531,Cầm máu mũi bằng Merocell (1 bên),377000
532,532,Cầm máu mũi bằng Merocell (2 bên),486000
533,533,Cắt Amiđan (gây mê),3238000
534,534,Cắt Amiđan dùng Coblator (gây mê),5188000
535,535,Cắt bỏ đường rò luân nhĩ gây tê,2399000
536,536,Cắt dây thần kinh Vidien qua nội soi,13652000
537,537,Cắt polyp ống tai gây mê,3789000
538,538,Cắt polyp ống tai gây tê,1441000
539,539,Cắt thanh quản có tái tạo phát âm,11880000
540,540,Cắt u cuộn cảnh,14868000
541,541,Chích rạch apxe Amiđan (gây tê),870000
542,542,Chích rạch apxe thành sau họng (gây tê),870000
543,543,Chích rạch vành tai,220200
544,544,Chỉnh hình tai giữa có tái tạo chuỗi xương con,10837000
545,545,Chọc hút dịch vành tai,246200
546,546,Đặt stent điều trị sẹo hẹp thanh khí quản,12385000
547,547,Đo ABR (1 lần),291000
548,548,Đo nhĩ lượng,106600
549,549,Đo OAE (1 lần),168200
550,550,Đo phản xạ cơ bàn đạp,106600
551,551,Đo sức cản của mũi,183600
552,552,Đo sức nghe lời,100600
553,553,Đo thính lực đơn âm,127600
554,554,Đo trên ngưỡng,175200
555,555,Đốt Amidan áp lạnh,377000
556,556,Đốt họng bằng khí CO2 (Bằng áp lạnh),226000
557,557,Đốt họng bằng khí Nitơ lỏng,247000
558,558,Đốt họng hạt,268800
559,559,Ghép thanh khí quản đặt stent,10986000
560,560,Hút xoang dưới áp lực,156200
561,561,Khí dung,75600
562,562,Làm thuốc thanh quản hoặctai,39600
563,563,Lấy dị vật họng,202800
564,564,Lấy dị vật tai ngoài đơn giản,137700
565,565,Lấy dị vật tai ngoài dưới kính hiển vi (gây mê),1841000
566,566,Lấy dị vật tai ngoài dưới kính hiển vi (gây tê),322000
567,567,Lấy di vật thanh quản gây mê ống cứng,1363000
568,568,Lấy dị vật thanh quản gây tê ống cứng,793000
569,569,Lấy dị vật trong mũi có gây mê,2833000
570,570,Lấy dị vật trong mũi không gây mê,405000
571,571,Lấy nút biểu bì ống tai,137700
572,572,Mổ cắt bỏ u bã đậu vùng đầu mặt cổ gây mê,3917000
573,573,Mổ cắt bỏ u bã đậu vùng đầu mặt cổ gây tê,2267000
574,574,Mở sào bào - thượng nhĩ,7593000
575,575,Nâng xương chính mũi sau chấn thương gây mê,4844000
576,576,Nâng xương chính mũi sau chấn thương gây tê,2240000
577,577,Nạo VA gây mê,3332000
578,578,Nạo vét hạch cổ chọn lọc,10908000
579,579,Nhét meche hoặcbấc mũi,340000
580,580,Nối khí quản tận-tận trong điều trị sẹo hẹp,13486000
581,581,Nội soi cắt polype mũi gây mê,3594000
582,582,Nội soi cắt polype mũi gây tê,2641000
583,583,Nội soi chọc rửa xoang hàm (gây tê),814000
584,584,Nội soi chọc thông xoang trán hoặc xoang bướm (gây tê),504000
585,585,Nội soi đốt điện cuốn mũi hoặc cắt cuốn mũi gây tê,1383000
586,586,Nội soi đốt điện cuốn mũi hoặc cắt cuốn mũi gây mê,3154000
587,587,Nội soi đường hô hấp và tiêu hóa trên,3702000
588,588,Nội soi lấy dị vật thực quản gây mê ống cứng,1854000
589,589,Nội soi lấy dị vật thực quản gây mê ống mềm,1556000
590,590,Nội soi lấy dị vật thực quản gây tê ống cứng,823000
591,591,Nội soi lấy dị vật thực quản gây tê ống mềm,961000
592,592,Nội soi nạo VA gây mê sử dụng Hummer,4353000
593,593,Nội soi phế quản ống cứng lấy dị vật gây tê,1770000
594,594,Nội soi sinh thiết vòm mũi họng gây mê,2511000
595,595,Nội soi sinh thiết vòm mũi họng gây tê,1174000
596,596,Nội soi Tai Mũi Họng,298000
597,597,Nong vòi nhĩ,100700
598,598,Nong vòi nhĩ nội soi,266000
599,599,Phẫu thuật áp xe não do tai,10913000
600,600,Phẫu thuật cắt Amidan bằng dao điện,3879000
601,601,Phẫu thuật cắt Amidan bằng dao plasma hoặc dao laser hoặc dao siêu âm.,7086000
602,602,Phẫu thuật cắt bán phần thanh quản trên nhẫn kiểu CHEP,9515000
603,603,Phẫu thuật cắt bỏ u thành bên họng lan lên đáy sọ có kiểm soát bằng kính hiển vi và nội soi,17484000
604,604,Phẫu thuật cắt bỏ ung thư Amidan hoặcthanh quản và nạo vét hạch cổ,10483000
605,605,Phẫu thuật cắt bỏ ung thư lưỡi có tái tạo vạt cơ da,12989000
606,606,Phẫu thuật cắt Concha Bullosa cuốn mũi,7827000
607,607,Phẫu thuật cắt dây thanh bằng Laser,8871000
608,608,Phẫu thuật cắt tuyến dưới hàm,8883000
609,609,Phẫu thuật cắt tuyến mang tai có hoặc không bảo tồn dây VII,8883000
610,610,Phẫu thuật chấn thương khối mũi sàng,18145000
611,611,Phẫu thuật chấn thương xoang sàng - hàm,9984000
612,612,Phẫu thuật chỉnh hình sẹo hẹp thanh khí quản bằng đặt ống nong,8871000
613,613,Phẫu thuật đỉnh xương đá,9575000
614,614,Phẫu thuật giảm áp dây VII,13764000
615,615,Phẫu thuật kết hợp xương trong chấn thương sọ mặt,9984000
616,616,Phẫu thuật laser cắt ung thư thanh quản hạ họng,11821000
617,617,Phẫu thuật Laser trong khối u vùng họng miệng,12807000
618,618,"Phẫu thuật lấy đường rò luân nhĩ 1 bên, 2 bên",5616000
619,619,Phẫu thuật mở cạnh cổ dẫn lưu áp xe,6498000
620,620,Phẫu thuật mở cạnh mũi,9348000
621,621,Phẫu thuật nang rò giáp lưỡi,8871000
622,622,Phẫu thuật nạo V.A nội soi,5606000
623,623,"Phẫu thuật nạo vét hạch cổ, truyền hoá chất động mạch cảnh",10483000
624,624,"Phẫu thuật nội soi cầm máu mũi 1 bên, 2 bên",5507000
625,625,Phẫu thuật nội soi cắt bỏ khối u vùng mũi xoang,17149000
626,626,Phẫu thuật nội soi cắt bỏ u mạch máu vùng đầu cổ,24177000
627,627,Phẫu thuật nội soi cắt bỏ u xơ mạch vòm mũi họng,16439000
628,628,Phẫu thuật nội soi cắt dây thanh,12238000
629,629,Phẫu thuật nội soi cắt u hạ họng hoặc hố lưỡi thanh thiệt,6498000
630,630,"Phẫu thuật nội soi cắt u lành tính thanh quản (papilloma, kén hơi thanh quản…)",8476000
631,631,Phẫu thuật nội soi cắt u máu hạ họng - thanh quản bằng dao siêu âm,16432000
632,632,Phẫu thuật nội soi cắt u nhú đảo ngược vùng mũi xoang,11519000
633,633,Phẫu thuật nội soi chỉnh hình cuốn mũi dưới,7827000
634,634,Phẫu thuật nội soi chỉnh hình vách ngăn mũi,6780000
635,635,"Phẫu thuật nội soi đặt ống thông khí màng nhĩ 1 bên, 2 bên",5616000
636,636,Phẫu thuật nội soi giảm áp ổ mắt,12703000
637,637,"Phẫu thuật nội soi lấy u hoặcđiều trị rò dịch não tuỷ, thoát vị nền sọ",13832000
638,638,"Phẫu thuật nội soi mở các xoang sàng, hàm, trán, bướm",18145000
639,639,Phẫu thuật nội soi mở dẫn lưu hoặc cắt bỏ u nhày xoang,9348000
640,640,"Phẫu thuật nội soi mở khe giữa, nạo sàng, ngách trán, xoang bướm",9367000
641,641,Phẫu thuật nội soi nạo VA bằng dao Plasma,7086000
642,642,Phẫu thuật nội soi vi phẫu thanh quản cắt u nang hoặc polype hoặc hạt xơ hoặc u hạt dây thanh,5789000
643,643,"Phẫu thuật phục hồi, tái tạo dây thần kinh VII",15980000
644,644,Phẫu thuật rò xoang lê,8871000
645,645,Phẫu thuật tái tạo hệ thống truyền âm,10913000
646,646,Phẫu thuật tái tạo vùng đầu cổ mặt bằng vạt da cơ xương,10913000
647,647,Phẫu thuật tai trong hoặc u dây thần kinh VII hoặc u dây thần kinh VIII,12132000
648,648,Phẫu thuật tạo hình tai giữa,9787000
649,649,Phẫu thuật tạo hình tháp mũi bằng vật liệu ghép tự thân,14016000
650,650,Phẫu thuật thay thế xương bàn đạp,9787000
651,651,Phẫu thuật tiệt căn xương chũm,9801000
652,652,Phẫu thuật xử trí chảy máu sau cắt Amygdale (gây mê),5606000
653,653,"Rửa tai, rửa mũi, xông họng",106600
654,654,Soi thanh khí phế quản bằng ống mềm,510000
655,655,Soi thực quản bằng ống mềm,510000
656,656,Thông vòi nhĩ,198200
657,657,Thông vòi nhĩ nội soi,238000
658,658,Trích màng nhĩ,139000
659,659,Trích rạch apxe Amiđan (gây mê),1356000
660,660,Trích rạch apxe thành sau họng (gây mê),1356000
661,661,Vá nhĩ đơn thuần,7593000
662,662,Phẫu thuật nội soi đóng lỗ rò xoang lê bằng laser hoặc nhiệt,6575000
663,663,,
664,664,Tai-Mũi-họng: Phẫu thuật loại đặc biệt,8312000
665,665,Tai-Mũi-họng: Phẫu thuật loại I,4909000
666,666,Tai-Mũi-họng: Phẫu thuật loại II,3487000
667,667,Tai-Mũi-họng: Phẫu thuật loại III,2144000
668,668,Tai-Mũi-họng: Thủ thuật loại đặc biệt,1763000
669,669,Tai-Mũi-họng: Thủ thuật loại I,1010000
670,670,Tai-Mũi-họng: Thủ thuật loại II,618000
671,671,Tai-Mũi-họng: Thủ thuật loại III,289000
672,672,Cắt lợi trùm,483000
673,673,Chụp thép làm sẵn,634000
674,674,"Cố định tạm thời gẫy xương hàm (buộc chỉ thép, băng cố định)",1285000
675,675,Điều trị răng sữa viêm tuỷ có hồi phục,771000
676,676,Điều trị tuỷ lại,1867000
677,677,"Điều trị tuỷ răng số  4, 5",1653000
678,678,"Điều trị tuỷ răng số  6,7 hàm dưới",1795000
679,679,"Điều trị tuỷ răng số 1, 2, 3",938000
680,680,"Điều trị tuỷ răng số 6,7 hàm trên",1786000
681,681,Điều trị tuỷ răng sữa một chân,555000
682,682,Điều trị tuỷ răng sữa nhiều chân,771000
683,683,Hàn composite cổ răng,697000
684,684,Hàn răng sữa sâu ngà,236000
685,685,Lấy cao răng và đánh bóng hai hàm,350000
686,686,Lấy cao răng và đánh bóng một vùng hoặc một hàm,207700
687,687,Nắn trật khớp thái dương hàm,200000
688,688,Nạo túi lợi 1 sextant,202700
689,689,Nhổ chân răng,442000
690,690,Nhổ răng đơn giản,398000
691,691,Nhổ răng khó,1201000
692,692,Nhổ răng số 8 bình thường,497000
693,693,Nhổ răng số 8 có biến chứng khít hàm,1853000
694,694,Nhổ răng sữa hoặcchân răng sữa,112400
695,695,Phục hồi thân răng có chốt,1044000
696,696,Răng sâu ngà,566000
697,697,Răng viêm tuỷ hồi phục,922000
698,698,Rửa chấm thuốc điều trị viêm loét niêm mạc (1 lần),126600
699,699,Trám bít hố rãnh,514000
700,700,Phẫu thuật nhổ răng lạc chỗ,1522000
701,701,"Phẫu thuật lật vạt, nạo xương ổ răng 1 vùng",2842000
702,702,Cắt u lợi đường kính từ 2cm trở lên,1487000
703,703,"Cắt u lợi, lợi xơ để làm hàm giả",1428000
704,704,"Cắt, tạo hình phanh môi, phanh má hoặc lưỡi (không gây mê)",1350000
705,705,Cắm và cố định lại một răng bật khỏi huyệt ổ răng,1607000
706,706,Lấy sỏi ống Wharton,3451000
707,707,"Cắt u da đầu lành, đường kính dưới 5 cm",2284000
708,708,"Cắt u da đầu lành, đường kính từ 5 cm trở lên",3228000
709,709,Cắt bỏ nang sàn miệng,5941000
710,710,Cắt nang xương hàm từ 2-5cm,6169000
711,711,Cắt u nang giáp móng,5133000
712,712,Cắt u nhỏ lành tính phần mềm vùng hàm mặt (gây mê nội khí quản),5713000
713,713,Điều trị đóng cuống răng,891000
714,714,Điều trị sâu răng sớm bằng Fluor,1022000
715,715,Nắn sai khớp thái dương hàm đến muộn,3498000
716,716,Phẫu thuật cắt u lành tính tuyến dưới hàm,7845000
717,717,Phẫu thuật cắt u máu lớn vùng hàm mặt,8634000
718,718,"Phẫu thuật cắt ung thư xương hàm dưới, nạo vét hạch",7191000
719,719,"Phẫu thuật cắt xương hàm trên hoặchàm dưới, điều trị lệch khớp cắn và kết hợp xương bằng nẹp vít",7087000
720,720,Phẫu thuật điều trị gãy gò má cung tiếp 2 bên,5928000
721,721,Phẫu thuật điều trị gãy xương hàm dưới,5469000
722,722,Phẫu thuật điều trị gãy xương hàm trên,6082000
723,723,Phẫu thuật lấy răng ngầm trong xương,5245000
724,724,Phẫu thuật tạo hình môi hai bên,6218000
725,725,Phẫu thuật tạo hình môi một bên,6070000
726,726,Phẫu thuật tạo hình phanh môi hoặc phanh má hoặc phanh lưỡi bám thấp (gây mê nội khí quản),3549000
727,727,Phẫu thuật tháo nẹp vít sau kết hợp xương hai bên,7162000
728,728,Phẫu thuật tháo nẹp vít sau kết hợp xương lồi cầu,7070000
729,729,Phẫu thuật tháo nẹp vít sau kết hợp xương một bên,6356000
730,730,Răng-Hàm-Mặt: Phẫu thuật loại đặc biệt,8722000
731,731,Răng-Hàm-Mặt: Phẫu thuật loại I,5698000
732,732,Răng-Hàm-Mặt: Phẫu thuật loại II,3372000
733,733,Răng-Hàm-Mặt: Phẫu thuật loại III,1951000
734,734,Răng-Hàm-Mặt: Thủ thuật loại đặc biệt,1635000
735,735,Răng-Hàm-Mặt: Thủ thuật loại I,945000
736,736,Răng-Hàm-Mặt: Thủ thuật loại II,560000
737,737,Răng-Hàm-Mặt: Thủ thuật loại III,289000
738,738,"Cắt bỏ hoại tử tiếp tuyến bỏng sâu dưới 5% diện tích cơ thể ở người lớn, dưới 3% diện tích cơ thể ở trẻ em",5152000
739,739,Cắt bỏ hoại tử tiếp tuyến bỏng sâu trên 10% diện tích cơ thể ở người lớn,8279000
740,740,Cắt bỏ hoại tử tiếp tuyến bỏng sâu từ 3% - 5% diện tích cơ thể ở trẻ em,6879000
741,741,"Cắt bỏ hoại tử tiếp tuyến bỏng sâu từ 5% - 10% diện tích cơ thể ở người lớn, trên 5% diện tích cơ thể ở trẻ em",7449000
742,742,"Cắt bỏ hoại tử toàn lớp bỏng sâu dưới 3% diện tích cơ thể ở người lớn, dưới 1% diện tích cơ thể ở trẻ em",5196000
743,743,Cắt bỏ hoại tử toàn lớp bỏng sâu trên 5% diện tích cơ thể ở người lớn,8184000
744,744,Cắt bỏ hoại tử toàn lớp bỏng sâu từ 1% - 3% diện tích cơ thể ở trẻ em,6294000
745,745,"Cắt bỏ hoại tử toàn lớp bỏng sâu từ 3% - 5% diện tích cơ thể ở người lớn, trên 3% diện tích cơ thể ở  trẻ em",7475000
746,746,"Cắt hoại tử toàn lớp – khâu kín ≥ 3% diện tích cơ thể ở người lớn, ≥ 1% diện tích cơ thể ở trẻ em",8571000
747,747,"Cắt hoại tử toàn lớp – khâu kín dưới 3% diện tích cơ thể ở người lớn, dưới 1% diện tích cơ thể ở trẻ em",6674000
748,748,Cắt lọc mô hoại tử vết thương mạn tính bằng dao thủy lực (chưa tính vật tư dao),8176000
749,749,Cắt sẹo ghép da mảnh trung bình,7750000
750,750,Cắt sẹo khâu kín,7259000
751,751,Ghép da đồng loại ≥ 10%  diện tích cơ thể (chưa gồm mảnh da ghép),6298000
752,752,Ghép da đồng loại dưới  10% diện tích cơ thể (chưa gồm mảnh da ghép),4320000
753,753,"Ghép da tự thân mảnh lớn dưới 5% diện tích cơ thể ở người lớn, dưới 3% diện tích cơ thể ở trẻ em",5702000
754,754,Ghép da tự thân mảnh lớn trên 10% diện tích cơ thể ở người lớn,9583000
